15:5:001:1	Kin bii' sohodizin hasht'enályaa
15:5:001:0	Ákohgo Hágeiyai áádóó Ído biye' Zekaráíyah Diyin God yá halne'ii jílíinii Júdah kéyahgi áádóó Jerúsalem kin haal'áagi Jew dine'é kéédahat'íinii Ízrel dine'é biDiyin God ánínígíí bízhi' bee bił nidahodzisne'. 
15:5:002:0	Ákohgo Shiyáltiyel biye' Zerábabel áádóó Jázadak biye' Jéshuwa dashdii'áazhgo Jerúsalemgi Diyin God bikin áńjídléehgo baa nízhdiit'áázh. Índa Diyin God yá halne'ii háká aná'ahinilchééh nít'éé'. 
15:5:003:0	Íídą́ą́' tooh nílíní e'e'aahjígo naat'áanii Tátnai wolyéii áádóó Shííthar-báznai wolyéii índa yił ałch'odao'níinii haa yíkaigo ádahodííniid, Háishą' díí kin ádadoohłíiłgo yee nihich'į' haadzíi'go ahééda'ohtł'ingo baa naahkai? 
15:5:004:0	Áádóó ałdó' ádahodííniid, Diné díí kin ádeiléhígíishą' haa daolyé? 
15:5:005:0	Nidi biDiyin God éí Jew dine'é yá aląąjį' naazíinii yik'i déez'į́į'go binaanish danilíinii doo bits'ą́ą́' dazhnoo łtł'ááh át'ée da, aláahgo naat'áanii Daráíyas yich'į' naaltsoos ádayiilaago índa, áko áádę́ę́' díí bídéét'i'go naaltsoos ánáyiidlaa. 
15:5:006:0	Naaltsoos ályaaígíí éí tooh nílíní e'e'aahjí naat'áanii Tátnai wolyéii áádóó Shííthar-báznai índa yił ałch'odao'níinii, éí Áfarsath dine'é tooh nílíní e'e'aahjí nibidee'nilii, aláahgo naat'áanii Daráíyas yich'į' ádayiilaii át'é. 
15:5:007:0	Hach'į' naaltsoos ályaaígíí kót'éego bee ak'e'ashchį́, Aláahgo naat'áanii Daráíyas bich'į' hózhǫ́ǫ le'. 
15:5:008:0	Aláahgo naat'áanii díí bił bééhózin le': Judíyah kéyah biyi' Diyin God ayóó át'éii bikin álnéhígíí daníil'į́į'go tsé ayóó ádaníłtso bee kin ályaa lá, áádóó ahéé'ítł'inígíí tsin bá nidaaz'áago ályaa lá; ts'ídá t'áá íiyisí haleebee bigaan yee nidaalnishgo bich'į' hooldohgo deílníísh. 
15:5:009:0	Áko aląąjį' naazíinii kót'éego bíndabídéelkidgo ádabidii'niid, Háishą' díí kin ádadoohłíiłgo áádóó bá ahééda'doohtł'į́įłgo yee nihich'į' haadzíí'? 
15:5:010:0	Bee nił nídahodiilnih biniyé dabízhi' bínda'ídéelkid; éí diné bindanit'a'í dabízhi' naaltsoos bikáá' ádadiilnííł biniyé nida'ídéelkid. 
15:5:011:0	Ákohgo áńdanihidoo'niidgo ádaaní, Diyin God éí yá'ąąsh áádóó nahasdzáán bee Bóhólníihii binaal'a'í daniidlį́, áádóó t'óó ahayóí nááhaídą́ą́' kin ályaii, t'áá éí Ízrel dine'é aláahgo binanit'a'í ayóó át'éii kin áyiilaago niiní'ą́ą́ nít'éé' yę́ę éí áńdeiilnééh. 
15:5:012:0	Bik'ijį' Diyin God yá'ąąshdi hólóonii yá dahóółchįįdgo t'óó báhádzidgo báhóóchįįdgo Bábilan kin haal'áádóó Kaldíya dine'é nilíinii Nébukadnézzar éí aláahgo naat'áanii nilį́įgo yílák'e hodíí'ą́; éí kin kwe'é si'ą́ą́ nít'é'ígíí yiyííłchǫ', áádóó ákwii kéédahat'íinii Bábilangóó adabidi'niiskaad. 
15:5:013:0	Bábilan kéyahgi Sáíras aláahgo naat'áanii nilį́įgo átsé náhááh góne', t'áá éí aláahgo naat'áanii Sáíras éí díí Diyin God bikin áńdoolníiłgo yee nihoní'ą́ągo yee ak'e'ashchį́. 
15:5:014:0	Áádóó Diyin God bikin bii' sohodizin biyi' óola áádóó béésh łigaii beedí chodao'íinii éí Jerúsalem kin haal'áagi kin bii' sohodizin bii'dóó Nébukadnézzar ch'íiníjaa'go Bábilan kin haal'áagi kin bii' sohodizin yiih yiyííjaa'ígíí áádę́ę́' aláahgo naat'áanii Sáíras ch'ínéiníjaa'go Sheshbéízer yeidiní'ą́; t'áá éí ałdó' naat'áanii nilį́įgo áyiilaa. 
15:5:015:0	Áko áyidííniid, Díí beedí éí Jerúsalemgi kin bii' sohodizin biih nídíí'nił biniyé ákǫ́ǫ́ nídííjih, áádóó háni' Diyin God bikin t'áá si'ą́ yę́ęgi áńdoolnííł. 
15:5:016:0	Ákohgo díí Sheshbéízer wolyéii níyáago Jerúsalemdi Diyin God bikin bitł'ááh nástł'inii áyiilaa; éí áádóó wóshdę́ę́' kin bi'adeezhnishgo k'ad díí jį́ bi'oonish, nidi t'ah doo ałtso álnéeh da. 
15:5:017:0	Éí bąągo k'ad, aláahgo naat'áanii bił yá'át'ééh ládą́ą́', haa'íshą' Bábilan kin haal'áagi aláahgo naat'áanii biyódí bá hooghangi naaltsoos bee naaznilígíí hazhó'ó ninádoolkah, áko aláahgo naat'áanii nilíinii Sáíras díí Jerúsalemgi Diyin God bikin ninádoot'áałgo yee nihoní'ą́ągo bee ak'e'ashchíinii daats'í hólǫ́, áádóó háni'dii aláahgo naat'áanii yaa bił hózhǫ́ǫgo díí át'ée dooleełgi yee nihéé'doołnih.
