15:2:001:1	Yisnááh ninádahaaskaii dabízhi'
15:2:001:0	Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar díí diné Bábilan kéyahgóó deisnáanii yisnááh danilį́į́dę́ę́' bééda'iisnii'go Jerúsalemjį' índa Júdah kéyahgi t'áá bí bikin haal'áajį' t'ááłá'í nítínígo ninádahaaskai. 
15:2:002:0	Éí Zerábabel, Jéshuwa, Niihemáíyah, Siiréíyah, Riyeléíyah, Mórdiikai, Bílshan, Mízpar, Bígveiyai, Rííham índa Béíyanah daolyé.Ízrel dine'é bidiné danilíinii dayéélta'go éí 
15:2:003:0	Péírash ba'áłchíní náás ahoolchíiłii naakidi mííldóó ba'aan t'ááłáhídi neeznádiindóó ba'aan tsosts'idiindóó ba'aan naaki. 
15:2:004:0	Shefatáíyah ba'áłchíní náás ahoolchíiłii táadi neeznádiindóó ba'aan tsosts'idiindóó ba'aan naaki. 
15:2:005:0	Éírah ba'áłchíní náás ahoolchíiłii tsosts'idi neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdla'. 
15:2:006:0	Péíhath-mó'ab ba'áłchíní náás ahoolchíiłii éí Jéshuwa áádóó Jó'ab ba'áłchíní náás ahoolchíiłii naakidi mííldóó ba'aan tseebíidi neeznádiindóó ba'aan naakits'áadah. 
15:2:007:0	Íílam ba'áłchíní náás ahoolchíiłii t'ááłáhídi mííldóó ba'aan naakidi neeznádiindóó ba'aan ashdladiindóó ba'aan dį́į́'. 
15:2:008:0	Zátu ba'áłchíní náás ahoolchíiłii náhást'éidi neeznádiindóó ba'aan dízdiindóó ba'aan ashdla'. 
15:2:009:0	Zákeiyai ba'áłchíní náás ahoolchíiłii tsosts'idi neeznádiindóó ba'aan hastą́diin. 
15:2:010:0	Béínai ba'áłchíní náás ahoolchíiłii hastą́ądi neeznádiindóó ba'aan dízdiindóó ba'aan naaki. 
15:2:011:0	Bííbeiyai ba'áłchíní náás ahoolchíił ii hastą́ądi neeznádiindóó ba'aan naadiin táá'. 
15:2:012:0	Ázgad ba'áłchíní náás ahoolchíiłii t'ááłáhídi mííldóó ba'aan naakidi neeznádiindóó ba'aan naadiin naaki. 
15:2:013:0	Adonáíkam ba'áłchíní náás ahoolchíiłii hastą́ądi neeznádiindóó ba'aan hastą́diindóó ba'aan hastą́ą́h. 
15:2:014:0	Bígveiyai ba'áłchíní náás ahoolchíiłii naakidi mííldóó ba'aan ashdladiindóó ba'aan hastą́ą́h. 
15:2:015:0	Éídin ba'áłchíní náás ahoolchíiłii dį́įdi neeznádiindóó ba'aan ashdladiindóó ba'aan dį́į́'. 
15:2:016:0	Éíter ba'áłchíní éí Heziikáíyah ba'áłchíní náás ahoolchíiłii náhást'édiindóó ba'aan tseebíí. 
15:2:017:0	Bíízeiyai ba'áłchíní náás ahoolchíiłii táadi neeznádiindóó ba'aan naadiin táá'. 
15:2:018:0	Jórah ba'áłchíní náás ahoolchíiłii neeznádiindóó ba'aan naakits'áadah. 
