47:5:001:1	Diitthąį' K'eejit Neeheelyaa
47:5:001:0	Diitthąį' zheegwadhah k'it t'inchy'aa, ąįį vizhit diinanky'aa gwandaii t'ee nijin niriindhat tł'ęę zheekat diitthąį' k'eejit neeheelyaa, ąįį vizhit diinanky'aa gweheendaii. Vit'eegwijyąhchy'aa adakhai' zheekat gwizhit diitthąį', khit geenjit vizhit gwireheendaii geenjit k'eejit neehahtsyaa. 
47:5:002:0	Dzaa nankat gęhdaa kwaa geecheereendak ts'ąįį, Vit'eegwijyąhchy'aa vats'ą' kharilchi' ąįį zheekat diineenjit zheh gwił'ąįį geh'an. 
47:5:003:0	Ch'anky'aa zhrįh tr'iheelyaa kwaa, gaa nijin zheekat gwats'ą' tr'ahaajil ji' diitthąį' ch'ijuk k'eejit neeheelyaa. 
47:5:004:0	Jii nankat diitthąį', tr'igwidii haa tr'ahahchik, dzaa nankat gihłeereheedaa geenjit nakwaa gaa khan zheekat gwats'ą' tr'ahoojyaa gwindhan geh'an, gwandaii ndaanąą'ąį' kwaa tr'ihee'yaa ts'ą' diitthąį' ch'ijuk neeheelyaa geenjit. 
47:5:005:0	Vit'eegwijyąhchy'aa ąįįt'ee ch'ijuk t'igweheenjyaa geenjit shrigwiinlik. Vit'eegwijyąhchy'aa dzaa nankat Ch'anky'aa Shroodiinyąą diizhit t'iheechy'aa geenjit diits'an iłtsąįį. Vit'eegwijyąhchy'aa zheekat jidii diinantł'eehee'aa nyąą ąįį gwigweheechy'aa geenjit. 
47:5:006:0	Dzaa nankat diitthąį' zhit tr'iilk'įį gahkhyuk datthak zheekat gwizhit tth'aii hee tr'iilk'įį kwaa gaagwiindaii. T'aih diits'an ąhtsii geh'an, ch'ihłok gaa akhagwaroonyą' gwiindhan kwaa. 
47:5:007:0	Gwik'injigwiighit k'iighai' gwarandaii, ts'ą' Vit'eegwijyąhchy'aa tr'ąąh'in kwaa ąįį zhit vik'injiriighit. 
47:5:008:0	Dzaa nankat gwarandaii akhagwaroonyą' gwiindhan kwaa gaa zheekat gwizhit K'eegwaadhat ąįį gwandaa vaatr'oodi' gwiindhan. 
47:5:009:0	Dzaa nankat akwat zheekat tr'iilk'įį haa nihk'it, gweedhaa datthak Vit'eegwijyąhchy'aa shrǫǫ tr'ohtsyaa zhrįh gwiindhan. 
47:5:002:1	Christ K'iighai' Vit'eegwijyąhchy'aa Vaa Nirilzhii.
47:5:010:0	Datthak ts'ą' Christ vats'a' tr'ahaanzhyaa gwizhrįh goo'aii, tr'iizųų akwat tr'iinzii haa nihk'it diitee gwagwaanchy'aa ts'ą' nats'ahts'ą' dzaa nankat dinjii tr'inlii gwik'it gwitee tr'idiiheelyaa t'inchy'aa. 
47:5:011:0	Vit'eegwijyąhchy'aa diinahahkat vaagwiindaii geh'an varaanjat, ts'ą' ąįį geh'an dinjii nąįį gwik'injihkhit gwik'eegǫhdaii goorahnyąą. Vit'eegwijyąhchy'aa łyaa łi'deegwidlii diinaandaii, ts'ą' ąįį gwik'it nakhwadrii zhit gwats'an shant'ee łi'dihdlii shaakhwandaii ji' nakhwaihnyąą. 
47:5:012:0	Ideech'iri'in t'igwinyąą kwaa, gaa datthak diishoohohłyaa geenjit t'igwii'in, oots'it haa geech'ǫąąhtan nąįį dinjii nats'ahts'ą' viyiichy'a' k'iighai' nats'ąą dinjii nilii giiyaandaii gaa vidrii zhit t'oonchy'aa gwagwah'in kwaa. 
47:5:013:0	Dinjii lat nąįį eenjit gaanariindaii kwaa k'it t'igwii'in, nijin Vit'eegwijyąhchy'aa veenjit gwitr'it t'agwarah'in gaa Vit'eegwijyąhchy'aa ąįį geenjit deediinihił'ee ts'ą' ąįį gwik'iighai' nakhwats'igwinyąą t'igwii'in. 
47:5:014:0	Jii deegwii'in t'ee Christ vich'eet'igwiniindhan haa t'igwii'in. Christ dinjii nąįį datthak eenjit niindhat gwik'injiriighit ąįį geh'an diikhwan t'ee nats'ąą gwehkįį gwarandaii gwats'an ch'ijuk dinjii neeraadlit. 
47:5:015:0	Dinjii nąįį datthak eenjit niindhat ts'ą' zhit juu gwandaii nąįį, idigeenjit gwizhrįh gogoondaii shrǫ', gaa Christ diineenjit niindhat ts'ą' neegwiindaii ąįį veenjit gwaroondaii. 
47:5:016:0	Jii nankat dinjii vigwizhi' haa dinjii jyaa t'inchy'aa arahaanjyaa kwaa. Gwehkįį dąį' Christ dzaa nankat gwiky'aa jyaa t'inchy'aa varahnyąą, gaa jyaa dineegwii'in kwaa. 
47:5:017:0	Juu Christ haa khaihłak nilii t'ee gwehkįį dąį' nats'ąą dinjii nilii ąįį akhagoonyąą ts'ą' ch'ijuk dinjii nilii needhidlit. 
47:5:018:0	Jii datthak t'ee Vit'eegwijyąhchy'aa k'iighai' t'igwiizhik, Christ vat'aii k'iighai' vitr'igwii'ee chy'aa gwats'an vijyaa tr'iinlii diiniłtsąįį, ąįįts'ą' dinjii nąįį vijyaa heelyaa geenjit vits'igweheenjyaa diiniłtsąįį. 
47:5:019:0	Vit'eegwijyąhchy'aa dzaa nankat dinjii nąįį dijyaa iłtsąįį ąįį Gwandak Nizįį kat geegarinkhii t'igwinyąą. Christ diineenjit niindhat geh'an Vit'eegwijyąhchy'aa diitr'agwaanduu daanchy'aa gweechyaa kwaa, ts'ą' nats'ąą dijyaa gooviłtsąįį ąįį gwagwandak diinantł'eiin'ąįį t'inchy'aa. 
47:5:020:0	Juk dzaa girinkhii dąį' Vit'eegwijyąhchy'aa k'it t'igwinyąą t'igwinyąą ts'ą' Christ veenjit girinkhii, Christ k'iighai' Vit'eegwijyąhchy'aa vijyaa hohłyaa nakhwarahnyąą t'igwinyąą. 
47:5:021:0	Christ vatr'agwaanduu gwakwaa, gaa Vit'eegwijyąhchy'aa ąįį Christ vaa kheihłak tr'iheelyaa geenjit diitr'agwaanduu geenjit niindhat yiłtsąįį, gwik'iighai' Vit'eegwijyąhchy'aa vaatr'iheelyaa geenjit.
