47:2:001:0	Nakhwaa shroonchy'aa kwaa gołtsyaa shrǫ' nihthan geh'an chan hee nakhweeneenihihdyaa kwaa nihthan. 
47:2:002:0	Nakhwaa shroonchy'aa kwaa nakhwadhałtsąįį ji' juu shizhit shoo hah'aa? Nakhwan juu vaashroonchy'aa kwaa dhałtsąįį nąįį zhrįh chan hee shoo shahąhtsyaa. 
47:2:003:0	Ąįį geh'an zhit dęhtły'aa nakhwats'ą' danoihtł'oo t'oonchy'aa. Juu shizhit shoo ił'aii nąįį shoo shahąhtsyaa kwaa gaashandaii geh'an nakhweenineeshizhii kwaa. Nijin shoo ihłii dąį', nakhwatee gwagwaanchy'aa ts'ą' shoo ǫhłįį gaashandaii. 
47:2:001:1	Juu Tr'agwaanduu T'ee'ya' Veenjit Ganoondee
47:2:004:0	Nakhwats'ą' ch'adanǫįįtł'oo dąį' łyaa shidrii zhit gwats'an gitr'ih'ee ts'ąįį gwintł'oo nakhweenjit ihtree. Nakhwaa shroonchy'aa kwaa geenjit nakwaa gaa łyaa gwintł'oo nakhweet'ihthan gaahahkhwandaii geh'an. 
47:2:005:0	Nakhwatee dinjii ch'ihłak gwehkįį dąį' gwintł'oo tr'agwaanduu tr'agwah'ya', ąįį łyaa datthak ts'ą' shoodiinahtsii kwaa, deegwahtł'oo shoo nakhwiłtsąįį kwaa gwik'it shįį chan shoo shiłtsąįį kwaa. Gaa ąįį dinjii ch'adąį' hee shatr'agwaanduu oo'an gwarahoolyaa diinyą' ts'ą' chan hee vagohshii gwat'oohchy'aa kwaa. 
47:2:006:0	Nakhwan khaiinjii datthak ts'ą' gwiizųų t'ee'ya' geenjit khaiinjich'adhohthat ąįį gaa gwinzii. 
47:2:007:0	Nihk'it gwik'injiheeghit giheent'aii geenjit akhagooheenjyaa kwaa gwits'į' veenjit ganoondee goovohnyąą. 
47:2:008:0	Khants'ą' deegwahtł'oo łyaa veet'ohthan vaagoondak. 
47:2:009:0	Ch'adąį' nakhwats'ą' ch'adįhtł'oo dąį' it'ee lee deenakhwaihnyąą shik'eegohthat li' geenjit t'ishi'in. 
47:2:010:0	Nijin dinjii nąįį nakhwats'ą' gwiizųų t'ii'in dąį', gooveenjit ganoondee dąį' shant'ee gooveenjit gineehaaldee, Christ vandah nakhweenjit jyaa dishi'yaa t'oonchy'aa. 
47:2:002:1	Paul, Troas Kwaiik'it Gwachoo gwizhit Tr'igwidii.
47:2:011:0	Satan diikhoondal gwits'į' ąįįts'ą' dee'in vaagwiindaii geh'an. 
47:2:012:0	Nijin Christ Vagwaandak Nizįį ąįį Troas kwaiik'it gwachoo gwizhit eech'oohaałchyaa eenjit gwats'ą' hoiizhii dąį', ch'adąį' hee K'eegwaadhat geech'oohaałchyaa geenjit sheenjit shrigwiinlik łee. 
47:2:003:1	Christ K'iighai' Gaiiyiich'iriłtsąįį
47:2:013:0	Gwik'injigwiighit zhit diichaa Titus, khų' vagwał'aii geh'an tr'igwihdii gaa zhat dinjii nąįį neenakhwahaal'yaa aihnyąą ts'ą' ndak dhat Macedonia nahkat gwats'an hoiizhii. 
47:2:014:0	Juk Vit'eegwijyąhchy'aa vats'ą' mahsį' goonyą'! Christ vaa kheihłak tr'iinlii dąį' Vit'eegwijyąhchy'aa vitsyaa tr'iinlii geh'an Satan łyaa gaiiyiitr'iłtsąįį t'inchy'aa. Vit'eegwijyąhchy'aa ąįį gwanzhįh tr'ahk'an dąį' nijuk datthak gwinzii vagwaatsan k'it Christ viginjik eegwaraandak diits'an gwahtsii. 
47:2:015:0	Gwanzhįh tr'ahk'an dąį' gwinzii vagwaatsan k'it Christ diikhwan Vit'eegwijyąhchy'aa antł'eediiniinlii. Ąįį gwanzhįh tr'ahk'an dąį' gwinzii vagwaatsan zhit juu neeheezhii akwat teehaajil nąįį tee łat naadoo k'it t'ii'in. 
47:2:016:0	Juu vatr'agwaanduu gwanlii ts'ą' teehaajil nąįį jii gwanzhįh tr'ahk'an dąį' gwinzii vagwaatsan łyaa gooveenjit tr'aatsan ts'ąįį khaiinjii gaa giłchįį. Gaa juu neeheezhii nąįį jii gwanzhįh tr'ahk'an t'ee gwandaii goots'an ąhtsii k'it t'inchy'aa. Vit'eegwijyąhchy'aa k'iighai' gwizhrįh jii gwitr'it t'agwarah'in t'oonchy'aa! 
47:2:017:0	Ch'izhii nąįį Vit'eegwijyąhchy'aa vagwandak eegwaraandak zhyaa k'it t'agoonyąą, ąįį gwik'it t'igwinchy'aa kwaa, Christ vitsyaa tr'iinlii ts'ą' Vit'eegwijyąhchy'aa gwats'ą' diihił'ee ts'ą' łi'didlii haa vandah veegirinkhii.
