47:7:001:1	Paul Vaashroonchy'aa Gwagwandak
47:7:001:0	Shijyaa nakhweet'ihthan nąįį jii datthak t'ee łyaa gwik'it diineenjit t'igweheenjyaa t'oonchy'aa. Ąįį geh'an shreeradoonjii ts'ą' diitthąį' ts'ą' diinanky'aa haa nizįį neerohtsyaa, ts'ą' jidii datthak haa shroodiinyąą tr'oolį' ąįįts'ą' Vit'eegwijyąhchy'aa deerihił'ee haa gwizhit gwaroondaii. 
47:7:002:0	Nakhwadrii zhit diineenjit ch'eet'igwiniindhan khwa'įį. Ch'ihłee gaa inehts'į' gwiizųų t'igwiizhit kwaa ts'ą' ch'ihłee gaa iizųų tr'iłtsąįį kwaa gwizhit ch'ihłee gaa zhyaa ininjigwaraazhii kwaa t'oonchy'aa, nakhwatee nakhwalak nąįį jyaa digwii'in diigahnyąą. 
47:7:003:0	Jyaa dii'in shohnyąą geenjit ohzųų nakhwaihnyąą geenjit t'ihnyąą kwaa. Gwarandaii akwat ch'ichį' tr'iinlii gaa nihk'it nihłaat'igweheechy'aa, jyaa gwahtł'oo nakhweenjit ninjich'ihthat t'oonchy'aa. 
47:7:004:0	Dzaa diinaa googwantrii goo'aii gaa gwinzii t'akhwa'yaa nakhwaa shandaii geh'an nakhwashoo ahłįį, gwiizhit shat'aii chan goh'įį. 
47:7:005:0	Macedonia nahkat k'eerii'oo dąį' neerilzhii gaa kwaa, juu nąįį datthak ch'ats'ą' t'inihłagaanyąą, gwizhit łyaa nijin datthak gwiizųų, ąįį geh'an diidrii zhit najat dha'aii. 
47:7:006:0	Gaa Vit'eegwijyąhchy'aa juu tr'igwidii ts'ą' vatthąį' iizųų nąįį t'aih ts'an ąhtsii, nijin Titus diits'ą' hił'ee dąį', diit'aii kwaa gaa łyaa diit'aii neegwiłtsąįį. 
47:7:007:0	Diits'ą' yihił'e' geenjit gwizhrįh nakwaa gaa łyaa gwintł'oo vat'aii goh'įį geenjit. Łyaa juk gęhdaa kwaa shaashroonchy'aa, nooł'ya' shohnyąą gwiizhit sheenjit chan tr'agohdii ts'ą' deegwahkhan chan sheenjit ninjich'atsahohthat ąįį chan shaagwaandak. 
47:7:008:0	Ąįį dęhtły'aa nakhwats'ą' danoiitł'oo, ąįį tr'igwidii nakhwats'an iłtsąįį gaa nakhwats'ą' danoihtł'oo shoo ihłii. Tr'igwidii nakhwats'an dhałtsąįį gaa niighit kwaa gwats'ą' gwizhrįh tr'agohdii. 
47:7:009:0	Ąįį nakhwats'ą' ch'adanǫįįtł'oo geenjit łyaa shoo ihłii kwaa, gaa gwik'iighai' nakhwatr'agwaanduu ts'an łihts'eedǫǫ'ee ts'ą' ch'ijuk dinjii ǫhłįį needhoodlit. Ąįį tr'agohdii t'ee Vit'eegwijyąhchy'aa nakhweenjit yit'aahchy'aa t'ii'in ąįį geh'an nakhwats'ą' diikhwan gwiizųų tr'agwarah'ya' kwaa t'oonchy'aa. 
47:7:010:0	Vit'eegwijyąhchy'aa nats'ąą gwarandaii gwik'it diitr'agwaanduu akhagooraheenjyaa geenjit tr'igwidii diits'an ąhtsii ąįį neereheezhii geenjit t'ii'in. Jii tr'igwidii diits'an ąhtsii eenjit łyaa shoo tr'iinlii. Gaa jii nankat gwats'an tr'igwidii, tr'agwaanduu ts'an łihts'eedaraa'ee kwaa t'ee dinjii needhizhii kwaa ts'an t'inchy'aa. 
47:7:011:0	Jii Vit'eegwijyąhchy'aa, tr'agohdii ąįį nakhweenjit deezhit gooh'in, geh'an łyaa gwintł'oo sheenjit ch'eet'igwiniindhan khwa'įį ts'ą' gaashandaii. Jii dinjii gwiizųų t'iizhik ąįį vats'a' nakhwak'įį gwanlii, Ąįįts'ą' chan gwiizųų t'akhwazhik kwaa ąįį gwagohohchy'aa gwik'eegǫhdaii. Gweheezyaa geenjit deenakhwaiinyą' datthak gwik'it t'akhwa'ya'. Izhit dąį' gwiizųų t'iizhik geenjit khaiinjich'ahohthat gwizhrįh nakhweenjit gwinzii. 
47:7:012:0	Dinjii gwiizųų t'iizhik ts'ą' ąįį iizųų hihjyaa geenjit nakhwats'ą' ch'adanoihtł'oo shi'in kwaa, gaa Vit'eegwijyąhchy'aa vandee ts'ą' deegwahtł'oo diineenjit ch'eet'igwiniindhan khwa'įį gaagweheendaii geenjit ch'adanoihtł'oo t'ishi'in. 
47:7:013:0	Jii haa diit'aii neegahoodlit.Titus vats'a' ohsįį geenjit łyaa shoo tr'inlii, ąįį gwik'iighai' łyaa shoo nilii dhohtsąįį. 
47:7:014:0	Łyaa nakhwashoo ahłįį ąįį Titus vaagoondak, ts'ą' ch'ihłok gaa oozhii shats'an dhohtsąįį kwaa. Datthak ts'ą' łi'deegwidlii haa nakhwaa gihkhii, ąįį geenjit Titus vats'a' nakhweech'ih'in chy'aa gwik'it goodlit. 
47:7:015:0	Dootr'at ts'ą' najat haa zhat k'idik geenjit, veenjit shoo dhoodlit ts'ą' gwinzii deenyąą oodǫǫhk'įį gwiizhit gwinzii vik'eegohthat ąįį ganaandaii, juk t'ee Titus gwandaa nakhweenjit ch'eet'igwiniindhan di'įį ąįį gwandaa nint'aii ilii. 
47:7:016:0	Deegwahtł'oo datthak nakhwat'injyaałchy'aa gaashandaii geenjit łyaa shoo ihłii.
