47:12:001:1	Paul Gaandaii Gwiizhit Gineiinlyaa K'it Gwah'ya'
47:12:001:0	Jii geech'ishi'in łyaa gwahkhii t'ihnyąą, googaa nihk'it zhyaa shoodǫǫhk'įį. K'eegwaadhat vats'an jidii shindee ts'ą' gwigwiilkįį akwat Vit'eegwijyąhchy'aa shats'ą' gigweełkįį kwaii geegihihkhyaa. 
47:12:002:0	14 years gwanaa dąį' nijin zheekat Vit'eegwijyąhchy'aa gwich'įį ąįį ch'andaa t'agwahtthee gwa'an, Vit'eegwijyąhchy'aa gwats'ą' nashąhchįį ts'ą' gwintsal iidi'. 
47:12:003:0	Shatthąį' haa zhat gwał'ya' ts'ą' akwat shanky'aa haa zhat gwał'ya' nats'ąą t'ishizhik gaashandaii kwaa, Vit'eegwijyąhchy'aa zhrįh gaandaii. 
47:12:004:0	Nats'ahts'ą' zheekat niighit gwał'ya' gaashandaii kwaa gaa łyaa gwinzii ch'iihahchik gwiihtth'ak, dinjii geegiheekhyaa geenjit gaa gwakwaa. 
47:12:005:0	Jii deeshizhik geenjit ideech'ǫǫl'ya' nihthan gaa duuyeh gwik'it t'ihnyąą. Deegwahtł'oo vehdan shat'aii kwaa ąįį geech'ihih'yaa. 
47:12:006:0	Gwinlęįį gwinzii t'ishi'in nihthan ideegihihkhyaa gaa nałkhii ts'ą' t'ihihjyaa kwaa, gaa łi'didlii haa gihihkhyaa t'ihnyąą. Googaa jyaa dihihjyaa kwaa. Gwandaa shahooh'ee nakhwaihnyąą t'ihnyąą kwaa, nats'ąą gwįįhdaii ts'ą' jidii eegiihkhii kwaii k'iighai' gwinzii gaahahkhwandaii geenjit t'ihnyąą. 
47:12:007:0	Vit'eegwijyąhchy'aa k'eegwiichy'aa gwinlęįį shats'ą' gwigweełkįį ąįį zhit, tr'ihkhit khaiinjihool'ee ky'aa ideegihihkhyaa gwits'į', Satan neeyahah'ak ąįį khaiinjich'ishahahthat geenjit shats'ą' hił'e'. 
47:12:008:0	K'eegwaadhat, tik agwaanchy'aa łąą shihłeegwihiin'ąįį vaiinyą'. 
47:12:009:0	Jyaa vaihnyąą gwiteegwaanchy'aa datthak, “Shich'eegoonzhrii zhrįh t'aahchy'aa.” shahnyąą. “Nat'aii kwaa dąį' gwandaa shat'aii t'aahchy'aa t'oonchy'aa.” Ąįįts'ą' juk Christ vik'iighai' shat'aii gweheelyaa geenjit shat'aii kwaa adashoo ahłįį. 
47:12:002:1	Paul ts'ą' Corinth Nąįį haa Gwinzii Nihłaagwagwahtsii
47:12:010:0	Nijin Christ veenjit tr'agwał'in geenjit shats'ą' gwiizųų girinkhii, ts'ą' khaiinjich'ashagahthat dąį', Christ vik'injihkhit geenjit shagwagwahshii ts'ą' shaa gwagwantrii, shat'aii kwaa geenjit shoo ihłii. Nijin shat'aii kwaa dąį' Christ k'iighai' shat'aii gwanlii gaashandaii. 
47:12:011:0	Nałkhii ky'aa ideegiihkhii shohtsii t'oonchy'aa. Jidii gwitr'it datthak nakhweenjit tr'agwał'ya' geenjit dęhtły'aa kat sheenjit gwadǫhtł'oo jaghaii? Gwiintsii sheegoo'aii kwaa, gaa jii Tr'ihił'e' adaa'įį choo nąįį chan shandaa hil'ee kwaa t'oonchy'aa. 
47:12:012:0	Nijin nakhwaa dhidii dąį' khadhalchi' kwaa haa gwinlęįį geegwaroolii kwaa nihłehjuk t'iichy'aa t'ishizhit, ąįį gwik'iighai' t'ee Tr'ihił'e' ihłii gaakhwandaii. 
47:12:013:0	Ch'adanh tr'igiinkhii zheh gwa'an gwizhrįh goot'injyaałchy'a' gaa nakhwan ąįį nakhwat'injyaałchy'aa kwaa, ąįį gwiizųų t'ishizhik kwaa t'oonchy'aa. 
47:12:014:0	Juk et'ee tik googwąąnchy'aa nakhweenineehihdyaa, gwik'it goo'aii ts'ą' nakhwat'eehaałchy'aa geenjit t'ihnyąą kwaa. Jidii akhwa'įį kwaii nihthan kwaa gaa nakhwan ąįį, shaa khohłyaa nahoihnyąą. Tr'iinin nąįį digiiyehghan eenjit shih goonjii gwit'eegaahchy'aa kwaa, gaa ch'iyehghan nąįį digigii nąįį eenjit shih gooheedal goo'aii t'oonchy'aa ąįį gwik'it nakhwak'eehaałtyaa goo'aii. 
47:12:015:0	Deegwahtł'oo nakhweet'ihthan gaakhwandaii, gaa nakhwan ąįį gwehkįį dąį' sheet'ǫhthan gwik'it sheet'ǫhthan kwaa, gaa nihk'it shoo ihł'ii haa jidii shi'įį datthak haa nakhwats'ihihjyaa ts'ą' nakhweenjit ji' gaa nihihthaa t'oonchy'aa. 
47:12:016:0	Nakhwan datthak gwintł'oo nakhwat'aałchy'aa kwaa dohnyąą. Nakhwatee dinjii lat shitr'ii'ee nąįį nakhwaninjigwalzhii ts'ą' nakhwats'ą' oiints'it shagahaanjyaa t'igiinchy'aa. 
47:12:017:0	Jyaa dishi'in kwaa t'oonchy'aa! Dinjii nakhwats'ą' nanalzhit nąįį chan zhyaa deenakhwaroh'ya' giindhan gwik'it t'anakhwagahah'yaa geenjit nakhwats'ą' nineegoovalzhit t'ishi'in kwaa. 
