47:13:001:1	Paul Khaiinkǫǫ Goots'ą' Ch'adąąntł'oo Dąį' Gooveiinyą'
47:13:001:0	Juk t'ee tik agwaanchy'aa nakhwanineehihdyaa. Dęhtły'aa Choh zhit jyaa digwinyąą, “K'eegwiichy'aa gwiizųų t'igwiizhit ji' dinjii neekwaii akwat tik nąįį gwah'ya' ji' t'ee łi'deegwidlii t'igwiizhik.” Corinth kwaiik'it gwizhit deegii'in lęįį nąįį gwah'ya'. 
47:13:002:0	Khaiinkǫǫ zhit nakhweenihshee dąį' zhit juu tr'agwaanduu vigwitr'it gwanlii nąįį jyaa dakhwa'in kwaa goovaiinyą'. Ąįįts'ą' juk chan hee jyaa daneegoovahaihjyaa t'oonchy'aa. Chan jyaa dineegoovaihnyąą ji' googwahąąłshii t'iginchy'aa. 
47:13:003:0	Christ vik'iighai' giihkhii t'ihnyąą gaakhwandaii geenjit nakhwats'ą' gwagwahałkyaa. Christ nakhwaa tr'agwah'in geenjit vat'aii kwaa t'inchy'aa nǫhkhya' shrǫ', gaa nakhwatee gwa'an łyaa vat'aii jiintsii t'inchy'aa. 
47:13:004:0	Nihk'ataa'ee (Cross) kat gigiiyahtsak dąį' vat'aii kwaa zhit niindhat gaa, Vit'eegwijyąhchy'aa vat'aii jiintsii k'iighai' juk gwandaii t'inchy'aa. Diikhwan t'ee gaa diit'aii kwaa gaa Vit'eegwijyąhchy'aa vat'aii k'iighai' gwarandaii. Ąįį vat'aii haa nakhwaa gwitr'it t'agwarah'in t'igwii'in. 
47:13:005:0	Nakhwa gwik'injigwiighit łi'didlii nilii ji' geenjit gwinzii needadoon'in. Gwinzii needadaan'in ts'ą' Jesus Christ vik'it dinjii inlii kwaa łee ji' Christ vik'it gwiindaii kwaa t'oonchy'aa. 
47:13:006:0	Diikhwan ąįį Christ vik'it gwarandaii ts'ą' Vit'eegwijyąhchy'aa veenjit gwinzii t'igwii'in gooh'in ji' gweheezyaa. 
47:13:007:0	Gwiizųų t'akhwa'yaa gwits'į' nakhweenjit Vit'eegwijyąhchy'aa vats'ą' kharigidiinjii. Nakhwats'ą' Vit'eegwijyąhchy'aa eenakhwaagwaraandak ąįį gwinzii t'igwiizhit geenjit nakhweenjit kharigidiinjii t'igwinyąą kwaa, gwinzii t'igwiizhit kwaa ji' gaa nakhwan ąįį nihk'it gwinzii t'akhwa'yaa geenjit t'igwinyąą. 
47:13:008:0	Łi'deegwidlii khit gwats'ąįį nireheedhat gwizhrįh goo'aii t'oonchy'aa. Łi'deegwidlii datthak gwits'į' t'ohchy'a' shrǫ'. 
47:13:009:0	Łyaa nakhwat'aii gwanlii ji' diikhwan ąįį diit'aii kwaa geenjit shoo tr'iinlii. Nakhwak'injigwiighit zhit nakhwat'aii neegweheelyaa geenjit nakhweenjit kharigidiinjii t'oonchy'aa. 
47:13:002:1	Paul Khaiinkǫǫ Neegeedi'
47:13:010:0	Nakhweenihihshyaa gwehkįį nakhwats'ą' jii dęhtły'aa dįhtł'oo t'ishi'in, nakhweenihshee ji' ginjik nint'aii haa nakhwats'ą' gihihkhyaa kwaa geenjit t'ihnyąą. Neet'eehoodhal gwits'į', K'eegwaadhat t'aih shantłeiin'ąįį haa nakhwat'aii gołtsyaa nihthan. 
47:13:011:0	Shijyaa nąįį nakhwadiveegoozų' ts'ą' jii dęhtły'aa juk khaiinkǫǫ nakhwats'ą' dįhtł'oo t'ishi'in. Ch'ijuk gwinzii tr'ineekhwajyaa deenakhwaihnyąą ąįį gwik'it t'akhwa'in. Ginjik nizįį haa nihts'ą' gohkhii, gwinzii nihłaa gwadhoh'ąįį, tsinehdan zhit gwinzii nihłaa gǫhdaii. Ąįį ji' Vit'eegwijyąhchy'aa vich'eet'igwiniindhan ts'ą' tsinehdan haa nakhwaa heelyaa t'oonchy'aa. 
47:13:012:0	Dzaa gwik'injiighit nąįį datthak nakhwadiveegoozų' nakhwagahnyąą t'oonchy'aa, ts'ą' K'eegwaadhat vich'eet'igwiniindhan naa oolį' nihłohnyąą. 
47:13:013:0	K'eegwaadhat Jesus Christ, vich'eegoonzhrii, ts'ą' Vit'eegwijyąhchy'aa vich'eet'igwiniindhan, ts'ą' Ch'anky'aa Shroodiinyąą k'iighai' kheihłak ǫhłįį!
