47:11:001:1	Paul ts'ą' Tr'ihił'e' Adaa'įį Nąįį
47:11:001:0	Gwintsal nałkhii ky'aa gihkhii gaa nihk'it tth'aii hee gihihkhyaa ąįį geenjit shoodǫǫhk'įį ji' nahoihnyąą. 
47:11:002:0	Geenookhwałtan gwik'iighai' Christ vik'injuhkhit ts'ą' juk it'ee vats'an ǫhłįį. Christ vats'a' hohdaa gwats'ą' nakhwagwik'injigwiighit akhagahohjyaa gwits'į' nakhwak'aałtii t'oonchy'aa, dinjii vichį' tr'ooheendal gwats'ą' gwinzii yak'ąąhtii gwik'it nijin dakai' haagweheechy'aa gwats'ą' haazhii ji' nich'it nizįį nilii haa gwats'ą' heekhaa geenjit. 
47:11:003:0	Googaa nihk'it łi'deegwidlii ts'ą' shroodiinyąą Christ vats'an ǫhłįį, vihłeenakhwarahaadlii ji' ąįį gitr'ih'ee. Tr'injaa Eve oozhii, ąįį gyųų, yats'ą' oots'it ts'ą' yininjigweelzhii ąįį gwik'it t'anakhwaroolyaa shrǫ' nihthan. 
47:11:004:0	Deenakhwarahnyąą ąįį datthak zhyaa gwik'injuhkhit, ch'izhii Jesus ginyąą ts'ą' eech'agǫąąhtan akwat Ch'anky'aa Shroodiinyąą ch'ijuk t'inchy'aa akwat Gwandak Nizįį ch'ijuk t'inchy'aa kwaii eegiginkhii gaa nihk'it gook'injuhkhit. 
47:11:005:0	Gaa jii Tr'ihił'e' adaa'įį choo vohnyąą nąįį goovandaa tr'agwał'ya' t'oonchy'aa. 
47:11:006:0	Dinjii nąįį andah gwinzii gihkhii kwaa, gaa jidii eegiihkhii t'ihnyąą gaashandaii. Gwinlęįį nakhwandah jyaa digwinyąą akwat juk gwandaa it'ee datthak gaakhwahandaii goo'aii t'oonchy'aa. 
47:11:007:0	Nakhwats'ą' khazhak t'ihchy'aa gwik'iighai' nakhwahooł'ee gaakhwandaii. Vit'eegwijyąhchy'aa Vagwandak Nizįį eenokhwaałtan dąį' laraa haa shagohkwat nakhwaihnyąą kwaa t'oonchy'aa. Jii jyaa dishi'in dąį' geenjit gwiizųų kwaa t'oonchy'aa! 
47:11:008:0	Nakhwaa dhiidii dąį', ch'izhii tr'igiinkhii zheh gwats'an nakhwats'ihihjyaa geenjit laraa sheenjit oodhoojik. 
47:11:009:0	Nijin neeshraałchy'aa gwiizhit nakhwaa gwihch'įį dąį' shats'ohnyąą nakhwaihnyąą kwaa. Diichaa gwik'injiighit Macedonia gwats'an k'eegiidal dąį' laraa shantł'eeginlii. Ch'ihłok gaa shats'ohnyąą nakhwaihnyąą kwaa ts'ą' duuyeh ch'ihłok gaa shats'ohnyąą nakhwaihnyąą t'oonchy'aa. 
47:11:010:0	Achaia nahkat datthak Christ shizhit łi'didlii nilii ąįį geh'an nakhwats'an laraa oodhiijik kwaa geenjit geech'i'in akhagoihnyąą t'oonchy'aa. 
47:11:011:0	Nakhweet'ihthan geh'an jii jyąhts'ą' nakhwats'ą' giihkhii t'ihnyąą. Vit'eegwijyąhchy'aa nakhweet'ihthan gaandaii t'inchy'aa! 
47:11:012:0	Tr'ihił'e' adaa'įį nąįį googwitr'it ts'ą' ąįį diigwitr'it haa nihk'it t'oonchy'aa ginyąą ts'ą' ideech'igi'in nąįį jyaa diginyąą kwaa goohałtsyaa gwats'ą' datthak jyaa dishi'yaa t'oonchy'aa. 
47:11:013:0	Jii dinjii nąįį Tr'ihił'e' giinlii adagaa'įį t'igii'in. Christ vitr'ihił'e' giinlii adagaa'įį haa tsinteenakhwagahkaii t'igii'in. 
47:11:014:0	Googaa deegwii'in gaashandaii, Satan gaa zheekat gwich'in ch'ąhndit adaa'įį haa tsinteech'ahkaii t'ii'in. 
47:11:002:1	Paul Tr'ihił'e' Nilii Geenjit Khaiinjich'iighit
