47:8:001:1	Paul, Corinth Gwich'in Nąįį Ch'eeshroonchy'aa haa Laraa Gwats'an Ohtsii Goovahnyąą
47:8:001:0	Diichaa gwik'injiighit nąįį nakhwaa gwarahaandak, Vit'eegwijyąhchy'aa vich'eegoonzhrii haa Macedonia nahkat tr'igiinkhii zheh gwizhit gwik'injiighit nąįį goodivee gwinzii gwiłtsąįį. 
47:8:002:0	Deegwahtł'oo goovaa googwantrii ts'ą' goots'ą' gwiizųų tr'agwarah'in gaa nihk'it goovaa gwandaa shroonchy'aa ts'ą' Jerusalem gwizhit neeshraahchy'aa nąįį laraa lęįį haa ts'igiinyą'. 
47:8:003:0	Ts'ą' dagakhai' deegwahtsii gwantł'ee gahaandal gagadhan ąįį zhrįh nakwaa gaa gwandaa hee gwantł'eegaanjik. 
47:8:004:0	Laraa haa Jerusalem gwizhit gwik'injiighit nąįį ts'aroonyą' ginyąą haa gwantł'oo diinandeegwigwii'aii. 
47:8:005:0	Gaa łyaa diinandaa gwinzii t'igiizhik, tr'ookit K'eegwaadhat k'eegwigwiłthat ąįįtł'ęę Vit'eegwijyąhchy'aa jyaa dakhwa'ya' nakhoonyaa t'oonchy'aa goorahnyąą chan gwik'eegwigwiłthat. 
47:8:006:0	Titus t'ee adan tr'ookit gwantł'eehoondal geenjit jyaa nakhwaiinyą', geh'an nakhwats'eeheedyaa ts'ą' geenjit nakhwats'ą' giheehkhyaa geenjit jyaa davaraiinyą' t'inchy'aa. 
47:8:007:0	Deekhwa'in datthak gwinzii t'akhwa'in gwiizhit gwik'injigwiighit chan akhwa'įį. Nakhwaginjik nizįį gwiizhit nakhwagwizhi' chan gwanlii. K'eegwiichy'aa t'akhwa'yaa dąį' ch'eet'igwiniindhan haa gwik'it t'akhwa'in, ąįįts'ą' juk jii laraa ch'eiinzhrii haa gwantł'ohłii. 
47:8:008:0	Jii łyaa gwik'it t'akhwa'yaa nakhwaihnyąą t'ihnyąą kwaa, juu Macedonia nahkat gwizhit gwik'injiighit nąįį łyaa gwantł'oo gwantł'eegaanjii ąįį geh'an deegwahtł'oo ch'eegoonzhrįį akhwa'įį gaashoondaii nihthan ąįį geenjit t'ihnyąą. 
47:8:009:0	Diik'eegwaadhat Jesus Christ vich'eegoonzhrii haakhwandaii. Dzaa nankat gwats'ą' heekhaa gwehkįį dąį' Gwidinji' nilii geh'an jidii datthak vats'an nilii, gaa datthak akhagoonyąą. Nakhwan ąįį jidii datthak khwa'yaa geenjit khaiinjich'iindhat ts'ą' niindhat. 
47:8:010:0	Shreedrin ch'ihłak (one year) gwahaadhat dąį' jidii t'akhwa'in ąįį juk gęhdaa tr'ohjii, nakhwan tr'ookit gwik'it t'asho'ya' nohthan ts'ą' nakhwan tr'ookit laraa gwantł'ohłii. 
