1:48:001:1	Jéíkab éí Íífreiyim áádóó Manáseh yik'ijisdli'
1:48:001:0	Ákódzaadóó bik'ijį' diné ła' Jóseph yił hoolne'go ání, Shoo, nizhé'é daatsaah, áko Jóseph biye'ké naakidilt'éhígíí Manáseh índa Íífreiyim wolyéii dashdii'eezh. 
1:48:002:0	Áko diné ła' Jéíkab yił hoolne'go ádííniid, Shoo, niye' Jóseph aadę́ę́' nich'į' yigááł. Áko Ízrel t'áá hazááká dzíłdzil ízh'diilyaago dzideesdzilgo tsásk'eh bikáá' dzineezdá. 
1:48:003:0	Áko Jéíkab éí Jóseph ábizhdííniid, Diyin God Aláahgo Ayóó'ábóodziilii éí Luz hoolyéedi Kéínan kéyahgi shaa honíle'go shik'ijisdli'go 
1:48:004:0	áshíłní, Ííłchíiłgo k'ee'ąą nídí'nóot'į́įłgo na'áłchíní náás da'ahílchíihii t'óó ahayóigo ádeeshłííł; nits'ą́ą́dóó diné t'óó ahayóí k'ee'ąą danéet' įįhgo ádeeshłííł, índa díí kéyah éí na'áłchíní náás da'ahílchíhígíí hool'áágóó daabí dooleeł biniyé baa dideesh'ááł. 
1:48:005:0	Ákohgo t'ah doo Ííjip kéyahgi naa nishááh yę́ędą́ą́' niye' naaki Ííjip kéyahgi ná yizhchínígíí éí shí; Rúben índa Símiyan shíhígi át'éego Íífreiyim índa Manáseh shí dooleeł. 
1:48:006:0	Áádóó na'áłchíní ná náádoochíłígíí éí t'áá ni doo, áádóó bik'isóó dabízhi' bik'ehgo kéédahat'ínígi bee dabi'dójíi doo. 
1:48:007:0	Áko shí éí Péídan hoolyéédę́ę́' yishááł yę́ędą́ą́' Kéínan kéyahdi yii'néełgo Éfrath hoolyéhíjį' t'áá áyídí hadziihgo Réíchel shąąh daaztsą́, áko Éfrath t'ah bich'į' yii'néełgo yóó'áhooshłaa; ákwe'é Béthlehem hoolyé. 
1:48:008:0	Áko Ízrel éí Jóseph biye'ké dziiłtsą́ągo ázhdííniid, Díishą' háí át'į́? 
1:48:009:0	Nít'éé' Jóseph hazhé'é ábizhdííniid, Shiye'ké kwe'é shá ho'dizhchį́įgo Diyin God shaa honínilígíí ájít'į́, áko ázhdííniid, T'áá shǫǫdí, shaa ní'éeshgo bik'izhdeeshdliił. 
1:48:010:0	Áko Ízrel t'áá íiyisí hadzistihgo biniinaa t'áá yéego haná'oh hooba', áko bíighahgi nizhní'eezhgo yizts'ǫs áádóó ádíyiiltsood. 
1:48:011:0	Áko Ízrel éí Jóseph áyidííniid, Doo hanii náániideestséeł da nisin nít'éé', nidi Diyin God na'áłchíní ałdó' yideestséełgo yee shá hooł'a'. 
1:48:012:0	Áko Jóseph éí Jéíkab bigodta'gi ashiiké sizínígíí nahjį' kójiilaago hazhé'é bich'į' ni'jį' yaa ádziidzaa. 
1:48:013:0	Áko Jóseph t'áá áłah dashdii'eezhgo Íífreiyim honish'náájígoígíí Jéíkab binishtł'ají bidziisį', áádóó Manáseh honishtł'ajíígíí Jéíkab binish'náájí bidziisį', áko bidááhdę́ę́' nizhní'eezh. 
1:48:014:0	Áko Ízrel nish'náájí bee k'ízdeesnii'go Íífreiyim bitsii't'áagi dasdees'nii'; éí akéédę́ę́' yizhchíinii jílį́. Áádóó nishtł'ají bee Manáseh bitsii't'áagi dasdees'nii', áko éí ahidiníłnáago bik'i dasdees'nii', azhą́ Manáseh éí alą́ąjį' yizhchį́įgo hoł bééhózin nidi ájít'į́. 
1:48:015:0	Áko Jóseph bik'ijiidzisdli'go ázhdííniid,Shizhé'é yę́ę Éíbraham índa Áízak biDiyin God yinááł tádíí'áazhii,T'áá éí Diyin God shíiníłką́ą́dę́ę́' díí jį́į́góó nidi sha'ałtso'. 
1:48:016:0	Ach'į' nahwii'náanii t'áá ałtso bits'ą́ąjį' diyingo naal'a'í nááshiisnii'ígíí éí ashiiké yik'ijidlíi le';Shí áádóó shizhé'é Éíbraham índa Áízak danihízhi'go bee dahodó'jíi doo,Áádóó nahasdzáán bikáa'gi t'óó ahayóí doo. 
1:48:017:0	Áko Jóseph hazhé'é éí Íífreiyim bitsii't'áagi dah deesnii'go dziiłtsą́ągo doo hoł aaníígóó Íífreiyim bitsii't'áádóó Manáseh bitsii't'áajį' hazhé'é dah bizhdidoołnih biniyé dah bizdees'nii'. 
1:48:018:0	Jóseph hazhé'é ábizhdííniid, Doo ákót'ée da, shizhé'é, dííyee' alą́ąjį' yizhchį́; éidígo nish'náájí bee bitsii't'áagi dah dílnííh. 
1:48:019:0	Nít'éé' hazhé'é doo íinízingóó ádííniid, Shí shił bééhózin, shiye', shił bééhózin; éí ałdó' ła' dine'é dooleeł; éí ałdó' ayóó át'é dooleeł; azhą́ ákót'ée nidi bitsilí biláahdi ayóó át'ée doo, áádóó ba'áłchíní náás da'ahílchíihii t'óó ahayóí ał'ąą dine'é dadooleeł. 
1:48:020:0	Áko éí bijį́ kóníigo yik'ijisdli', Ninahjį' Ízrel dine'é ałk'idajidlíigo ádaaníi doo,Diyin God éí Íífreiyimgi áádóó Manásehgi ánít'éego ándoolííł;kót'éego Íífreiyim éí Manáseh yitsijį' sizį́įgo áyiilaa. 
1:48:021:0	Áko Ízrel éí Jóseph áyidííniid, Jó'akon, dadeestsaał, nidi Diyin God nił hólǫ́ǫgo danizhé'é yę́ę bikéyahgóó nánihidoo'ish. 
1:48:022:0	Índída kéyah ła' nik'isóó biláahdi t'ááłá'í bee aláahgo naa diní'ą́; éidí shidiltłish bee índa she'ałtį́į́' bee Ámor dine'é bighadinisht'ą́.
