1:14:001:1	Éíbram éí Lat bi'ana'í yits'ą́ąjį' yisdáyííłtį́
1:14:001:0	Áádóó ákódzaago Ámrafel aláahgo naat'áanii éí Sháínar dine'é yinanit'a'í áádóó Áriyak aláahgo naat'áanii éí Elásar dine'é yinanit'a'í áádóó Kédorleiyómer aláahgo naat'áanii éí Íílam dine'é yinanit'a'í índa Táídal aláahgo naat'áanii éí Góyim dine'é yinanit'a'í danilį́į́dą́ą́'; 
1:14:002:0	éí Bííra aláahgo naat'áanii éí Sádam kin haal'áii yinanit'a' í nilį́įgo áádóó Bíísha aláahgo naat'áanii éí Gomárah kin haal'áii yinanit'a'í nilį́įgo áádóó Sháínab aláahgo naat'áanii éí Ádmah kin haal'áii yinanit'a'í nilį́įgo áádóó Shemííber aláahgo naat'áanii éí Ziibówim kin haal'áii yinanit'a'í nilį́įgo índa aláahgo naat'áanii Bííla kin haal'áii t'áá éí Zó'er hoolyéego yinanit'a'í nilį́įgo yik'iijéé'. 
1:14:003:0	Díí t'áá ádzíłtso Sídim honíteelgi ahídajiiznáago ałch'odadzis'ni'; ákwii Tónteel Dók'ǫ́ǫzhii hoolyé. 
1:14:004:0	Kédorleiyómer t'áá bik'eh dahojíł'į́įgo naakits'áadah nááhai, áko táá'ts'áadah náhááh góne' bich'į' nidadzistee'. 
1:14:005:0	Áádóó dį́į́'ts'áadah náhááh góne' Kédorleiyómer índa ła' ananit'a'í danilíinii hoł daníbaa', áko Ríífem dine'é éí Áshteroth-karnéíyim hoolyéegi áádóó Zúzim dine'é éí Ham hoolyéegi índa Íímim dine'é éí Sháveh-kíriyathéíyim hoolyéegi 
1:14:006:0	índa Hor dine'é biDził Síyer hoolyéhígi t'áá Elpéíranjį'; éí honoojí bíighahgi bik'eh dazdeesdlį́į́'. 
1:14:007:0	Áádóó nát'ą́ą́' Enmíshpatjį' t'áá éí Kéídesh ałdó' hoolyéego ákwii náádazhníbaa'go Ámalek dine'é bikéyah t'áá át'é bik'eh náádazdeesdlį́į́', áádóó Ámor dine'é Házazan-téímer hoolyéegi kéédahat'íinii ałdó' bik'eh náádazdeesdlį́į́'. 
1:14:008:0	Áko Sádam kin haal'áádóó aláahgo naat'áanii áádóó Gomárah kin haal'áádóó aláahgo naat'áanii áádóó Ádmah kin haal'áádóó aláahgo naat'áanii áádóó Ziibówim kin haal'áii índa Bííla kin haal'áii, t'áá éí Zó'er hoolyéego aláahgo yinanit'a'í; díí t'áá ałtso yich'į' nídadiibaa'go Sídim honíteelgi ałk'i jiijéé'; 
1:14:009:0	Kédorleiyómer aláahgo naat'áanii éí Íílam dine'é yinanit'a'í áádóó Góyim dine'é yinanit'a'í Táídal áádóó Sháínar dine'é yinanit'a'í Ámrafel índa Elásar dine'é yinanit'a'í Áriyak; díí aláahgo naat'áanii dį́lt'éego éí łahdę́ę́' aláahgo naat'áanii ashdla'ígíí yił ałk'iijéé'. 
1:14:010:0	Áko Sídim honíteelgi łeejin dijé'ígíí t'óó ahayóigo bee nidahodits'ǫ', áko Sádam dine'é binanit'a'í índa Gomárah dine'é binanit'a'í dazhnéechéehgo ła' ákwii biishníídee'; nidahaasdzí'ígíí éí dziłgóó yóó'adahaazhjéé'. 
1:14:011:0	Áko Sádam índa Gomárah dajit'íinii áádóó dahach'iyą'ígíí ałtso deisnáago adeizyį́. 
1:14:012:0	Áko Éíbram bitsilí yę́ę biye' Lat éí ałdó' Sádamgi kééhojit'į́į́ nít'éé'; hó índa jit'ínígíí t'áá bił ho'disná. 
1:14:013:0	Áko ła' yisdájííyáago éí Hííbrew dine'é Éíbram wolyéii baa jílwodgo bił hojoolne'; Éíbram éí Mámre wolyéii bichéch'il naazkaadgi kééhat'į́; Mámre éí Ámor dine'é nilį́įgo Éshkol áádóó Éíner bik'is jílį́, áko díí Éíbram bich'odaji'ní. 
1:14:014:0	Áko Éíbram hatsilí yę́ę biye' bi'disnáago jíínii'go hanaa'nil bideezla' yéédahósinígíí haghangi daneeyánígíí éí táadi neeznádiindóó ba'aan tseebííts'áadah yilt'éego ch'ízhní'eezh, áko Dan hoolyéhídi bízhníłná. 
1:14:015:0	Áko tł'ée'go há nidaal'a'í ałts'ájíínilgo hwe'ana'í bik'ízníbaa'go bił ałk'i jiijéé', áko bik'eh dazdeesdlį́į́' índa Damáskasdóó náhookǫsjigo Hóbah hoolyéhíjį' adazneeskaad. 
1:14:002:1	Melkízedek éí Éíbram yik'ijisdli'
1:14:016:0	Áko naalye'é t'áá ałtso áádóó hak'éí Lat binaalye'é t'áá bił ninádadziisgį́, áádóó asdzání índa diné ałdó' bił níjí'ná. 
1:14:017:0	Sádam kin haal'áádóó aláahgo naat'áanii éí Éíbram yidááh níyá; Kédorleiyómer aláahgo naat'áanii índa aláahgo naat'áanii bił naakai yę́ę neistseedóó bik'ijį' Sháveh honíteelgi yidááh níyá; ákwe'é naat'áanii bihoníteel hoolyé. 
1:14:018:0	Áko Séílem binanit'a'í Melkízedek éí bááh índa wáin yił yiníjaa'; éí Diyin God Aláahgo Ayóó'át'éii yich'į' náá'iiłniihii nilį́. 
1:14:019:0	Áko Melkízedek hak'ijisdli'go ádííniid,Diyin God Aláahgo Ayóó'át'éii, yádiłhił índa nahasdzáán áyiilaii, Éíbram yik'ijidlíi le'. 
1:14:020:0	Áádóó Diyin God Aláahgo Ayóó'át'éii baa ha'niih doo; éí ni'ana'í nílák'eejį' niidiní'ą́!Áko Éíbram bi'ana'í danilíinii binaalye'é daasnánígíí t'áá át'é neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Melkízedek yeinínil. 
1:14:021:0	Áádóó Sádam kin haal'áádóó aláahgo naat'áanii éí Éíbram áyidííniid, Yisnááh danilíinii shaa nínííł; naalye'é éí t'áá ni nídiinííł. 
1:14:022:0	Áko Éíbram éí Sádam kin haal'áádóó aláahgo naat'áanii áyidííniid, Bóhólníihii Diyin God Aláahgo Ayóó'át'éii, yádiłhił índa nahasdzáán áyiilaii, kódísh'níigo bich'į' dah didiish'nii'; 
1:14:023:0	bee ná'álkadí áádóó kétł'óól índa ha'át'íida nihígíí doo nits'ą́ą́' nídideeshłéeł da; jó, ádidííniił, Ákósdzaago Éíbram ajit'į́įgo áhooshłaa, 
1:14:024:0	nidi tsíłkéí dayííyą́'ígíí t'éiyá nídideesh'nił, áádóó diné shił naaskaígíí, Éíner áádóó Éshkol índa Mámre, naalye'é yąąh da'ííghą́'ígíí éí bíni'dii t'áá bí nideijaah.
