1:17:001:1	Ąąh náhinilgish éí aha'deet'ánígíí bee bééhózin
1:17:001:0	Áko Éíbram náhást'édiindóó ba'aan náhást'éí binááhaigo Bóhólníihii bich'į' yit'íní í'diilyaago ádííniid, Diyin God Aláahgo Ayóó'ábóodziilii nishłį́; shinááł naniná áádóó t'áadoo bee nik'íhót'ahígóó hiníná. 
1:17:002:0	Áádóó shí nił aha'di'deesht'ááł índa t'áá íiyisí k'ee'ąą nooht'į́įłgo ánihideeshłííł. 
1:17:003:0	Áko Éíbram ni'jį' tsé'yaa jineeshjool, áádóó Diyin God hach'į' yáłti'go ání, 
1:17:004:0	Shoo, shí nił aha'di'nisht'ą́, áko ał'ąą dine'é t'óó ahayóí bizhé'é nílį́į doo. 
1:17:005:0	Éíbram éí doo néinílyée da doo, Éíbraham yinílyée doo, háálá ał'ąą dine'é t'óó ahayóí bizhé'é ániishłaa. 
1:17:006:0	Áko na'áłchíní náás da'ahílchíihii t'óó ahayóigo ádeeshłííł, áádóó nits'ą́ą́dóó ał'ąą dine'é hólǫ́ǫgo ádeeshłííł, áádóó nits'ą́ą́dóó naat'áanii ch'íhidookah. 
1:17:007:0	Índa bohoníłdzilgo nił aha'di'deesht'ááł áádóó na'áłchíní náás da'ahílchíihii ałdó' éí hool'áágóó bee aha'deet'ą́ą doo, áko ni áádóó na'áłchíní náás da'ahílchíihii ałdó' bił nihiDiyin God nishłį́į doo. 
1:17:008:0	Áádóó dé'éyóní nílį́įgo kéyah biyi' kééhót'ínígíí naa dideesh'ááł; Kéínan kéyah t'áá át'éé nít'éé' áádóó na'áłchíní náás da'ahílchíihii hool'áágóó daabíí' dooleeł, áádóó biDiyin God nishłį́į doo. 
1:17:009:0	Áko Diyin God éí Éíbraham ánéidoo'niid, Áko ni t'éí nił aha'di'nisht'áanii bik'eh honíł'į́į doo; ni áádóó na'áłchíní da'ahílchíihii ałdó' yik'eh dahół'į́į doo. 
1:17:010:0	Shibee aha'deet'áanii ni áádóó na'áłchíní náás da'ahílchíihii díidí nihá át'é; nihitahgi ashiiké t'áá ałtso bąąh nídahinołgish doo. 
1:17:011:0	Nihí bąąh náhinilgishí bílátahgi nihá nahjį' adahalgéesh doo, áko bee ééhózingo bee aha'deet'áanii bee nihił aha'di'nisht'ą́ą doo. 
1:17:012:0	Nihitahgi ła' ho'dizhchį́į́dóó tseebíí hwiiłkáahgo hąąh náhinilgish doo; nihighangi nidahachíhígíí áádóó náánáłahdę́ę́' yigáałii béeso bik'é nihíníláii ałdó' diné t'áá ałtso bada'áłchíní náás da'ahílchííhgóó ákót'ée doo. 
1:17:013:0	Nighan biyi' yizhchíinii áádóó nibéeso bik'é nihíníláii ałdó' díí ts'ídá bąąh nídahinołgish doo, áko shibee aha'deet'áanii nihits'íís t'ah hólǫ́ǫgo hool'áágóó nihił aha'di'nisht'ą́ą doo. 
1:17:014:0	Áko ashkii ła' bits'íís doo bąąh náhineeshgizhii éí hodine'é bits'ą́ąjį' hodi'yoolyééł, háálá bee aha'deet'áanii k'ízhníti'. 
1:17:015:0	Áko Diyin God éí Éíbraham áyidííniid, Jó, Sérai ne'asdzą́ą́ éí Sérai doo nááhodidíí'niił da; k'ad éí Sárah bee hwíínízhíi doo. 
1:17:016:0	Hak'ijishdlíi doo, áádóó niye' dooleełii jidoołchííł; t'áá aaníí hak'ijishdlíi doo áádóó ał'ąą dine'é bimá jidooleeł; hats'ą́ą́dóó diné binanit'a'í dahodooleeł. 
1:17:017:0	Áko Éíbraham tsé'yaa jineeshjool áádóó aníjídlohgo t'áá hajéí biyi'ídi ázhdííniid, Da' neeznádiin honááhaigoósh há adoochííł? Da' Sárah daats'í náhást'édiin binááhaigo adoołchííł? 
1:17:018:0	Áádóó Éíbraham éí Diyin God áyidííniid, Íshmeiyel éí ninááł hináa dooleełę́ę! 
1:17:019:0	Nidi Diyin God ádííniid, Sárah ne'asdzą́ą́ t'áá aaníí niye' ná yidoołchííł; Áízak bee yidíízhiił. Áko ha'áłchíní náás da'ahílchíihii t'áá hóóltą'go hool'áágóó bohoníłdzilgo shibee aha'deet'áanii há át'éego bee nihodeesh'ááł. 
1:17:020:0	Áádóó Íshmeiyel bá nidiséts'ą́ą́'; jó éí hak'ijiisisdli'; náás oołchíiłgo t'áá íiyisí k'ee'ąązhnoot'į́įłgo áhodeeshłííł; naat'áanii naakits'áadahgo bizhé'é jílį́į doo, áádóó ayóó át'éii dine'é áhodeeshłííł. 
1:17:021:0	Nidi bohoníłdzilgo Áízak t'éiyá bił aha'di'deesht'ááł; éí kodóó ła' nááhaigo Sárah ná yidoołchííł. 
1:17:022:0	Áko ałch'į' yájíłti'ígíí áádzísįįdgo Éíbraham bits'ą́ą́' Diyin God dah náhodiile'. 
1:17:023:0	Áko t'áá Diyin God áhodííniidígi át'éego Éíbraham haye' Íshmeiyel áádóó t'áá ałtso haghangi nidahaazhchínígíí índa habéeso bik'é nidziizláhígíí éí haghangi diné t'áá ałtso áłah ájiilaago éí bijį́ bąąh nídahizhneeshgizh. 
1:17:024:0	Áko íídą́ą́' Éíbraham náhást'édiindóó ba'aan náhást'éí binááhaigo hąąh náhineeshgizh. 
1:17:025:0	Haye' Íshmeiyel éí táá'ts'áadah binááhaigo bąąh náhineeshgizh. 
1:17:026:0	T'áá éí bijį́ Éíbraham hąąh náhineeshgizh; haye' Íshmeiyel ałdó', 
1:17:027:0	áádóó haghangi ashiiké áádóó diné t'áá ałtso haghangi nidahaazhchínígíida, łahdę́ę́' béeso bik'é nidziizláhígíida éí t'áá ałtso hoł bąąh nídahineeshgizh.
