1:1:001:1	Diyin God t'áá ałtsoní áyiilaadą́ą́' diné ałdó' áyiilaa
1:1:001:0	Hodeeyáádą́ą́' Diyin God yót'ááh hiníláii índa nahasdzáán áyiilaa. 
1:1:002:0	Nahasdzáán t'áadoo ánoolniní da, índa t'áadoo bikáá' siláhí da; bikáa'gi t'áá át'éé nít'éé' chahałheełgo Diyin God biNíłch'i Diyinii tó yikáá'góó nahazle'. 
1:1:003:0	Áádóó Diyin God ádííniid, Adinídíin le'. T'áá áko adinídíín hazlį́į́'. 
1:1:004:0	Áko Diyin God éí adinídínígíí yinééł'į́į'go bił yá'íít'ééh, áádóó adinídínígíí chahałheeł yił ałts'áyíínil. 
1:1:005:0	Áko Diyin God éí adinídínígíí Jį́ yee yiyíízhi'; chahałheełígíí éí Tł'éé' yee yiyíízhi'. Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' áłtsé ła'a jį́ azlį́į́'. 
1:1:006:0	Náá'ákóne' Diyin God ánáádoo'niid, Tá ałníí' góne' haz'ą́ wóle'go tó ałts'ą́ą́hjí hólǫ́ǫ le'. 
1:1:007:0	Áko Diyin God éí wódahdi tóhígíí áádóó wóyahdi tóhígíí bita'gi haz'ą́ągo éí yee ałts'áyíínil; éí t'áá ákót'é silį́į́'. 
1:1:008:0	Diyin God éí haz'ánígíí Yádiłhił yee yiyíízhi'. Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' naaki jį́ azlį́į́'. 
1:1:009:0	Náá'ákóne' Diyin God ánáádoo'niid, Yádiłhił biyaagi tóhígíí éí t'áá łáhájį' ahandahohgeeh, áádóó ni' yíłtseígíí yit'į́į doo; éí t'áá ákót'é silį́į́'. 
1:1:010:0	Diyin God éí ni' yíłtseígíí Nahasdzáán yee yiyíízhi'; tó ahaneheezgo'ígíí éí Tónteel yee yiyíízhi'. Áko Diyin God éí yinééł'į́į'go bił yá'íít'ééh. 
1:1:011:0	Náá'ákóne' Diyin God ánáádoo'niid, Nahasdzáán bits'ą́ą́dóó tł'oh índa ch'il bílástsii' dahólónígíí, áádóó tsin t'áá ał'ąą ádaat'éii bineest'ą' dahólónígíí éí bineest'ą' bílástsii' dahólónígíí nahasdzáán bikáa'gi hááhinoot'į́įł doo, áko éí t'áá ákót'é silį́į́'. 
1:1:012:0	Áko nahasdzáán bikáa'gi tł'oh índa ch'il ał'ąą ádaat'éii bílástsii' dahólónígíí áádóó tsin t'áá ał'ąą ádaat'éii bineest'ą' dahólóonii éí bineest'ą' bii' bílástsii' dahólónígíí hainííłt'ą́. Áko Diyin God éí yinééł'į́į'go bił yá'íít'ééh. 
1:1:013:0	Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' tágí jį́ azlį́į́'. 
1:1:014:0	Náá'ákóne' Diyin God ánáádoo'niid, Yádiłhił biyi'di bee da'dinídíinii dahólǫ́ǫ doo, áko éí jį́ índa tł'éé' ałts'ánéi'nił doo; éidí bee ééhózinii át'ée doo; éidí bik'ehgo ahééhwiidáah doo áádóó niyiiłkaah doo, índa nináháháah dooleeł, 
1:1:015:0	áádóó yádiłhił biyi'dę́ę́' adinídíin doo, áko nahasdzáán bikáa'jį' adinídíin doo; éí t'áá ákót'é silį́į́'. 
1:1:016:0	Áádóó Diyin God éí bee adinídíinii naaki ayóó át'éego áyiilaa; aláahgo bee adinídínígíí éí jį́įgo yee bóhólníih doo; a'ohgo bee adinídínígíí éí tł'ée'go yee bóhólníih doo; sǫ' ałdó' eel'áago áyiilaa. 
1:1:017:0	Áko Diyin God díí nahasdzáán bikáa'jį' bee adinídíin doo biniyé yádiłhił biyi'di niyiiznil, 
1:1:018:0	índa éí jį́ áádóó tł'éé' yee bóhólníih doo; adinídínígíí chahałheeł yił ałts'ánéí'nił doo ałdó' biniyé. Áko Diyin God éí yinééł'į́į'go bił yá'íít'ééh. 
1:1:019:0	Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' dį́'í jį́ azlį́į́'. 
1:1:020:0	Náá'ákóne' Diyin God ánáádoo'niid, Dahináago táyi' naaldeehii t'óó adahayói le', índa nahasdzáán bikáá' wódahgo tsídii nidaat'a' doo. 
1:1:021:0	Áko Diyin God éí táyi' naaldeehii ayóó ádaníldíilii áyiilaa; táyi' naaldeehii t'óó ahayóí t'áá ał'ąą ádaat'éii binídaałt'éego da'ahílchíihgo áyiilaa, áádóó nidaat'a'ii ał'ąą ádaat'éii binídaałt'éego da'ahílchíihgo áyiilaa. Áko Diyin God éí yinééł'į́į'go bił yá'íít'ééh. 
1:1:022:0	Áádóó Diyin God éí yik'ijisdli'go ání, Nihiyázhí nídahoodleeł doo, áádóó k'ee'ąą nooht'į́įł dooleeł, áko tónteel bii' nihinołt'eeh, índa nahasdzáán bikáa'gi nidaoht'a'ii k'ee'ąą nooht'į́įł dooleeł. 
1:1:023:0	Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' ashdla'a jį́ azlį́į́'. 
1:1:024:0	Náá'ákóne' Diyin God ánáádoo'niid, Nahasdzáán bikáa'gi dahináanii ał'ąą ádaat'éii binídaałt'éego da'ahílchíihii dahóle'; éí alį́į́' áádóó nidaa'na'ii índa naaldlooshii binídaałt'éego da'ahílchíih doo; éí t'áá ákót'é silį́į́'. 
1:1:025:0	Áádóó Diyin God éí nahasdzáán bikáa'gi naaldlooshii binídaałt'éego da'ahílchíihgo, índa alį́į́' binídaałt'éego da'ahílchíihgo, índa nihokáá'góó nidaa'na'ii t'áá ałtso binídaałt'éego da'ahílchíihgo áyiilaa. Áko Diyin God éí yinééł'į́į'go bił yá'íít'ééh. 
1:1:026:0	Náá'ákóne' Diyin God ánáádoo'niid, Haa'íshą' diné t'áá nihináłt'éego, ádaniit'éhígi át'éego ádadiilnííł, áko tónteel biyi'di łó'ígíí áádóó wódahdi nidaat'a'ígíí áádóó alį́į́' áádóó nahasdzáán bikáá'góó t'áá át'éé nít'éé', índa ni' bikáa'gi nidaa'na'ii éí t'áá ałtso bee hódahólníih doo. 
1:1:027:0	Áko Diyin God nilíinii diné t'áá bí bináłt'éego áyiilaa; Diyin God biníjíłt'éego áhoolaa, biką'ii índa bi'áadii áyiilaa. 
1:1:028:0	Áádóó Diyin God hak'ijisdli'go áhodííniid, Niha'áłchíní hooleełgo k'ee'ąą nooht'į́įł doo, áádóó nahasdzáán bikáá'góó nihinołt'eehgo k'ee'ąą dínóht'įįh, áko tónteel yii' naaldeehii, wódahgo nidaat'a'ii índa nahasdzáán bikáa'gi dahináago naaldeehii t'áá ałtso bee nihídahólníih doo. 
1:1:029:0	Áádóó Diyin God ánáádoo'niid, Jó'akon, nanise' bílástsii' dahólónígíí ał'ąą ádaat'éii nihaa diní'ą́, índa tsin ał'ąą ádaat'éii bineest'ą' bílástsii' dahólónígíí ałdó' nihich'iyą' dooleeł. 
1:1:030:0	Áádóó nahasdzáán bikáa'gi naaldlooshii t'áá ałtso áádóó wódahdi nidaat'a'ii t'áá ałtso áádóó nidaa'na'ii t'áá ałtso índa nídídzihii nináneel'ą́ąjį' éí ch'il daditłée'ii bich'iyą' dooleełgo baa diní'ą́; éí t'áá ákót'é silį́į́'. 
1:1:031:0	Áko Diyin God éí áyiilaaígíí t'áá ałtso yinééł'į́į'go éí t'áá íiyisí bił yá'íít'ééh, jó'akon. Áko tł'éé' hazlį́į́' áádóó jį́ hazlį́į'jį' hastą́ą́h jį́ azlį́į́'.
