1:8:001:1	Tó yíląąd yę́ę ánásdįįd
1:8:001:0	Áko índa Diyin God éí Nóah yénálniih, índa naaldeehii t'áá ałtso áádóó alį́į́' t'áá ałtso tsinaa'eeł yii' hólóonii t'áá hoł yénálniih. Áko Diyin God éí nahasdzáán bikáa'gi níyolgo áyiilaa índa tó yaa nídí'nées'ąąd; 
1:8:002:0	tónteel bii'dę́ę́' índa yá bii'dę́ę́' tó dadeeshchxosh yę́ę dánéidi'níłkaal, áádóó wódahdę́ę́' nahałtin yę́ę áhodiilzee'; 
1:8:003:0	nahasdzáán bikáa'gi tó yaa ná'nool'ąął. Neeznádiindóó ba'aan ashdladiin yiską́ągo tó yaa aná'nool'ąąd. 
1:8:004:0	Áko tsosts'id nídízííd binih tsosts'idts'áadahgóó yoołkáałgo Áraratgi dził naaznil bikáa'di tsinaa'eeł dah náz'éél. 
1:8:005:0	Tó t'áá yaa ná'nool'ąąłgo neeznáá nídeezid, áko neeznáá nídízííd binih ła'a jį́į́ góne' dził bílátahí daat'į́ daazlį́į́'. 
1:8:006:0	Áádóó ákódzaago dízdiin yiską́ągo Nóah éí tsinaa'eeł bitsésǫ' ájiilaii ąą ájiilaago 
1:8:007:0	gáagii ch'ízhníłt'e', áko ni' náhooltseijį' t'áá áadi tádít'ááh. 
1:8:008:0	Hasbídí ałdó' ch'ízhníłt'e'; ni' bikáá'góó tó daats'í yaa aná'nool'ąąd jinízingo bee bééhodoozįįłígíí biniyé ch'ízhníłt'e', 
1:8:009:0	nidi hasbídí t'áadoo nódaahgigóó hach'į' tsinaa'eeł yaa nát'a', háálá nahasdzáán bikáá'góó t'áá át'éé nít'éé' tó. Áko tsinaa'eeł biyi'dę́ę́' ch'ízhdeelnii'go yah aníjííłtį́. 
1:8:010:0	Áádóó t'áá tsinaa'eeł yii' sidáago tsosts'id náánéíską́ągo índa tsinaa'eeł biyi'dóó hasbídí ch'ínáázhníłt'e', 
1:8:011:0	áko i'íí'ą́ągo hasbídí éí áliv bit'ąą' k'élghazhgo yoołtsahgo hoł yah anáát'a', ákohgo Nóah éí ni' bikáa'gi tó yaa aná'nool'ąądgo hoł bééhoozin. 
1:8:012:0	Áádóó tsinaa'eeł t'áá yii' sidáago tsosts'id náánéíską́, áko índa hasbídí ch'ínáázhníłt'e'go t'áadoo nát'a' da. 
1:8:013:0	Éí ákódzaago Nóah hastą́ądi neeznádiindóó ba'aan t'ááłá'í honááhaigo áłtsé nídízííd binih ła'a jį́į́ góne' ni' bikáa'gi tó anásdįįd, áko Nóah éí tsinaa'eeł bikáá'dę́'ígíí ąą ájiilaago jidéé'į́į́', áko ni' bikáá' t'ahdii náháltsááh lá. 
1:8:014:0	Áádóó naaki nídízííd binih naadiin tsosts'idgóó yoołkáałgo ałtso náhooltseii. 
1:8:015:0	Áko Diyin God éí Nóah áyidííniid, 
1:8:016:0	Tsinaa'eeł bii' haohkááh, ni áádóó ne'asdzą́ą́ áádóó niye'ké índa bida'asdzą́ą́ ałdó'. 
1:8:017:0	Bits'íís dahináanii ts'ídá t'áá ałtso ch'ínínííł; nidaat'a'ii áádóó alį́į́' índa nihokáa'gi nidaa'na'ii t'áá ałtso, áko ni' bikáa'gi ahánda'iiłchíihgo nahasdzáán bikáa'gi k'ee'ąą noot'į́į́ł dooleeł. 
1:8:018:0	Áko Nóah áádóó hwe'asdzą́ą́ áádóó haye'ké índa bida'asdzą́ą́ bił ch'íjíkai. 
1:8:019:0	Naaldlooshii t'áá ałtso áádóó nidaa'na'ii t'áá ałtso áádóó nidaat'a'ii t'áá ałtso índa nahasdzáán bikáa'gi naaldeehii ał'ąą ádaat'éii tsinaa'eeł bii'dę́ę́' ch'éheeskai. 
1:8:020:0	Áko Nóah éí Bóhólníihii bich'į' náázhdi'yoołnih biniyé bikáá' náá'iiniihí ájiilaa, áádóó alį́į́' daadáanii ła', áádóó nidaat'a'ii daadáanii ła' éí didlidgo nááhániihii bikáá' náá'iiniihí bikáa'jį' náádziisnii'. 
1:8:021:0	Áko Bóhólníihii éí náájiiłniihígíí łikání halchingo yishchą́ą'go Bóhólníihii bijéí biyi'di ádííniid, Diné haniinaa ni' doo hóyée'go bá hanáádeesdzih da, háálá diné t'áá áłchíní nilį́į́dę́ę́' bijéí bii'dę́ę́' doo yá'át'éehii bił ádaat'į́; hináanii nináneel'ą́ąjį' ásíłdįįdígi át'éego hináanii doo ánáádeeshdįįł da. 
1:8:022:0	Nahasdzáán hólǫ́ǫgi bikáá' k'ééda'dilyéehgo baa náhwiilzhíish doo, índa nida'nt'ą' doo áádóó hak'az índa hado, shį́ índa hai, jį́ índa tł'éé', éidí doo nidoot'ih da.
