1:31:001:1	Jéíkab éí Léíban yits'ą́ą́' anííchą́ą́'
1:31:001:0	Áko Jéíkab éí Léíban biye'ké kódaaníigo jidiizts'ą́ą́', Jéíkab éí nihizhé'é bí nít'é'ígíí ałtso bighazhdeet'ą́, áko nihizhé'é bí nít'é'ígíí bee ayóó ájít'é dzizlį́į́', Jéíkab jíínii'. 
1:31:002:0	Ákohgo Jéíkab éí Léíban baa ákozniizį́į'go t'ah nahdę́ę́' hach'į' át'éé nít'éé' yę́ę doo ákót'ée da. 
1:31:003:0	Nít'éé' Bóhólníihii éí Jéíkab áyidííniid, Danizhé'é yę́ę bikéyahgóó índa nik'éítahgóó nídídááh, áko nił honishłǫ́ǫ doo. 
1:31:004:0	Áko halgaidi na'nilkaadóó Jéíkab éí Réíchel índa Líyah ałdó' yíká i'ííł'a'go hágo yidííniid, 
1:31:005:0	áko áyidííniid, Nihizhé'é t'ah nahdę́ę́' shich'į' át'éé nít'éé' yę́ę doo shich'į' ákót'éégóó baa ákoniizį́į́', nidi shizhé'é biDiyin God shił hólǫ́. 
1:31:006:0	Nihił bééhózingo t'áá bíneesh'ánígi bee nihizhé'é bá naashnish nít'éé'. 
1:31:007:0	Nihizhé'é shina'azlo' índa baa honishnéhígíí neeznáadi ał'ąą ánáyiidlaa, ákondi atíshizhdoolíiłgi t'áadoo Diyin God hadi'ní'ą́ą da. 
1:31:008:0	Daastł'inígíí níí' neheleeh doo, shizhdííniidgo halį́į́' daastł'ingo deideeshchį́; Daashtłizhígíí níí' neheleeh doo, shizhdííniidgo halį́į́' dadeeshtłizhígíí náádeideeshchį́. 
1:31:009:0	Kót'éego Diyin God éí nihizhé'é bilį́į́' néidiinilgo sheinínil. 
1:31:010:0	Ákódzaago halį́į́' ada'niiltsąądgo, jó'akon, deenásts'aa' daashtłizhígíí áádóó daastł'inígíí áádóó áhánígo daastł'inígíí t'éiyá nináda'niyo'go baa neiseeł. 
1:31:011:0	Áádóó Diyin God bidiyingo naal'a'í biłee shich'į' haadzíi'go Jéíkab! shíłníigo shíízhi'. Áko ádííniid, Kǫ́ǫ́ honishłǫ́. 
1:31:012:0	Nít'éé' áshíłní, Díghaałgo níléí deenásts'aa' daashtłizhígíí áádóó daastł'inígíí áádóó áhánígo daastł'inígíí nida'niyoodgo níníł'į́, háálá Léíban ánííł'įįdígíí t'áá ałtso nésh'į́į́ nít'éé'. 
1:31:013:0	Shí Bétheldóó Diyin God ásht'į́; tsé íínítsigo ak'ah bik'i yeiniziid yę́ędi, áádóó shich'į' ádee háínídzíí' yę́ędóó ásht'į́, áko k'ad dah diinéehgo díí kéyahdóó nik'éí bikéyahgóó nídídááh. 
1:31:014:0	Áko Réíchel índa Líyah éí Jéíkab yich'į' haadzíi'go áyidííniid, Nihizhé'é bighandi ha'át'íhída nihíí' dooleełii ádin. 
1:31:015:0	Dé'éyóní niidlį́įgo nihaa nitsídzíkees ni'. Shą́ą́', nanihidziisnii' índa nihik'é naalyáhígíí ałtso bik'íjooyá. 
1:31:016:0	Nihizhé'é yit'íinii Diyin God néidiiláago éí k'ad nihíí' índa niha'áłchíní daabíí', áko k'ad Diyin God t'áá áníłnínígóó ánínééh. 
1:31:017:0	Áko Jéíkab nihizh'nínáago haye'ké índa ha'akéí ghą́ą́'ask'idii bikáá' dah bizdineesbin, 
1:31:018:0	áádóó halį́į́' t'áá ałtso áádóó Péídan-éíram hoolyéegi shójoost'e'ígíí hééł ájiilaago hazhé'é Áízak bich'į' Kéínan dine'é bikéyahgóó nihizh'níná. 
1:31:019:0	Léíban bilį́į́' táididoogishgóó ííyáago Réíchel éí dinéshchíín bich'į' nidahadláhígíí hazhé'é bee dzineez'į́į́' lá. 
1:31:020:0	Áko Jéíkab éí Síriya dine'é nilíinii Léíban wolyéii t'áadoo yiniihí áádóó t'áadoo yił halne'é yóó'anoot'į́į́' lá. 
1:31:002:1	Léíban éí Jéíkab yikéé' heedzá
1:31:021:0	Áko nihizh'nínáago ha'át'íhída hwee hólónígíí bił dashdíníichą́ą́', áádóó tooh ha'naa nizh'nínáago Dził Gíliyad bich'į' nihizh'níná. 
1:31:022:0	Nít'éé' táá' yiską́ągo índa Léíban bił hóone', Jéíkab yóó'íínáá lá, hodoo'niid. 
1:31:023:0	Áko hak'isóó ádíjii'nilgo bikéé' joonéełgo tsosts'id dahwiiską́ągo Dził Gíliyadi bízhníłná. 
1:31:024:0	Áko Síriya dine'é nilíinii Léíban wolyéii tł'ée'go Diyin God biłee haa honíle'go áhodííniid, Ádaa áhólyą́; t'ááká yá'át'éehgoda, doodaii' nichxǫ́'ígoda Jéíkab bich'į' hawóódziih lágo. 
1:31:025:0	Áko Léíban éí Jéíkab bízhníłná. Jéíkab éí dziłdi biníbaal nideiznil; Léíban áádóó hak'isóó Dził Gíliyadi haníbaal nidadziznil. 
1:31:026:0	Áádóó Léíban éí Jéíkab áyidííniid, Haashą' yínít'įįd? T'áadoo shił hólne'é íínínáá lá; shitsi'ké yisnááh nahalingo bił íínínáá lá. 
1:31:027:0	Ha'át'íishą' biniyé nanít'ingo shits'ą́ą́' anííníchą́ą́', áádóó shee aníní'į́į́' lá, áádóó t'áadoo shił hwíínílne' da? Shił hwíínílne'go t'éí sin áádóó ásaa' yilghaałígíí áádóó tsin tł'óół bąąh daneelzhee'go bee nida'a'néii índa nihi ł dahózhǫ́ǫgo shits'ą́ą́' dah doonáa dooleeł nít'éé'. 
1:31:028:0	Índa ha'át'éegoshą' t'áadoo shíni'dii shitsi'ké áádóó shitsóóké daséts'ǫsí dah dini'eezh lá? Doo áhólyą́ą́góó ánít'į́! 
1:31:029:0	Nideeshłíłígíí bíneesh'ą́ą nidi; tł'éédą́ą́' nizhé'é biDiyin God shich'į' haadzíi'go ání, Ádaa áhólyą́; t'ááká Jéíkab yá'át'éehgo, doodaii' nichxǫ́'ígo bich'į' hawóódziih lágo. 
1:31:030:0	Shizhé'é bighangóó nihideesh'nééł t'áá íiyisí bídin nilį́į́ nít'é'ígíí k'ad ákǫ́ǫ́ yínééł, nidi ha'át'íishą' biniyé dinéshchíín shee níní'į́į́'? 
1:31:031:0	Áko Jéíkab éí Léíban ánéidoo'niid, Násdzidgo lą́ą, háálá ádíshní, Nitsi'ké shighawóó'nííł lágo, nisingo bąą ásht'į́. 
1:31:032:0	T'áá háiida dinééshchíín nits'ą́ą́' neijaahgo bik'ííníyáá shį́į́; éí háni'dii doo jiináa da doo. Nihik'éí dabinááł shee hólónígíí bitahgi ha'át'íhída nihígíí hanítáago nídiilé. Háálá Réíchel yineez'į́'ígíí doo hoł bééhózin da. 
1:31:033:0	Áko Léíban dashdiiyáago Jéíkab biníbaal biyi' góne' yah ajííyá, áádóó Líyah biníbaal biyi' góne' ałdó', índa asdzání naaki naal'a'ígíí biníbaal biyi' góne' ałdó', áko t'áadoo bik'ízhních'id da. Líyah biníbaal biyi'dóó ch'éédzídzáago Réíchel biníbaal biyi' góne' yah ajííyá. 
1:31:034:0	Áko Réíchel éí dinéshchíín néidiinilgo ghą́ą́'ask'idii biyéél biyaa góne' ayíínilgo yik'i sidá, áko haníbaal biyi' t'áá át'é Léíban ch'ééh nináá'ázhch'id, nidi t'áadoo yik'íních'id da. 
1:31:035:0	Áko hazhé'é ábizhdííniid, Doo nídoosh'nééh át'ée daígíí t'áadoo bik'ee níni' si'ání, bóhonish'níihii, háálá ąądii sélį́į́'. Áko nináá'jízhch'id, nidi t'áadoo bik'ízhních'id da. 
1:31:036:0	Áko Jéíkab t'áá íiyisí báhóóchįįdgo kóníigo Léíban ayóo nayíyáłti', Ha'át'íishą' bee doo ákǫ́ǫ́ íít'įįd da? Ha'át'íishą' bee ádił asísiihgo t'áadoo biniyéhígóó shikéé' híínídzá. 
1:31:037:0	Shinaalye'é t'áá ałtso bii' nishíních'id, áko ha'át'íishą' nighandóó naalye'é shį́į́ nídinilá? Kwe'é shik'éí índa nik'éí binááł ninílé, áko nihá yaa nídadóot'įįł. 
1:31:038:0	T'áá nił naash'aashgo naadiin nááhai; nidibé dabi'ádígíí índa tł'ízí dabi'ádígíí t'áadoo bitsą́ hada'iiz'éel da, índa nideenásts'aa' t'áadoo ła' yishghal da. 
1:31:039:0	Dabi'doot'aalígíí éí doo naa hánil da; éí bik'é niná'ayéshdla'; jį́įgoda, doodaii' tł'ée'goda nit'įįhígíí éí bee shaa nánít'į́į́ nít'éé'. 
1:31:040:0	Kónísht'éé nít'éé'; jį́įgo hadoh bik'ee ti'hooshnííh nít'éé'; tł'ée'go hak'az bik'ee ti'hooshnííh nít'éé', áko díí bił shits'ánéíłkééh nít'éé'. 
1:31:041:0	Kót'éego nighangi naadiin shinááhai; nitsi' naaki bik'é naash'a'go dį́į́'ts'áadah nááhai, índa nilį́į́' bik'é naash'a'go hastą́ą́h nááhai, áádóó ałdó' naa honishnéhígíí neeznáadi ał'ąą ánéinidlaa. 
1:31:003:1	Jéíkab éí Léíban yił aha'deet'ą́
1:31:042:0	Áko shizhé'é biDiyin God éí Éíbraham yę́ę biDiyin God índa Áízak biDiyin God yidósinígíí doo shił hólǫ́ǫ́góó t'áá aaníí t'áá kohígo ashííníł'a' doo nít'éé'. Diyin God éí shich'į' nahwii'nánígíí áádóó shinaanishígíí yiyiiłtsą́, áko tł'éédą́ą́' nideezteh. 
