1:49:001:1	Jéíkab biye'ké náásgóó ádaat'ée dooígíí yee yił hoolne'
1:49:001:0	Áko Jéíkab haye'ké hágo bizhdííniidgo ábijiní, Ahąh óhnééh, áko náás yidiiską́ą́góó nihich'į' ádahodooníłígíí bee nihił hodeeshnih. 
1:49:002:0	Jéíkab biye'ké danohłíinii, ahąh óhnéehgo da'íísółts'ą́ą́';nihizhé'é Ízrel deísółts'ą́ą́'. 
1:49:003:0	Rúben, ni alą́ąjį' shá yizhchíinii nílį́; shidziil áádóó shitsxe' bee deezt'i'ii nílį́;Diné aláahgo baa ha'niihii índa alą́ąjį' hoo'áałii nílį́. 
1:49:004:0	Tó naanáálk'ołígíí nahonílinígíí biniinaa doo alą́ąjį' hoo'áałii nílį́į da doo,Háálá nizhé'é bitsásk'ehgi baa díí'nílá, áko yíníłchxǫ'; shibikáá' dah antéhí bikáa'jį' ííníyá. 
1:49:005:0	Símiyan índa Líívai ałk'is nidlį́; bidiltłish yee be'ádíláhígíí doo yits'íidii ádaat'é. 
1:49:006:0	Shii' sizíinii nílíinii, t'áá nahont'inee naha'áhígíí t'áadoo bich'į' nanináhí;Bee ayóó ánísht'éii bee t'áadoo bił łá'í nílíní, háálá báháchįįhgo diné yiyiiłhééh,Áádóó t'áá bí íinízinii bik'ehgo kin biná'ástł'in yiyaa e'enił.  
1:49:007:0	Báháchįįhígíí hóyée'go bá ha'iidziih, háálá t'áá íiyisí hashkéÁádóó t'áá íiyisí doo jooba'góó báháchįįh; Jéíkab dine'é bitahgi ałts'ą́ąjį' ho'deesh'nih áádóó Ízrel dine'é bitahgi taizhdookah. 
1:49:008:0	Júdah, ni nik'isóó naa dahaniih doo;Ni'ana'í dabik'os yínítą' doo;Nizhé'é biye'ké nich'į' yaa áńdaat'įįh doo. 
1:49:009:0	Júdah éí náshdóítsoh bitsiijį' ditł'ooígíí biyázhí jílį́;Naniłtseedígíí bits'ą́ą́' dah diniyá, shiye'.Jishjį́įdgo náshdóítsoh bitsiijį' ditł'ooígíí nahojílingo dzizdá,Áádóó náshdóítsoh bitsiijį' ditł'ooí sánígi át'éego dzizdá; háishą' tsíbididoołyis?  
1:49:010:0	Naat'á gish Júdah doo bighadootį́įł da;Éí Sháíloh níyáajį' naat'áanii bigish bikee' bita'dę́ę́' doo hadootį́įł da,Áádóó éí bá diné áłashdooleeł. 
1:49:011:0	Bilé'é yázhí éí ch'il na'atł'o'ii sikaadgo yąąh dah náyiitł'óóh;Bitélii yázhí éí ch'il na'atł'o'ii agháago yá'át'éehii sikaadgo yąąh dah náyiitł'óóh;Wáin bii' bi'éé' tánéízgiz áádóó yee hadít'éhígíí ch'il na'atł'o'ii bidił biyi' tánéízgiz; 
1:49:012:0	Bináá' éí wáin biláahgo dinilzhin doo,Índa biwoo' éí abe' biláahgo łigai doo. 
1:49:013:0	Zébyulan éí tónteel bibąąhdi táłts'á'ii'eełgi kééhat'į́į doo;Ákwe'é tsinaa'eeł dah nídahatł'óoh doo,Áádóó bikéyah Sáídan kin haal'áii bíighahdi hoodzo dooleeł. 
1:49:014:0	Ísakar éí télii bidziilii hééł naakiígíí bita'gi dziztíinii jílį́, 
1:49:015:0	Áko háá'iiyį́į́h yá'áhoot'ééh léi'gi hodziiłtsą́,Índa kéyah hózhóní yee',Áko dah azhdidooyééł biniyé hawos yaa ájiilaa,Áádóó á naal'a'í dzizlį́į'go naanish dabidziilii t'éiyá baa nijighá. 
1:49:016:0	Dan éí Ízrel dine'é bitahdóó ła' dine'é jílį́įgo hodine'é baa níjít'į́į doo. 
1:49:017:0	Dan éí honít'i'gi tł'iish sitínígíí jílį́į doo;Łį́į́' be'atiinígíí bikáá' tł'iish na'ałtseedii jílį́į doo;Éí łį́į́' bikétalígíí ahijiiłháashgo biniinaa bik'i dah nidadzizdáhígíí t'ą́ąjigo adahizhnidéeh dooleeł. 
1:49:018:0	Bóhólníihii nílíinii, nibee yisdá'iildéehii biba' ánísht'éego hoolzhiizh. 
1:49:019:0	Géed éí nidaabaahígíí bik'íidookah, nidi yik'eh nídidoodleeł. 
1:49:020:0	Ásher bits'ą́ą́dóó ch'iyáán yá'ádaat'éehii hólǫ́ǫ doo,Índa aláahgo naat'áanii bich'iyą' daalkanii náhoodleeł doo. 
1:49:021:0	Náftalai éí bįįhtsa'ii bidoochidígíí nilį́;Éí ílíinii yee yáłti'. 
1:49:022:0	Jóseph éí tsin bits'áoz'a' bąąh bineest'ą' t'óó ahayóí náhoodleełii jílį́;Éí tó háálínígíí bíighahgi tsin bits'áoz'a' bąąh t'óó ahayóí náhoodleeł; bits'áoz'a' tsé yítł'inígíí bilááh dahaazyį́. 
1:49:023:0	Da'diłt'ohii háni' dayiił'a'go hak'ee dadiniihgo dahółt'óóh, 
