1:45:001:1	Jóseph bik'isóó yich'į' ádééhoosįįd
1:45:001:0	Ákohgo Jóseph hwíighahgóó naazínígíí binááł doo hasht'ezhdit'eehgóó biniinaa yéego hadzoodzíi'go ájíní, Diné t'áá ałtso átsé ch'ínóhkááh, dabidohní. Áko diné doo ła' wóne' nidaaldeehgóó Jóseph hak'isóó bich'į' ádééhojooszįįd. 
1:45:002:0	Áko ayóó íits'a'go jíícha, áko Ííjip dine'é Féro bighandóó nidaakaígíí dahodiizts'ą́ą́'. 
1:45:003:0	Áko Jóseph bik'isóó áyidííniid, Shí Jóseph ásht'į́. Da' shizhé'éésh t'ah hiná? Áko hak'isóó bił nidzizínígíí doo hach'į' hadaodziih ádaadzaa da, háálá t'óó bił adahayóigo nídaasdzííd. 
1:45:004:0	Áko Jóseph bik'isóó áyidííniid, T'áá shǫǫdí, shíighahjį' ninohkááh. Áko hwíighahjį' nijíkaigo áhodííniid, Shí, Jóseph nihik'is, Ííjip kéyahjį' nidahisoołnii'ígíí ásht'į́. 
1:45:005:0	Áko kojį' nidashiyoołnii'ígíí t'áadoo bąąh danihíni'í, índa t'áadoo ách'į' nihá nídahachįįhí. Háálá Diyin God t'áá nihítséedi shiníł'a'go dahináanii dadoodzih biniyé ádzaa lá. 
1:45:006:0	Háálá díí kéyah bii' hodichingo k'ad naaki nááhai, áádóó ashdla' nináádoohah hadziih; éí bii' doo nidahwiildlaad da doo, índa doo da'agizh da doo. 
1:45:007:0	Nidi Diyin God nihítséedi kojį' shiníł'a'; éí niha'áłchíní nahasdzáán bikáá'góó náás da'ahílchíih doo, índa shí shinahjį' ayóó át'éii bee dadoohdzih biniyé ádzaa. 
1:45:008:0	Áko nihí doo kwe'é dashinooł'a' da, nidi Diyin God át'į́, áko Féro bizhé'é nishłį́įgo índa bighan t'áá át'é áádóó Ííjip kéyah t'áá át'éé nít'éé' binanisht'áago áshiilaa. 
1:45:009:0	Tsxį́įłgo shizhé'é bich'į' nídóhkáahgo ádabididoohniił, Niye' Jóseph kóní, Diyin God éí Ííjip kéyah t'áá át'éé nít'éé' binanisht'áago áshiilaa; t'áadoo na'áhodílziidí áádę́ę́' shaa díínááł. 
1:45:010:0	Áko Góshen kéyahgi kéédahoht'į́į doo; ni lá áádóó na'áłchíní áádóó éí banááda'áłchíní índa nidibé, nibéégashii índa nee hólóonii t'áá ałtso bił t'áá áyídígóó kééhoht'į́į doo. 
1:45:011:0	Ákwii nihaná'ástso' doo, háálá t'áá hodichingo ashdla' nínáádoohah. Áko ni áádóó bił dah yinéełii índa nee hólóonii t'áá ałtso doo nihaa dahojoobá'í dadoohłeeł. 
