1:36:001:1	Íísa bits'ą́ą́dóó adideezhchíinii
1:36:001:0	Díidí Íísa ba'áłchíní náás da'ahílchíihii ádaat'į́ (Íísa éí Íídam ałdó' wolyé). 
1:36:002:0	Íísa éí Kéínan dine'é bitsi'ké ba'ákéí áyiilaa: Het dine'é Íílan bitsi' Éídah wolyéii áádóó Háíva dine'é Zíbiyan bitsi' Éínah wolyéii bich'é'é Ahólibéíma wolyéii 
1:36:003:0	índa Íshmeiyel bitsi' Niibéíyath bilah Báshiimath wolyéii ba'ákéí áyiilaa. 
1:36:004:0	Áko Éídah éí Élifaz wolyéii Íísa yá yishchį́, áádóó Báshiimath éí Rúwel yishchį́, 
1:36:005:0	índa Ahólibéíma éí Jíí'ash áádóó Jéíyalam índa Kórah niyiishchį́; díidí Íísa biye'ké ádaat'į́; kéyah Kéínan biyi' bá niheezhchį́. 
1:36:006:0	Áádóó Íísa ba'ákéí áádóó biye'ké áádóó bitsi'ké índa bił nijikaígíí t'áá ałtso áádóó bibéégashii índa bilį́į́' áádóó Kéínan kéyahdóó hwee hazlį́'ígíí náájíizhchidgo hatsilí Jéíkab bits'ą́ą́' náánáła' kéyahgóó dashdiiná. 
1:36:007:0	Háálá jit'ínígíí t'óó ahayóigo biniinaa t'áá ła' kééhojit'į́į dooleełígíí doo bohónéedzą́ą da, áádóó éí kéyahgi dé'éyóní dajílį́įgo halį́į́' t'áá át'é doo bohóoghah da. 
1:36:008:0	Íísa éí Dził Síyerdi kééhat'į́; Íísa t'áá éí Íídam wolyé. 
1:36:009:0	Díí éí Dził Síyerdi Íísa éí Íídam dine'é yizhé'é nilíinii ba'áłchíní náás da'ahílchíihii ádaat'į́. 
1:36:010:0	Áko Íísa biye'ké kódaolyéé nít'éé': Íísa be'asdzą́ą́ Éídah biyáázh Élifaz wolyéii áádóó Íísa be'asdzą́ą́ Báshiimath biyáázh Rúwel wolyéii. 
1:36:011:0	Élifaz biye'ké éí Tííman áádóó Ómar áádóó Zíífai áádóó Géítam índa Kíínez daolyé. 
1:36:012:0	Áko Tímna éí Íísa biye' Élifaz be'asdzą́ą́ yíł'íní jílį́; Ámalek éí Élifaz yá yishchį́; díí éí Íísa be'asdzą́ą́ Éídah biyáázhké ádaat'į́. 
1:36:013:0	Áádóó Rúwel biye'ké: Néíhath áádóó Zíírah áádóó Shámmah índa Mízzah daolyé; díí éí Íísa be'asdzą́ą́ Báshiimath biyáázhké ádaat'į́. 
1:36:014:0	Áko Zíbiyan wolyéii bitsi' Éínah hach'é'é Ahólibéíma éí Íísa be'asdzą́ą́ nilį́, áko díí Ahólibéíma biyáázhké ádaat'į́: Jíí'ash áádóó Jéíyalam índa Kórah éí Íísa yá niyiishchį́. 
