1:26:001:1	Áízak éí Gíírargi áádóó Bíyer-shííbagi naagháá nít'éé'
1:26:001:0	Éíbraham hináádą́ą́' átsé hodííchįįdii éí náábík'ijį' kéyahgi nááhodííchįįd. Áko Filístiya dine'é binanit'a'í Abímelek bich'į' Gíírar hoolyéejį' Áízak dashdiiyá. 
1:26:002:0	Áko Bóhólníihii hach'į' yit'íní í'diilyaago áháłní, Doo Ííjip kéyah góyaa díínáał da; kéyah bikáá' kééhót'į́į dooígíí bee nił hodeeshnih. 
1:26:003:0	Díí kéyahígíí bikáá' nidíínééł, áko nił honishłǫ́ǫgo nik'ijishdlíi doo, áádóó ni índa na'áłchíní náás da'ahílchíihii díí kédaayahígíí t'áá ałtso nihitaadideesh'aał, áko Éíbraham nizhé'é bich'į' bee ádee hadeesdzíi'ii bi'deeshłííł. 
1:26:004:0	Áko na'áłchíní náás da'ahílchíihii wót'áahdi sǫ'ígi ánéelą́ą'go k'ee'ąą noot'į́įłgo ádeeshłííł, áádóó ni índa na'áłchíní náás da'ahílchíihii díí kédaayahígíí t'áá ałtso nihitaadideesh'aał, índa nahasdzáán bikáa'gi na'áłchíní náás da'ahílchíihii binahjį' ał'ąą dine'é t'áá ałtso bik'idahozhdoodliił, 
1:26:005:0	háálá Éíbraham shizaad yik'eh hóół'įįd; éí bich'į' yíł'aadígíí áádóó shibik'eh ó'oo'níiłii áádóó bee nihoyí'áanii índa shibee nahaz'áanii yik'eh hóół'įįd. 
1:26:006:0	Áko Áízak éí Gíírargi kééhojit'į́. 
1:26:007:0	Ákwe'é diné kéédahat'ínígíí hwe'asdzą́ą́ yíndahódééłkidgo, Shideezhí jílį́, jidííniid, She'asdzą́ą́ át'é, jididooniiłígíí bik'ee hoł yée'go biniinaa, áádóó Rebékah hodi'níl'į́įgo jízhóníyee'go biniinaa diné ákwe'é kéédahat'ínígíí dashidiyoołhééł sha'shin dziniizį́į́'. 
1:26:008:0	Áádóó ákódzaa, ákwe'é kééhojit'į́įgo nízaad nihoolzhiizhgo Filístiya dine'é aláahgo binanit'a'í Abímelek wolyéii tsésǫ'dę́ę́' déé'į́į́' nít'éé'; Áízak índa hwe'asdzą́ą́ Rebékah bił na'ahiji'nilgo hoołtsą́. 
1:26:009:0	Áko Abímelek éí Áízak hágo yidííniidgo ání, Jó, t'áá aaníí ne'asdzą́ą́ át'éé lá; ha'át'éegoshą', Shideezhí jílį́, diní? Áko Áízak ázhdííniid, Honiinaa dadeestsaał sha'shin nisingo biniinaa ádíshní. 
1:26:010:0	Áko Abímelek ání, Díishą' haa nihííníł'įįd? Diné ła'da ne'asdzą́ą́ yił neezhtéezhgo dashą'; bąąhági át'éii yiih nihíínil doo nít'éé'. 
1:26:011:0	Áádóó Abímelek bidine'é kót'éego yi'níłnii'go ání, Díí diné índa be'asdzą́ąda t'áá bizhdeelchidígíí éí t'áá aaníí hodi'yoolyééł. 
1:26:012:0	Áízak éí kéyah yikáá' k'i'díílá, áko t'áá éí yihahígíí biyi' neeznádiindi ánánéelą́ą'go há bilááh násdlį́į́', áádóó Bóhólníihii hak'ijisdli'. 
1:26:013:0	T'áá íiyisí náás deeyá, áádóó yódí boosą́ągo t'áá íiyisí bidziilgo dah adiilá. 
1:26:014:0	Bá dibé dah danéilkaad, áádóó bibéégashii deíl'á, índa t'óó ahayóí bá nidaal'a'; éí bąą Filístiya dine'é bik'ee dadeeznih. 
1:26:015:0	Áko Éíbraham hazhé'é yę́ę hináádą́ą́' bá nidaal'a'í tó hahadleeh ádayiilaa yę́ę éí Filístiya dine'é łeezh yee hats'ą́ą́' háádahodeesbįįd. 
1:26:016:0	Áko Abímelek éí Áízak áyidííniid, Nihits'ánínééh, háálá nihiláahgo ánóodziil sínílį́į́'. 
1:26:017:0	Áko Áízak dah diináago Gíírar honíteelgi honíbaal nizhnínil; ákwii kéénááhojit'į́į́ nít'éé'. 
1:26:018:0	Áko Áízak éí Éíbraham hazhé'é yę́ę hináádą́ą́' tó hadahaas'nil yę́ęgi tó hahadleeh náádahodeesbįįd yę́ęgi tó háádayiisnil; éí Éíbraham daaztsą́ą́dóó bik'ijį' Filístiya dine'é háádahodeesbįįd nít'éé', áko hazhé'é yę́ę tó hadahadleeh yee dayízhi'ígíí t'áá éí bee náádajíízhi'. 
1:26:019:0	Áádóó honíteelgi Áízak bá nidaal'a'í t'áá bíni' tó háálíinii yik'ída'azgeed. 
1:26:020:0	Áádóó Gíírardóó nida'niłkaadii Áízak bá nida'niłkaadii tó biniinaa yił ahinídiijée'go ádaaní, Tó éí nihí, áko tó hahadleeh Íísek bee hojíízhi', háálá biniinaa ahinízhdiijéé'. 
1:26:021:0	Áko tó ła' hanáádadziis'nilgo éí ałdó' biniinaa ahinínáázhdiijéé', áko éí Sítnah bee hojíízhi'. 
1:26:022:0	Áko áádóó dah náázhdii'náago tó ła' hanáádadziis'nil; éí índída t'áadoo biniinaa ahinízhdiijée' da. Áko Riihóbath hoolyée doo, jidííniid; k'ad Bóhólníihii nihá hooł'a', áko díí kéyahgi k'ee'ąą díníit'į́į́ł. 
1:26:023:0	Áko Bíyer-shííbagóó náájí'ná. 
