1:34:001:1	Dáínah t'óó baa yáhásinígi ábiilaaígíí k'éébi'diilyaa
1:34:001:0	Áádóó Líyah bich'é'é Dáínah éí Jéíkab bá jishchínígíí kéyahdi asdzání kéédahat'į́į́góó hootah ííyá, 
1:34:002:0	áko Háívah dine'é nilíinii Héímor wolyéii biye' Shííkem éí kéyahdóó naat'áanii nilį́įgo Dáínah yidánoos'niid, áádóó yił ninídéelgo t'óó baa yáhásinígi át'éego áyiilaa. 
1:34:003:0	Áko Shííkem éí Jéíkab bitsi' Dáínah k'ad yidáahjį' bi'niitsą́, áko ch'ikę́ę́h ayóó'áyó'níigo hazhóó'ógo łíídilchíigo yich'į' yáłti'. 
1:34:004:0	Áko Shííkem bizhé'é Héímor yich'į' haadzíi'go ání, Díí ch'ikę́ę́h shá naa dooltéelgo she'asdzą́ą́ dooleeł. 
1:34:005:0	Nít' éé' Jéíkab hatsi' Dáínah éí diné t'óó baa yáhásinígi ábííł'įįdgo jíínii', nidi haye'ké halgaidi halį́į́' nideiniłkaadę́ę́' nináhaaskaigo índa baa nídéesht'įįł, jiniizį́į́'. 
1:34:006:0	Áádóó Shííkem bizhé'é Héímor éí Jéíkab yił yaa nídóot'įįł biniyé yich'į' ííyá. 
1:34:007:0	Áádóó Jéíkab biye'ké dayíínii'go nida'niłkaadę́ę́' nináhaaskai, áko éí yik'ee bíni' dei'a' áádóó t'áá íiyisí doo bił dahaldin da, háálá Ízrel dine'é bitahgi bąąhági ádziidzaa. Jéíkab bitsi' bił jineezhtéézh lá. Ákót'éii doo ádoolníił da nít'éé'. 
1:34:008:0	Áko Héímor ídéé łkidgo ání, Shiye' Shííkem éí nitsi' t'áá íiyisí yidánoolní; t'áá shǫǫdí nánooshkąąh, be'asdzą́ą́ dooleeł biniyé baa nołteeh. 
1:34:009:0	Ahánda'iigeh doo, áádóó nihitsi' nihaa dahohníił doo, índa nihí ałdó' nihitsi' nihaa dahii'níił doo. 
1:34:010:0	Áko nihił kéédahoht'į́į doo; díí kéyahgi t'áá nihí danohsingóó kéédahoht'į́į doo, índa nida'iyołniih doo, áádóó ákwii naadeełí nishódahoołt'eeh doo. 
1:34:011:0	Shííkem éí Dáínah bizhé'é índa bilahkéí áyidííniid, Shíni' ajooba' bee shich'oha'néego shąąh tsídadoohkos; t'áá shídeínóokeedígíí nihaa deeshłééł. 
1:34:012:0	Doogehii áádóó aa yílyáii t'áá shídeínóokeedígo nihaa deeshnił; azhą́ lą'í nidi ch'ikę́ę́h t'éí she'asdzą́ą́ dooleeł biniyé shaa nołteeh. 
1:34:013:0	Áko Jéíkab biye'ké éí Shííkem índa bizhé'é Héímor yida'doolohgo yich'į' hadaasdzíí', háálá Jéíkab biye'ké bideezhí Dáínah t'óó baa yáhásinígi ájiilaa, 
1:34:014:0	áko ádahodííniid, Díí doo ádao'nééh át'ée da; doo bąąh náhineeshgizhígíí nihideezhí doo baa daoltééł át'ée da; éí diné baa daniiltį́įgo baa yáhásingo nihidi'níl'į́į dooleeł. 
1:34:015:0	Nidi díí t'éí bee niha'dadi' diit'ááł: nihí ádaniit'éhígi ádanoht'éego diné danohłínígíí t'áá ánółtso nihąąh nídahineeshgizhgo t'éiyá nihaa dadiiltééł. 
1:34:016:0	Ákohgo índa danihitsi'ké nihaa dahidii'nił, áádóó nihí ałdó' danihitsi'ké nihaa dahidoohnił, áko kéédahwiit'į́įgo t'ááłá'í dine'é dadiidleeł. 
1:34:017:0	Ákondi ąąh náhinilgish danihidii'nínígíí doo danohsingóó nihich'eekę' t'óó bił dah didii'nééł. 
1:34:018:0	Áko dabizaadígíí Héímor índa biye' Shííkem ałdó' bił yá'át'ééh. 
1:34:019:0	Áko dinééh t'áá áko bił yá'íít'ééh, háálá Jéíkab bitsi' t'áá íiyisí hoł yá'át'ééh. Hazhé'é ba'áłchíní bitahgi t'áá hó t'éiyá aláahgo ajílį́. 
