1:13:001:1	Éíbram éí Lat yił ałts'ázná
1:13:001:0	Áko Éíbram áádóó hwe'asdzą́ą́ áádóó hwee hólóonii t'áá ałtso índa Lat ałdó' Ííjip kéyahdóó kéyah Shádi'ááh hoolyéejį' ch'ízhníná. 
1:13:002:0	Áko Éíbram éí béégashii áádóó béésh łigaii índa óola t'áá íiyisí bee ajit'į́. 
1:13:003:0	Áádóó kéyah Shádi'ááh hoolyéédóó Béthel áádóó Éí'ai bita'gi átsé honíbaal nizhnínilíjį' níjoo'nééł. 
1:13:004:0	Átsé bikáá' náá'iiniihí ájiilaa yę́ęjį' níjí'náago ákwii Éíbram éí Bóhólníihii bízhi' józhíigo bich'į' sozdoolzin. 
1:13:005:0	Lat ałdó' Éíbram bił tázhdínéehgo hadibé áádóó halį́į́' índa haníbaal hólǫ́. 
1:13:006:0	Áko t'áá ła' kééhojit'į́įgo éí kéyah doo hohóóghah da; t'áá íiyisí bidziilgo dah ajooléełgo biniinaa doo t'áá ła' kééhojit'į́į le' át'ée da. 
1:13:007:0	Áko Éíbram bá nida'niłkaadii áádóó Lat bá nida'niłkaadii ahináádiijah. Íídą́ą́' Kéínan dine'é índa Píírez dine'é éí kéyahgi kéédahat'į́į́ nít'éé'. 
1:13:008:0	Áko Éíbram éí Lat áyidííniid, Haa'íshą' t'áadoo ahináádiiltłi' í doo, áádóó nihá nida'niłkaadii ałdó' t'áadoo ahináádiijahí doo, háálá ałk'isóó daniidlį́. 
1:13:009:0	Níléígóó díní'į́į́', jó, kéyah adahwiis'á. T'áá shǫǫdí shits'ánínééh; nish'náajigo dah dinináago shí nishtł'ajigo dah dideesh'nééł; éí doodaléi' ni nishtł'ajigo dah dinináago shí nish'náajigo dah dideesh'nééł. 
1:13:010:0	Áko Lat nidzizghalgo Jórdan tooh binaagóó honíteelgi t'áá át'é tó bee áda'azįįdgo dziiłtsą́; Bóhólníihii t'ah doo Sádam índa Gomárah ííłdįįhdą́ą́' Bóhólníihii bidá'ák'eh honoolnin áádóó ałdó' Zó'er hoolyéii bich'ijígo kéyahígíí Ííjip kéyah honoolnin. 
1:13:011:0	Áko Lat éí Jórdan tooh bich'ijígo honíteelígíí ádeideet'ą́, áádóó Lat éí ha'a'aahjigo dashdiiná; kót'éego ałts'ázhníná. 
1:13:012:0	Éíbram éí kéyah Kéínan hoolyéhígi kééhojit'į́; Lat éí honíteelgi kin hadaas'áágóó tázhdínééh, áádóó Sádam kin haal'áagi haníbaal nizhní'ą́. 
1:13:013:0	Nidi Sádam dine'é t'áá íiyisí doo yá'ádaashxǫ́ǫ da; Bóhólníihii yich'į' t'áá íiyisí ádił da'ílzííh. 
1:13:014:0	Áko Éíbram éí Lat hats'ánínáádóó bik'ijį' Bóhólníihii áhodííniid, Náhookǫsjigo áádóó shádi'áahjigo áádóó ha'a'aahjigo índa e'e'aahjigo díní'į́į́'. 
1:13:015:0	Kéyah t'áá át'é yíní'ínígíí éí naa dideesh'ááł; na'áłchíní náás da'ahílchíihii ałdó' hool'áágóó daabíí' dooleeł. 
1:13:016:0	Áko na'áłchíní náás da'ahílchíihii łeezhígi ánéelą́ą'go ádeeshłííł, áko diné ła'da łeezh yiyííłta'go na'áłchíní náás da'ahílchíihii ałdó' yízhdóołtah. 
1:13:017:0	Dah diinááh; kéyah náásee índa naaniigo hadiinááh, háálá díí kéyah naa dideesh'ááł. 
1:13:018:0	Áko Éíbram honíbaal nizh'diinilgo dashdiiná; Hííbran honíteel Mámre wolyéhígíí bichéch'il naazkaadígi nizhnínáago ákwii Bóhólníihii bich'į' náázhdi'yołnih biniyé bikáá' náá'iiniihí ánáájiidlaa.
