1:40:001:1	Jóseph éí awáalyaaí nayiizyeelígíí ááhyiłníinii yee yił hoolne'
1:40:001:0	Ákódzaadóó bik'ijį' Ííjip dine'é aláahgo binanit'a'í yaná'ákáhígíí índa bibááh ííł'íní Ííjip kéyahgi aláahgo naat'áanii doo yił hóshǫ́ǫ́góó áyiilaa. 
1:40:002:0	Áko díí naakigo, anída'akáhígíí binanit'a'í índa bááh ádeił'íinii binanit'a'í yich'į' Féro báhóóchįįd. 
1:40:003:0	Áádóó siláo binanit'a'í bighangi awáalyaa góne' yah ahóónil; ákwe'é Jóseph awáalyaa sidá. 
1:40:004:0	Áko siláo binanit'a'í éí Jóseph áyidííniid, Hazhó'ó baa áhólyą́, áko yaa áhályą́ągo t'áá awáalyaa góne' sikéego t'áá hodíína'. 
1:40:005:0	Áádóó t'áá ła'óo tł'éé' t'áá ájíłah t'áá ał'ąą át'éego nidziizyeel; Ííjip dine'é aláahgo binanit'a' í yaná'ákáhí índa bááh ííł'íní awáalyaa góne' dzizkéego nidziizyeel. 
1:40:006:0	Áko abínígo Jóseph hoł yah ííyáago yínííł dzizkéego haa ákoniizį́į́', jó'akon. 
1:40:007:0	Áko hananit'a'í bi'awáalyaa góne' Féro binaal'a'í bił awáalyaa jizhjé'ígíí neízhdééłkidgo ábizhdííniid, Díí jį́shą' ha'át'íí bąąh nihíni'go sooké. 
1:40:008:0	Áko áhodííniid, Neisiigeelgo baa neisiigeelígíí ááhyiłníinii t'áadoo yee nihił hólne'í da. Áko Jóseph áhodííniid, Ááhyiłníinii éí Diyin God yíí' nilíinii t'éiyá yaa hodoolnih. Baa neisooyeelii bee shił hołne', t'áá shǫǫdí. 
1:40:009:0	Áko anída'akáhígíí binanit'a'í nidziizyeelígíí bee Jóseph bił hojilne'go ázhdííniid, Neiseełgo, shoo, ch'il na'atł'o'ii léi' shidááhgóó sikaad nisin; 
1:40:010:0	éí ch'il na'atł'o'ii bits'áoz'a'ígíí táá'; éí bílátahgóó dah deitsoii nahalin, áádóó bílátahí dahazlį́į́', áádóó índa ch'il na'atł'o'ii bąąh neest'ą́. 
1:40:011:0	Áádóó Féro bibee adlání dah yish'áałgo ch'il na'atł'o'ii ni'diinilgo Féro bibee adlání biyi'jį' bitoo' bąąh sénihgo Féro bílák'ééką́ nisin. 
1:40:012:0	Áko Jóseph áhodííniid, Díí ááhyiłní, Táá' bits'áoz'a'ígíí éí táá' yidoołkááł. 
1:40:013:0	Táá' yiską́ągo Féro ch'éenidoołt'eełgo ninaanish naa néididoo'ááł, áádóó Féro bibee adlání bee t'áá nahdę́ę́' baa ná'íkááh nít'éé' yę́ę bee bílák'ee nínáá'íkáah doo. 
1:40:014:0	Áko ch'éeni'deelt'e'go shéénílniih doo, áádóó shaa jiiníba' doo, índa, t'áá shǫǫdí, Féro bich'į' shá hadíídzih, áko díí kin bii'dóó ch'ééshidííłt'eeł. 
1:40:015:0	Háálá t'áá aaníí Hííbrew dine'é bikéyahdę́ę́' shidi'neest'į́į́', áádóó kwe'é t'áadoo ásdzaaígóó ná'áyaaí góyaa adasist'e'. 
1:40:016:0	Áko bááh ádeił'íinii binanit'a'í hane' yá'át'éehgo dzidiizts'ą́ą'go Jóseph ábizhdííniid, Shí ałdó' neiseełgo, jó, ts'aa' daalgaígíí táa'go shitsiit'áagi ałk'i dasinil, nisin. 
1:40:017:0	Áádóó ts'aa' akáa'gi dah si'ánígíí biyi' ch'iyáán éí Féro bá daazt'éii dah siką́ nisin, nidi ts'aa' shitsiit'áagi bee dah azkánígíí bii'dóó tsídii da'ííyą́ą́' nisin. 
1:40:018:0	Áko Jóseph haadzíi'go áhodííniid, Díí ááhyiłní, Ts'aa' tá'ígíí éí táá' yidoołkááł. 
1:40:019:0	Táá' yiską́ągo Féro ch'éenidoołt'eełgo tsin yąąh dah nididooloh, áádóó nits'íís tsídii deidooyį́į́ł. 
1:40:020:0	Áko táá' yiską́ągo éí Féro bi'dizhchį́ yę́ęjį' anáyííłką́ągo bá nidaal'a'í t'áá ałtso yá áda'íísįįd, áko nida'iikaahí binanit'a'í índa bááh ádeił'íní binanit'a'í éí bá nidaal'a'í bitahjį' awáalyaadę́ę́' ch'ínéi'nil. 
1:40:021:0	Áko nida'iikaahí binanit'a'í na'akáago ánáyiidlaa áádóó Féro yee adlání yee yílák'ee ná'ákááh. 
1:40:022:0	Nidi Jóseph hoł hoolne'ígi át'éego bááh ádeił'íní binanit'a'í dah ho'diidlo'. 
1:40:023:0	Áko nida'iikaahí binanit'a'í éí Jóseph t'aadoo yénáálnii' dago yaa yooznah.
