20:10:001:1	The Proverbs of Solomon
20:10:001:0	The proverbs of Solomon : A wise child brings joy to a father ; a foolish child brings grief to a mother .
20:10:002:0	Tainted wealth has no lasting value , but right living can save your life .
20:10:003:0	The Lord will not let the godly go hungry , but he refuses to satisfy the craving of the wicked .
20:10:004:0	Lazy people are soon poor ; hard workers get rich .
20:10:005:0	A wise youth harvests in the summer , but one who sleeps during harvest is a disgrace .
20:10:006:0	The godly are showered with blessings ; the words of the wicked conceal violent intentions .
20:10:007:0	We have happy memories of the godly , but the name of a wicked person rots away .
20:10:008:0	The wise are glad to be instructed , but babbling fools fall flat on their faces .
20:10:009:0	People with integrity walk safely , but those who follow crooked paths will be exposed .
20:10:010:0	People who wink at wrong cause trouble , but a bold reproof promotes peace .
20:10:011:0	The words of the godly are a life-giving fountain ; the words of the wicked conceal violent intentions .
20:10:012:0	Hatred stirs up quarrels , but love makes up for all offenses .
20:10:013:0	Wise words come from the lips of people with understanding , but those lacking sense will be beaten with a rod .
20:10:014:0	Wise people treasure knowledge , but the babbling of a fool invites disaster .
20:10:015:0	The wealth of the rich is their fortress ; the poverty of the poor is their destruction .
20:10:016:0	The earnings of the godly enhance their lives , but evil people squander their money on sin .
20:10:017:0	People who accept discipline are on the pathway to life , but those who ignore correction will go astray .
20:10:018:0	Hiding hatred makes you a liar ; slandering others makes you a fool .
20:10:019:0	Too much talk leads to sin.Be sensible and keep your mouth shut .
20:10:020:0	The words of the godly are like sterling silver ; the heart of a fool is worthless .
20:10:021:0	The words of the godly encourage many , but fools are destroyed by their lack of common sense .
20:10:022:0	The blessing of the Lord makes a person rich , and he adds no sorrow with it .
20:10:023:0	Doing wrong is fun for a fool , but living wisely brings pleasure to the sensible .
20:10:024:0	The fears of the wicked will be fulfilled ; the hopes of the godly will be granted .
20:10:025:0	When the storms of life come , the wicked are whirled away , but the godly have a lasting foundation .
20:10:026:0	Lazy people irritate their employers , like vinegar to the teeth or smoke in the eyes .
20:10:027:0	Fear of the Lord lengthens one 's life , but the years of the wicked are cut short .
20:10:028:0	The hopes of the godly result in happiness , but the expectations of the wicked come to nothing .
20:10:029:0	The way of the Lord is a stronghold to those with integrity , but it destroys the wicked .
20:10:030:0	The godly will never be disturbed , but the wicked will be removed from the land .
20:10:031:0	The mouth of the godly person gives wise advice , but the tongue that deceives will be cut off .
20:10:032:0	The lips of the godly speak helpful words , but the mouth of the wicked speaks perverse words .
