20:28:001:0	The wicked run away when no one is chasing them , but the godly are as bold as lions .
20:28:002:0	When there is moral rot within a nation , its government topples easily.But wise and knowledgeable leaders bring stability .
20:28:003:0	A poor person who oppresses the pooris like a pounding rain that destroys the crops .
20:28:004:0	To reject the law is to praise the wicked ; to obey the law is to fight them .
20:28:005:0	Evil people do n't understand justice , but those who follow the Lord understand completely .
20:28:006:0	Better to be poor and honestthan to be dishonest and rich .
20:28:007:0	Young people who obey the law are wise ; those with wild friends bring shame to their parents .
20:28:008:0	Income from charging high interest rateswill end up in the pocket of someone who is kind to the poor .
20:28:009:0	God detests the prayersof a person who ignores the law .
20:28:010:0	Those who lead good people along an evil pathwill fall into their own trap , but the honest will inherit good things .
20:28:011:0	Rich people may think they are wise , but a poor person with discernment can see right through them .
20:28:012:0	When the godly succeed , everyone is glad.When the wicked take charge , people go into hiding .
20:28:013:0	People who conceal their sins will not prosper , but if they confess and turn from them , they will receive mercy .
20:28:014:0	Blessed are those who fear to do wrong , but the stubborn are headed for serious trouble .
20:28:015:0	A wicked ruler is as dangerous to the pooras a roaring lion or an attacking bear .
20:28:016:0	A ruler with no understanding will oppress his people , but one who hates corruption will have a long life .
20:28:017:0	A murderer 's tormented conscience will drive him into the grave.Do n't protect him !
20:28:018:0	The blameless will be rescued from harm , but the crooked will be suddenly destroyed .
20:28:019:0	A hard worker has plenty of food , but a person who chases fantasies ends up in poverty .
20:28:020:0	The trustworthy person will get a rich reward , but a person who wants quick riches will get into trouble .
20:28:021:0	Showing partiality is never good , yet some will do wrong for a mere piece of bread .
20:28:022:0	Greedy people try to get rich quickbut do n't realize they 're headed for poverty .
20:28:023:0	In the end , people appreciate honest criticismfar more than flattery .
20:28:024:0	Anyone who steals from his father and motherand says , “ What 's wrong with that ? ” is no better than a murderer .
20:28:025:0	Greed causes fighting ; trusting the Lord leads to prosperity .
20:28:026:0	Those who trust their own insight are foolish , but anyone who walks in wisdom is safe .
20:28:027:0	Whoever gives to the poor will lack nothing , but those who close their eyes to poverty will be cursed .
20:28:028:0	When the wicked take charge , people go into hiding.When the wicked meet disaster , the godly flourish .
