20:2:001:1	The Benefits of Wisdom
20:2:001:0	My child , listen to what I say , and treasure my commands .
20:2:002:0	Tune your ears to wisdom , and concentrate on understanding .
20:2:003:0	Cry out for insight , and ask for understanding .
20:2:004:0	Search for them as you would for silver ; seek them like hidden treasures .
20:2:005:0	Then you will understand what it means to fear the Lord , and you will gain knowledge of God .
20:2:006:0	For the Lord grants wisdom ! From his mouth come knowledge and understanding .
20:2:007:0	He grants a treasure of common sense to the honest.He is a shield to those who walk with integrity .
20:2:008:0	He guards the paths of the justand protects those who are faithful to him .
20:2:009:0	Then you will understand what is right , just , and fair , and you will find the right way to go .
20:2:010:0	For wisdom will enter your heart , and knowledge will fill you with joy .
20:2:011:0	Wise choices will watch over you.Understanding will keep you safe .
20:2:012:0	Wisdom will save you from evil people , from those whose words are twisted .
20:2:013:0	These men turn from the right wayto walk down dark paths .
20:2:014:0	They take pleasure in doing wrong , and they enjoy the twisted ways of evil .
20:2:015:0	Their actions are crooked , and their ways are wrong .
20:2:016:0	Wisdom will save you from the immoral woman , from the seductive words of the promiscuous woman .
20:2:017:0	She has abandoned her husbandand ignores the covenant she made before God .
20:2:018:0	Entering her house leads to death ; it is the road to the grave .
20:2:019:0	The man who visits her is doomed.He will never reach the paths of life .
20:2:020:0	So follow the steps of the good , and stay on the paths of the righteous .
20:2:021:0	For only the godly will live in the land , and those with integrity will remain in it .
20:2:022:0	But the wicked will be removed from the land , and the treacherous will be uprooted .
