20:25:001:1	More Proverbs of Solomon
20:25:001:0	These are more proverbs of Solomon , collected by the advisers of King Hezekiah of Judah .
20:25:002:0	It is God 's privilege to conceal thingsand the king 's privilege to discover them .
20:25:003:0	No one can comprehend the height of heaven , the depth of the earth , or all that goes on in the king 's mind !
20:25:004:0	Remove the impurities from silver , and the sterling will be ready for the silversmith .
20:25:005:0	Remove the wicked from the king 's court , and his reign will be made secure by justice .
20:25:006:0	Do n't demand an audience with the kingor push for a place among the great .
20:25:007:0	It 's better to wait for an invitation to the head tablethan to be sent away in public disgrace.Just because you 've seen something ,
20:25:008:0	do n't be in a hurry to go to court.For what will you do in the endif your neighbor deals you a shameful defeat ?
20:25:009:0	When arguing with your neighbor , do n't betray another person 's secret .
20:25:010:0	Others may accuse you of gossip , and you will never regain your good reputation .
20:25:011:0	Timely advice is lovely , like golden apples in a silver basket .
20:25:012:0	To one who listens , valid criticismis like a gold earring or other gold jewelry .
20:25:013:0	Trustworthy messengers refresh like snow in summer.They revive the spirit of their employer .
20:25:014:0	A person who promises a gift but does n't give itis like clouds and wind that bring no rain .
20:25:015:0	Patience can persuade a prince , and soft speech can break bones .
20:25:016:0	Do you like honey ? Do n't eat too much , or it will make you sick !
20:25:017:0	Do n't visit your neighbors too often , or you will wear out your welcome .
20:25:018:0	Telling lies about othersis as harmful as hitting them with an ax , wounding them with a sword , or shooting them with a sharp arrow .
20:25:019:0	Putting confidence in an unreliable person in times of troubleis like chewing with a broken tooth or walking on a lame foot .
20:25:020:0	Singing cheerful songs to a person with a heavy heartis like taking someone 's coat in cold weatheror pouring vinegar in a wound .
20:25:021:0	If your enemies are hungry , give them food to eat.If they are thirsty , give them water to drink .
20:25:022:0	You will heap burning coals of shame on their heads , and the Lord will reward you .
20:25:023:0	As surely as a north wind brings rain , so a gossiping tongue causes anger !
20:25:024:0	It 's better to live alone in the corner of an atticthan with a quarrelsome wife in a lovely home .
20:25:025:0	Good news from far awayis like cold water to the thirsty .
20:25:026:0	If the godly give in to the wicked , it 's like polluting a fountain or muddying a spring .
20:25:027:0	It 's not good to eat too much honey , and it 's not good to seek honors for yourself .
20:25:028:0	A person without self-controlis like a city with broken-down walls .
