44:13:001:1	Barnabas and Saul Are Commissioned
44:13:001:0	Among the prophets and teachers of the church at Antioch of Syria were Barnabas , Simeon ( called “ the black man ” ) , Lucius ( from Cyrene ) , Manaen ( the childhood companion of King Herod Antipas ) , and Saul .
44:13:002:0	One day as these men were worshiping the Lord and fasting , the Holy Spirit said , “ Appoint Barnabas and Saul for the special work to which I have called them . ”
44:13:002:1	Paul 's First Missionary Journey
44:13:003:0	So after more fasting and prayer , the men laid their hands on them and sent them on their way .
44:13:004:0	So Barnabas and Saul were sent out by the Holy Spirit . They went down to the seaport of Seleucia and then sailed for the island of Cyprus .
44:13:005:0	There , in the town of Salamis , they went to the Jewish synagogues and preached the word of God . John Mark went with them as their assistant .
44:13:006:0	Afterward they traveled from town to town across the entire island until finally they reached Paphos , where they met a Jewish sorcerer , a false prophet named Bar-Jesus .
44:13:007:0	He had attached himself to the governor , Sergius Paulus , who was an intelligent man . The governor invited Barnabas and Saul to visit him , for he wanted to hear the word of God .
44:13:008:0	But Elymas , the sorcerer ( as his name means in Greek ) , interfered and urged the governor to pay no attention to what Barnabas and Saul said . He was trying to keep the governor from believing .
44:13:009:0	Saul , also known as Paul , was filled with the Holy Spirit , and he looked the sorcerer in the eye .
44:13:010:0	Then he said , “ You son of the devil , full of every sort of deceit and fraud , and enemy of all that is good ! Will you never stop perverting the true ways of the Lord ?
44:13:011:0	Watch now , for the Lord has laid his hand of punishment upon you , and you will be struck blind . You will not see the sunlight for some time. ” Instantly mist and darkness came over the man 's eyes , and he began groping around begging for someone to take his hand and lead him .
44:13:003:1	Paul Preaches in Antioch of Pisidia
44:13:012:0	When the governor saw what had happened , he became a believer , for he was astonished at the teaching about the Lord .
44:13:013:0	Paul and his companions then left Paphos by ship for Pamphylia , landing at the port town of Perga . There John Mark left them and returned to Jerusalem .
44:13:014:0	But Paul and Barnabas traveled inland to Antioch of Pisidia.On the Sabbath they went to the synagogue for the services .
44:13:015:0	After the usual readings from the books of Moses and the prophets , those in charge of the service sent them this message : “ Brothers , if you have any word of encouragement for the people , come and give it . ”
44:13:016:0	So Paul stood , lifted his hand to quiet them , and started speaking . “ Men of Israel , ” he said , “ and you God-fearing Gentiles , listen to me .
44:13:017:0	“ The God of this nation of Israel chose our ancestors and made them multiply and grow strong during their stay in Egypt . Then with a powerful arm he led them out of their slavery .
44:13:018:0	He put up with them through forty years of wandering in the wilderness .
44:13:019:0	Then he destroyed seven nations in Canaan and gave their land to Israel as an inheritance .
44:13:020:0	All this took about 450 years. “ After that , God gave them judges to rule until the time of Samuel the prophet .
44:13:021:0	Then the people begged for a king , and God gave them Saul son of Kish , a man of the tribe of Benjamin , who reigned for forty years .
44:13:022:0	But God removed Saul and replaced him with David , a man about whom God said , ‘ I have found David son of Jesse , a man after my own heart . He will do everything I want him to do . '
44:13:023:0	“ And it is one of King David 's descendants , Jesus , who is God 's promised Savior of Israel !
44:13:024:0	Before he came , John the Baptist preached that all the people of Israel needed to repent of their sins and turn to God and be baptized .
44:13:025:0	As John was finishing his ministry he asked , ‘ Do you think I am the Messiah ? No , I am not ! But he is coming soon—and I 'm not even worthy to be his slave and untie the sandals on his feet . '
44:13:026:0	“ Brothers—you sons of Abraham , and also you God-fearing Gentiles—this message of salvation has been sent to us !
