61:2:001:1	Doo t'áá aaníinii yee nida'nitinii
61:2:001:0	Íídą́ą́' t'óó ádahodil'į́įgo dahalne'ii hatahgóó nidaaskai yę́ęgi át'éego doo t'áá aaníígóó nida'nitinii nihitahgóó dahodooleeł . Éí na'nitin doo t'áá aaníinii diné bida'oodlą' yits'ą́ą́' nidayiiłchxǫǫhii t'áá nahonit'inee yił nihidookahgo , Bóhólníihii hadił bee náádziisnii' nidi doo dahoniidzin da dahodidooniił , áko éí tsxį́įłgo ábidoołdįįłii yee ák'ijį' dahodoołchįįł .
61:2:002:0	Éí t'óó baa'ihgo naaldeehígíí lą'í yidahididookah , éí biniinaa t'áá aaníígóó honít'i'ii baa'ihgo yaa yádaałti' dooleeł .
61:2:003:0	Áádóó adádanoolníigo hane' t'óó ádaalyaii yee nihił dahalne'go nihinahjį' da'doot'įįł . Ákódaat'ínígíí t'áá shiidą́ą'dii atídabidi'doolníiłgo bá nidahwiist'ą́ągo át'é , áádóó ádabidoołdįįłígíí doo ałhosh da .
61:2:004:0	Háálá diyingo nidaal'a'í Diyin God yich'į' ádił da'asiih yę́ędą́ą́' doo yaa hą́ą́h niizį́į́'góó ts'ídá doo nihoodzą́ą́ góyaa hadah ayiistł'íidgo , a'áán ts'ídá hodiłhiłgo haz'ą́ą́ góyaa ánihwiit'aah beiníłką́ąjį' yida'aztł'ǫ́ .
61:2:005:0	Áádóó Diyin God , ałk'idą́ą́' nihokáá' dine'é doo dabidísingóó biniinaa doo yaa hą́ą́h niizį́į́'góó tó yee íísdįįd . Nidi Nóah éí ts'ídá t'áá ákogi é'ét'é yaa halne'ii áádóó t'áá tsosts'id jilt'éhégo bił yisdájookai .
61:2:006:0	Diyin God éí Sádam índa Gomárah kin haal'áhígíí ádooldįįłgo yá haadzíí' . Áko łeeshch'iih t'éí nááda'diijoł dooleełgo kǫ' yee íísdįįd . Áko Diyin God doo dazdísingóó nijildeehígíí áhodi'doolníiłii díí bee ádéédazhdi'dootį́į́ł .
61:2:007:0	Nidi Lat , diné t'áá ákogi át'éii jílíinii , Diyin God díí yits'ą́ąjį' ho'níłnii' . Lat éí diné doo yá'ádaashóonii t'áá íiyisí baa'ihgo naaldeehii doo bee asosdoos'įįd da .
61:2:008:0	Éí diné t'áá ákogi át'éii jílį́įgo , diné doo yá'ádaashóonii bitahgi kééhojit'į́įgo bee haz'áanii doo yik'ehgóó ádaat'ínígíí joo'į́įgo áádóó jidiits'a'go biniinaa t'áá ákwíí jį́ hwii' sizíinii t'áá ákogi át'éhígíí bich'į' nahojiiłnáá nít'éé' .
61:2:009:0	Jó , Bóhólníihii éí Diyin God deidísinii nabídahonitaahii yits'ą́ą́dóó yisdáyiiníiłgo bił bééhózin , áádóó doo t'áá ákogi ádaat'éii ánihwiit'aah beiníłką́ąjį' atíhodoolíiłgo bił bééhózin .
61:2:010:0	Adáhonooní ni'iiłchxǫǫhii yik'ehgo naaldeehii , áádóó bee ídahólníihii doo deinízinii éí agháago atídabidi'doolnííł . Doo t'áá aaníinii yee nida'nitinii doo nídanilyéésgóó bízhą́ da'ílį́įgo aghá ádadees'áii éí aghá dahizdíízíinii doo hwéédaaldzidgóó dahódziih .
61:2:011:0	Azhą́ diyingo nidaal'a'í éí doo t'áá aaníinii yee nida'nitinii biláahgo ádabóodziil áádóó bídahólníih nidi , doo t'áá k'ad Bóhólníihii binááł yik'ídaha'áahgo nídayíídzíi' da .
61:2:012:0	Naaldlooshii doo nitsídaakeesii éí bił nidahadeełgo nidabidi'tseed t'éiyá yiniyé nidahachíhígi át'éego , díí doo t'áá aaníinii yee nida'nitinii t'áadoo ak'ida'diitįįhí t'óó dzólníígóó da'ódziih . Éí baa'ihii yaa nidaakaii atínábidoodlíiłgo ábidoołdįįł .
61:2:013:0	T'áá ha'át'éegoda atída'jił'į́įgo bik'édígi atínídahodi'doolnííł . T'áá jį́įgo nidi badaa'ihii bee tsi'ndajikaígíí hoł nidahooshǫǫh . Baa yáhásinii índa bąą doo dahats'íidii dajílį́įgo áádóó baa bił dahoneenigo yooch'ííd yee danihinó'áahgo nihitah nída'adį́į́h .
