61:1:001:1	K'é ha'níinii
61:1:001:0	Shí Sáíman Peter , Jesus Christ yá naal'a'í áádóó yá yil'aadii nishłíinii , NihiDiyin God áádóó Yisdánihiiníiłii Jesus Christ yee ts'ídá t'áá ákogi át'éii bee , t'áá nihí da'iiniidlánígi át'éego oodlą' bee aa hodzódlí ílíinii shódayoost'e'ii bich'į' naaltsoos áshłééh .
61:1:002:1	Diyin God nihíká ádííniidgo nánihiizláá'
61:1:002:0	Diyin God índa Jesus nihiBóhólníihii béédahonohsinígíí bee bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii k'ee'ąą yileełgo yee nihik'ijidlíi doo .
61:1:003:0	T'áá hó bee ayóó ájít'éii índa bee aláahgo yá'ájít'éehii hoł ałts'ą́ą́' da'niilk'iiz doo biniyé nihíká ázhdííniidii hwéédahosiilzįįd . Áko hodílzingo iiná bee dahinii'náa dooleełígíí Diyin God bibee adziilii bee nihee dahazlį́į́' .
61:1:004:0	Éí bee nihodziiz'áanii ayóó ádaat'éii áádóó ílíinii bee nihá hadzoodzíí' , áko nihokáá' dine'é bitahgóó adáhonooní ni'iiłchxǫǫhii bits'ą́ąjį' nihá yisdáhóót'i'go bąą , diyingo bee ájít'éii hoł ałts'ą́ą́' da'nołk'iiz .
61:1:005:0	Éí bąą t'áá awołí bee da'iinohdląąh , áádóó doo éí t'éiyá da nidi ts'ídá yá'át'éehgo ádaahníił doo , áádóó nihił éédahodoozįįł ,
61:1:006:0	áádóó ádaa ádahołyą́ą doo , áádóó nízaadgóó hada'íínółníi doo , áádóó ałdó' diyin k'ehgo dahinohnáa doo ;
61:1:007:0	doo éí t'éiyá da nidi t'áá ła' ha'oojéé' k'ehgo ahaa a'ááh danohdzin doo , áádóó ayóó'áda'ahíínóh'níi dooleeł .
61:1:008:0	Áyąądą́ą́' díí dziilí bee ádaaht'į́įgo nihiBóhólníihii Jesus Christ béédahonohsinígíí bąą doo t'óó bił ádahodíínółzée' da doo , nidi Diyin God bá chodaoh'į́įgo aneest'ą' nihee dahodooleeł .
61:1:009:0	T'áá háiida doo ákójít'ínígíí doo nízaadgóó ajoo'į́į dago doo oo'íinii nahojílin , áádóó habąąhági át'éii hąąh tánásgiz yę́ę baa jiyooznah .
61:1:010:0	Éí bąą shik'isóó , t'áadoo nihił naaki danilínígóó Diyin God nihíká ádííniidígíí áádóó yitah nihiizlá'ígíí t'áá aaníí nihił béédahózin doo , háálá díí t'áá ałtso bida'oł'į́įgo ts'ídá doo t'ą́ą́' anídínóohdah da .
61:1:011:0	Áko nihiBóhólníihii Jesus Christ Yisdánihiiníiłii hool'áágóó bee bóhólníihgo bił haz'áanii t'áá íiyisí wózhǫ́ nihá ąą ádoolnííł .
61:1:012:0	Éí bąą díidíígíí t'áá áłahjį' béédanihiyiishníih doo , azháánee' t'áá íídą́ą́' nihił béédahózin nidi , áádóó t'áá aaníinii bik'ida'dootą́ągo bee danołdzil nidi .
61:1:013:0	T'ah hinishnánídą́ą́' díí béédanihiyiishníhígíí bee ch'éédanihiisíid dooleełgo nihá shił yá'át'ééh nisin .
61:1:014:0	Háálá nihiBóhólníihii Jesus Christ t'áá yee áshidííniid yę́ęgi át'éego doo nízaadgóó nááhinishnáa da doogo shił bééhózin .
61:1:003:1	Christ bee bi'oh adidilyéehii t'áá nihí daníil'į́į́'
61:1:015:0	Áko díí bee nanihinítą́'ígíí dasétsą́ą́dóó bik'ijį' t'áá ooleełgi bik'ehgo nibéédahołníihgo nihá áshłééh nihósh'ní .
61:1:016:0	Háálá nihiBóhólníihii Jesus Christ bibee adziilii yił yígháhígíí bee nihił nidahosiilne' yę́ędą́ą́' hane' doo t'óó ádaalyaii nihił béédahózingo ádanihiilyaa da . Nidi yee ayóó át'éii bee bi'oh adidilyéehii t'áá nihí nihináá' bee daníil'į́į́' ,
61:1:017:0	háálá ts'ídá aláahdi át'éego bi'oh adidilyééhdę́ę́' Diyin God aTaa' jílíinii Christ bił jílį́įgo baa hodziznihgo hwiinéé' diists'ą́ą́' yę́ędą́ą́' ájíní , Díí shiYe' ayóó'óósh'níinii jílį́ , éí t'áá íiyisí haa shił hózhǫ́ !
61:1:018:0	Dził diyinii bighą́ą'di hoł neiikai yę́ędą́ą́' Diyin God biinéé' yá'ąąshdę́ę́' dasidiits'ą́ą́' .
61:1:019:0	Áko Diyin God yá dahalne'ii Diyin God bizaad yaa dahoolne'ii ts'ídá t'áádóo nídí t'áá aaníí át'éego nihił ííshjání ályaa . Éí bąą hazhó'ó baa nitsídaahkeesgo yá'át'ééh . Jó , chahałheeł góne' bee hool'iní bee i'díídíín nahalingo nihijéí biyi'di hayííłką́ągo índa sǫ'tsoh hááyáajį' hazhó'ó baa nitsídaahkees .
61:1:020:0	Díí ts'ídá nihił béédahózin le' : Diyin God bizaad biyi'dóó nee'ni'jį' ádahodooníiłii bee ak'eda'ashchínígíí doo diné ła' t'áá bí bíniik'ehgo yik'i'diitáanii át'ée da .
61:1:021:0	Háálá Diyin God bizaad baa hane'ígíí éí diné ła' doo t'áá bí íinízinígíí bik'ehgo yaa hoolne'ii át'ée da , nidi diné bił dahodiyinii éí Níłch'i Diyinii yádabiiłti'go Diyin God yá dahoolne' .
