56:1:001:1	K'é ha'níinii
56:1:001:0	Shí Paul, Diyin God yá naal'a'í índa Jesus Christ yá yil'aadii nishłį́. Diyin God náyiizláa'ii bida'oodlą' yee aa dadzólíii náás yit'ih doogo índa Diyin God k'ehgo iiná bik'ehgo t'áá aaníinii yaa ákodahiniizįįh doo biniyé shi'dool'aad. 
56:1:002:0	Éí Diyin God, ts'ídá doo biyooch'íidii, t'ah doo hahalzhíísh yę́ędą́ą́' iiná doo niit'éehii bíká ił chohoo'íinii yee nihoní'ą́. 
56:1:003:0	Éí baa hoolzhiizhgo bizaad baa hane'ígíí yee nihich'į' ííshjání áyiilaa. Áko yee sha'oozlíi'go Diyin God Yisdánihiiníiłii yee hooł'a'ígíí bik'ehgo baa hashne'. 
56:1:002:1	Kríitgi Táítas naal'a'
56:1:004:0	T'ááłá'í deiniidlánígíí bee Táítas t'áá aaníí she'awéé' nilíinii bich'į' naaltsoos áshłééh:Diyin God aTaa' índa Bóhólníihii Jesus Christ Yisdánihiiníiłii bibee ajooba' [áádóó bibee aa a'ááh hasinii] índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nik'ijidlíi doo. 
56:1:005:0	T'áadoo hasht'edaalyaa da yę́ę hasht'edadííliił biniyé Kríitdi nininíłtį́, áádóó t'áá kin hadaas'áhígi da'oodlání áłah nádleehgi oodlání yá aląąjį' naazíinii nidahidíínił. Bee ándííniidii béénílniih: 
56:1:006:0	Da'oodlání bá aląąjį' nidzizį́į dooleełii ts'ídá t'áadoo bee hak'ídahót'ahí da doo, hwe'asdzą́ą́ t'áádaałá'í doo, áádóó hada'áłchíní da'oodlání danilį́į doo, índa tsi'na'adá áádóó doo ak'eh hól'į́ doo bee bik'i dahodiit'aah da doo. 
56:1:007:0	Háálá da'oodlání bá aląąjį' dzizíinii éí da'oodlání Diyin God bá dah joo'ishgo ts'ídá t'áadoo bee hak'íhót'ahí da doo, doo házhą́ ílį́į da doo, doo hání dzis'ą́ą da doo, wáin doo bee tsi'nijigháa da doo, doo ats'ííd ádąąh jit'į́į doo, índa na'adlo'go bee béeso ál'íinii doo bíchą́yízhdéelni' da doo. 
56:1:008:0	Nidi ha'ałk'ee nídaakahii hoł nilį́į doo, yá'át'éehii t'áá íiyisí bídin jílį́į doo, hojíyą́ą doo, t'áá ákogi át'éego jiináa doo, hozdísin doo, índa ádaa áhojilyą́ą doo. 
56:1:009:0	Saad t'áá aaníinii t'áá bínahodi'neestą́ą́' yę́ęgi át'éego bidziilgo jótą' doo, áko na'nitin t'áá ákóne' át'éii bee nazh'nitingo da'oodlání chánah ádajile'go, índa na'nitin yik'ijį' nidaaldzilii t'áá aaníinii yaa ákodahiniizįįhgo ádajile'go bízhneel'ą́ą doo. 
56:1:010:0	Háálá diné lą'í doo ak'eh dahół'į́į da éí t'áadoo nánídlínígóó yádaałti'ii índa binda'adlo'ii danilį́, Jew dine'é binahagha' bik'ehgo ąąh náhinilgish yee naazínígíí agháago ákódaat'é. 
56:1:011:0	Éí ts'ídá dabididoolyił, háálá t'óó baa yáhásingo a'ídeeł biniyé t'áadoo yee nidadí'nóotįįł yę́ę yee nida'nitingo t'áá hooghan nahaz'ą́ą́ nítéé' yił hadahoniiłchaad. 
56:1:012:0	Jó, Kríit dine'é t'áá bí bitahdóó t'áá bí bidiyin bidi'níinii yá halne'ii ła' haadzíi'go ádííniid, Kríit dine'é t'áá áłahjį' dabiyooch'ííd, naaldlooshii doo yá'ádaashóonii nidahalin, índa bił dahóyée'go dadibid. 
56:1:013:0	Ákózhdííniidígíí éí t'áá aaníí. Ákót'é bąą bi'oodlą' dabidziil dadooleeł biniyé yéego dadíteh. 
56:1:014:0	Áádóó Jew dine'é bahane' t'óó ádaalyaii, índa diné yee nahas'áanii yee t'áá aaníinii doo deinízinii doo dayíists'ą́ą' da doo biniyé ałdó' yéego dadíteh. 
56:1:015:0	Yá'át'éehgo nitsídaakeesii éí t'áá ałtso yá'át'éehgo yaa nitsídaakees, doo da'oodlą́ą́góó nichxǫ́'ógo nitsídaakeesii éí t'áá ałtso doo yá'át'ééhgóó yaa nitsídaakees, háálá bintsíkees dááchxǫ', áádóó doo yá'át'éhígi ádaat'ínígíí doo yaa ákodanízin da daazlį́į́'. 
56:1:016:0	Diyin God béédahoniilzin, daaní, nidi ádaaníłígíí bee bééhózingo éí ts'ídá Diyin God doo deinízin da. Dajoodláii, doo ak'eh dahół'íinii, índa yá'át'éhígi ádadooníłígíí ts'ídá doo yídaneel'áanii danilį́.
