56:2:001:1	Na'nitin t'áá ákóne' át'éii yee na'nitin
56:2:001:0	Nidi ni, na'nitin t'áá ákóne' át'éii ts'ídá beełt'éego bee na'nítin. 
56:2:002:0	Diné wónáás daazlį́į'ii kódabidiní, Hazhó'ó nitsídaahkees, t'áadoo yíní ádahodołdiní, hazhó'ó ádaa ádahołyą́, índa dziilí bee da'iinohdlą́, ayóó'áda'íínóh'ní, índa nízaadgóó hada'íínółní. 
56:2:003:0	Asdzání wónáás daazlį́į'ii ałdó' nanítingo kódabidiní, T'áá ałtsojį' dahodíínóhsin, t'áadoo t'áá ádzaagóó aa nidahołne'í, wáin t'áadoo bee tsi'nidaahkaí, índa yá'ádaat'éehii bee nida'nohtin. 
56:2:004:0	Asdzání ániid nidajikaii hadahastiin índa hada'áłchíní ayóó'ádajó'ní dooleełgi éí asdzání wónáás daazlį́į'ii yee nidahonitin doo, 
56:2:005:0	áádóó dahonohsą́, dahodíínóhsin, nihighan baa ádahołyą́, yá'át'éhígi ádanoht'éego, índa nihadahastiin bídahwíínółnííh, dahałníi doo. Díí bida'jił'į́įgo Diyin God bizaad doo nichxǫ́'ógo bá ha'doodzih da. 
56:2:006:0	T'áá ákót'éego ałdó' diné ániid nidaakaii, Hazhó'ó ádaa ádahołyą́, dabidiníigo baa nídeinikąąh. 
56:2:007:0	T'áá ni ałdó' t'áá ałtsojį' yá'át'éehgo ááníłígíí éí da'oodlání yik'ehgo dayíkáah dooleełgo bee yit'íní í'díínílzin, t'áadoo baa niyá'áhodílti'í, nidi t'áá aaníígóó na'nítin. 
56:2:008:0	Saad t'áá ákóne' át'éii t'áadoo bee bik'íhót'ahígóó bee yáníłti', áko t'áá háiida nihik'ijį' nilíinii doo nichxǫ́'ógo nihá hadoodzih da, nidi yaa yádínóozįįł. 
56:2:009:0	Naalte' danilíinii kódabidiní, Nihinanit'a'í bídahwíínółnííh, índa t'áá ałtsojį' bił dahonohshǫ́. T'áadoo bich'į' saad dahonoł'íní, 
56:2:010:0	índa t'áadoo bee da'noh'įįhí, nidi t'áá ałtsojį' nihada'ahódlíigo áda'díínółzingo t'áá ałtsojį' ádaahníłígíí bee Diyin God Yisdánihiiníiłii bee na'nitinii diné bił danilį́įgo ádayósin doo. 
56:2:011:0	Háálá diné t'áá ałtso yisdéidiyoonił biniyé Diyin God bibee ajooba' yee nihich'į' yit'íní í'diilyaa. 
56:2:012:0	Áko díí yee nanihinitin, díí nihokáa'gi doo Diyin God k'ehgo iináanii índa ts'ísee k'ehgo adáhonooníinii yóó'adahidiit'aah, áádóó hazhó'ó ádaa ádahwiilyą́ągo ts'ídá t'áá ákogi át'éego índa Diyin God k'ehgo dahinii'náago ánihósingo 
56:2:013:0	baa hózhǫ́ǫgo nayíníidlíii bíká dadíníit'į́į́', éí nihiDiyin God ayóó át'éii áádóó Yisdánihiiníiłii Jesus Christ nilíinii bee bi'oh hodidilyéehii yidooltséłígíí bíká dadíníit'į́į' doogo yínanihiniłtin. 
56:2:014:0	Jó, t'áá éí nida'iyiilzííh t'áá ałtso bii'dóó náánihidiyoołnih, índa bąąhági ádaat'éii nihąąh ádingo ánihidoolííł, áádóó t'áá bí bidine'é daniidlį́įgo yá'át'éehgo ádahooníiłii t'áá íiyisí bídaniidlį́įgo baa nideiikai doo biniyé nihá niná'ádeet'ą́. 
56:2:015:0	Díí t'áá ałtso bee na'nítin. T'áá ałtsojį' nóhólníihgo chánah ádanile' índa adítehgo bich'į' yáníłti'. Diné t'áá ałtsojį' bił danílį́įgo í'díínílzin.
