6:1:001:1	Kéínan dine'é bik'eh hodidoodleeł biniyé hasht'ehodi'nééh
6:1:001:0	Mózes éí Bóhólníihii yá naal'a'í nilíinii daaztsą́ą́dóó bik'ijį' áhóót'įįd; Bóhólníihii éí Nan biye' Jáshowa joolyéii áyidííniid; éí Mózes yéeni' bá naal'a'í jílį́į́ nít'ée'go ííłní, 
6:1:002:0	Mózes shinaal'a'í yę́ę daaztsą́; éí bąą nílááh, Jórdan tooh ha'naagóó dohnééh; díí dine'é t'áá ałtso éí kéyahígíí baa dideesh'áałgo Ízrel dine'é bíí' át'é. 
6:1:003:0	T'áá ałtsogóó kéyah bikáá' deínóhkáah dooleełii nihaa diní'ą́; jó, Mózes t'áá ákóbidííniid ni'. 
6:1:004:0	Honoojíídóó áádóó Dził Lébanandóó Yufréítiiz wolyéego ayóó át'é tooh nílíníjį' áádóó Het dine'é bikéyah t'áá át'éé nít'éé' nihikéyah doo, áko e'e'aahjigo ayóó át'é tónteel siyínígíí bíighahgo nihihoodzo dooleeł. 
6:1:005:0	Diné ts'ídá doo ła' nik'eh dódle' át'éégóó níyoołkáał dooleeł; Mózes bił honishłǫ́ yę́ęgi át'éego nił honishłǫ́ǫ doo; ts'ídá doo ch'ééh ná ádeesht' įįł da; ts'ídá doo yóó'andideesh'áał da. 
6:1:006:0	Nidziilgo í'díí'nílzin áádóó chánah í'díí'nílzin, áko díí diné éí kéyah íí' dooleełii bá aháhidíízoh; éí dabizhé'é yę́ę bich'į' bee ádee hadeesdzíi'go baa diní'ą́ą ni'. 
6:1:007:0	Nidi nidziilgo í'díí'nílzin áádóó yéego chánah í'díí'nílzin, áko bee haz'áanii t'áá át'é bik'ehgo ánít'ée dooígíí hazhó'ó ádaa nilzįįh; éí Mózes shá naal'a'í nich'į' yee haadzíí'; nish'náajigo, doodaii' nishtł'ajigo doo dah didíínáał da, áko t'áá yínááłgóó t'áá ałtsoní yá'át'éehgo ná ááníił doo. 
6:1:008:0	Díí naaltsoos biyi' bee haz'áanii bee ak'e'ashchínígíí ts'ídá bee yáníłti' doo, nidi hazhó'ó nabik'ítsíníłkeesgo i'ii'aahdóó niyiiłkaah dooleeł; kót'éego hazhó'ó ádaa nilzįįhgo bee ak'e'ashchínígíí bik'ehgo t'áá át'é bik'eh ánít'ée doo, áko yá'át'éehgo ná áhooníiłgo hinínáago ádi'díílnííł, índa baa nanináii t'áá ałtso yá'át'éehgo ła' danile' doo. 
6:1:009:0	Da' díísh doo bee nich'į' haasdzíi' da? Nidziilgo í'díí'nílzin áádóó chánah í'díí'nílzin; t'áadoo náníldzidí, doodaii' t'áadoo ádił nisindáhí, háálá Bóhólníihii niDiyin God éí t'áá hidínááhgóó nił hólǫ́. 
6:1:010:0	Áko Jáshowa éí diné aląąjį' naazíinii yich'į' haadzíi'go ání, 
6:1:011:0	Nihílááh, dah oonéłígíí bitahgóó dohkááh, áko bił ch'ídahonoh'aahgo ádabidohní, Nihist' e' hasht'edaahłééh, háálá táá' yiską́ągo Jórdan tooh ha'naagóó nídidoohnééł; kéyah nihíí' ádadoohłíiłgo Bóhólníihii nihiDiyin God nihaidiní'ánígíí ádíí' ádadoohłííł. 
6:1:012:0	Áádóó Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí yich'į' Jáshowa haadzíi'go ání, 
6:1:013:0	Díí béédaałniih: éí Bóhólníihii yá naal'a'í Mózes yéeni' saad yee nihich'į' haadzíi'ii kóníini', Bóhólníihii nihiDiyin God háádaałyį́įh doogi nihaa hodiní'ą́, áádóó díí kéyah nihaidiní'ą́. 
6:1:014:0	Nihe'asdzą́ą́ áádóó nihada'áłchíní áádóó danihilį́į́' bíni'dii t'áá Mózes éí kéyah nihaidiní'ánígi Jórdan tooh wóshch'ishdi nidaakai doo, nidi nihí éí nihik'isóó bilą́ąjį' dohkáahgo anaa' biniyé hasht'e'ádadołnééh; ayóó át'éego diné nidaahbaah danohłíinii, t'áá ánółtso bíká adoohjah. 
6:1:015:0	Bóhólníihii éí háádaa łyį́įhgo ánihiilaaígi át'éego nihik'isóó háádaalyį́įhgo áyiilaajį' áádóó ałdó' kéyah íí' dooleełii Bóhólníihii nihiDiyin God beididoo'áłígíí ádíí' ádayiilaajį' bíká adoohjah, ákohgo nihí kéyah bich'į' nát'ą́ą́' nídoohkahgo ádíí' ádadoohłííł áádóó baa nihił dahózhǫ́ǫ doo; éí kéyah Jórdan tooh wóshch'ishdi ha'a'aahjigo haz'ánígi nihaidiní'ą́. 
6:1:016:0	Áádóó diné éí Jáshowa yich'į' hadaasdzíi'go ádeiłní, Nihich'į' bee háínídzíi'ii t'áá ałtso bik'eh ádadii'nííł, áádóó t'áá nihíł'áágóó nideiikai dooleeł. 
6:1:017:0	T'áá ałtsojį' Mózes deísíníilts'ą́ą́' yę́ęgi át'éego daníísíilts'ą́ą' doo; Mózes yił hólǫ́ yę́ęgi át'éego Bóhólníihii niDiyin God éí nił hólǫ́ǫ doo. 
6:1:018:0	T'áá háiida nibik'eh ó'oo'níiłii yik'ijį' yistee'ii áádóó nizaad bee bich'į' hahídziihii t'áá ałtso doo yiyíists'ą́ą'ii bidi'yoolyééł. Nidi nidziilgo í'dílnééh áádóó chánah í'dílnééh.
