6:18:001:1	Sháílohdi kéyah ałts'ádaasdzo
6:18:001:0	Áko Ízrel dine'é t'áá át'é Sháílohgi áłah silį́į'go ákwii níbaal bii' dahozdísinii nideiz'ą́. Ízrel dine'é éí kéyahgi kéédahat'íinii t'áá ałtso yik'eh dadeesdlį́į́'. 
6:18:002:0	Nidi Ízrel dine'é bitahgi Ízrel t'áá bí bidine'é tsosts'idgo dah yinééł kéyah bíí' dooleełii t'ah doo baa deet'aah da. 
6:18:003:0	Áko Jáshowa éí Ízrel dine'é áyidííniid, Haa nízádígishą' nida'áhodołziidgo kéyah íí' dooleełii bich'į' wohnééł? Éí danihizhé'é yę́ę biBóhólníihii Diyin God nihaidiní'ą́ą́ nít'éé'. 
6:18:004:0	Dadine'ígíí bitahdóó diné táá' níjaa'go nídoohnííł, áko éí dadeesh'aałgo ákǫ́ǫ́ dadookah áádóó kéyah t'áá át'é hazhó'ó hadeidoosił biniyé tádidookah índa kéyah bíí' dadooleełii át'éhígíí yee ak'eda'doołchííł áádóó índa shaa nínáádookah. 
6:18:005:0	Áko éí kéyah tsosts'idgo ałts'ádadoodzo; shádi'ááhjígoígíí Júdah dine'é bikéyahígíí t'áá yii' kéédahat'į́į doo áádóó náhookǫsjígoígíí éí Jóseph ba'áłchíní náás ahoolchíiłii dabikéyahígíí t'áá yii' kéédahat'į́į doo. 
6:18:006:0	Áádóó kéyah tsosts'idgo ałts'ádaasdzooígíí át'éhígíí bee ak'eda'doołchííł, áádóó éí shich'į' ííshjání ádadoohłííł, áko índa kéyah háidíígíí bíí' dadooleeł biniyé yáá'iilt'e' bik'ehgo Bóhólníihii nihiDiyin God binááł nihá ádeeshłííł. 
6:18:007:0	Nihitahgóó Líívai dine'é bíí' dooleełii doo ła' baa deet'ą́ą da, háálá Bóhólníihii bá náá'iiłniihii ídlínígíí éí íí' dooleełii át'é áádóó Géed dine'é áádóó Rúben dine'é índa Manáseh dine'é ałníí'dóóígíí Jórdan tooh wónaanídi ha'a'aahjígo kéyah bíí' dadooleełii nídahodii'ą́. Mózes éí Bóhólníihii yá naal'a'í nilíinii beidiní'ą́. 
6:18:008:0	Áko diné hasht'e'ádadiilyaa áádóó dah diikáahgo Jáshowa hazhó'ó ábidííniidgo kéyah bééhózínígo ádeidoolíłígóó dah diikáahgo ííłní, Nihílááh, kéyah t'áá át'é bii' tádidoohkah, áádóó éí át'éhígíí bee ak'eda'doołchííł, índa shaa nínáádoohkah, áko yáá'iilt'e'ígíí nihá ádeeshłíiłgo bik'ehgo kéyah háidíígíí nihíí' dadooleełii Bóhólníihii binááł Sháílohgi nihá hasht'edeeshłííł. 
6:18:009:0	Áko diné ákǫ́ǫ́ eekaigo kéyah t'áá át'é yii' tádookai áádóó kéyah tsosts'idgo ałts'ádaasdzooígíí biyi' kin dah naazhjaa'ígíí bik'ehgo át'éhígíí naaltsoos bikáá' ádajiilaa, áko dah da'ínéhígóó dah nízhdiikaigo Sháílohgi Jáshowa baa níjíkai, 
6:18:002:1	Bénjamin dine'é kéyah baa deet'ą́
