6:9:001:1	Gíbiyan dine'é binda'adlo'
6:9:001:0	Áko aláahgo naat'áanii danilíinii t'áá ałtso Jórdan tooh biláahdi dah daask'idgóó áádóó deíldzisgóó índa Dził Lébanan bich'į'go ayóó át'é tónteel siyínígíí bibąąhgóó kéédahat'íinii éí Het dine'é, Ámor dine'é, Kéínan dine'é, Píírez dine'é, Háíva dine'é índa Jííbas dine'é díí yaa dahodiizts'ą́ą'go 
6:9:002:0	t'ááłáhíjį' áłah silį́į́'; Jáshowa áádóó Ízrel dine'é yik'iidoojah yiniyé łá'í daazlį́į́'. 
6:9:003:0	Nidi Gíbiyangi kéédahat'íinii éí Jériko kin haal'áagi áádóó Éí'ai kin haal'áagi Jáshowa áát'įįdígíí yaa dahodiizts'ą́ą'go 
6:9:004:0	binda'adlo'go diné á yádaałti'go aląąjį' naazíinii nahalingo t'óó ádahodil'į́įgo dah dadiikai. Azis dadiizhaazhii áádóó tó abid wáin bee naagéhígíí dadiizhaazhii índa nidahaazt'óodgo bidanída'deest'áanii éí dabitélii yéédayíiztł'in. 
6:9:005:0	Áádóó ké dadiizhaazhii bidanída'deest'áanii yiih daaz'eez áádóó éé' dadiizhaazhii yiih daaskai. Áko bááh t'áá ałtso dayiyííłkiinígíí daazgango dláád daazlį́į́'. 
6:9:006:0	Áko Gílgaldi dah oonéłígóó yíkaigo Jáshowa áádóó Ízrel dine'é ádeidííniid, Kéyah doo deeghánídę́ę́' niikai, áko k'ad bee aha'deet'áanii bee nihił ahadadi'diit'ááł. 
6:9:007:0	Nidi Ízrel dine'é éí Háíva dine'é ádeidííniid, T'áá nihitahgi kéédahoht'į́įgo ha'át'éegoshą' bee aha'deet'áanii bee nihił ahadadi'diit'ááł? 
6:9:008:0	Nít'éé' Jáshowa ádeidííniid, Ninaal'a'í daniidlį́. Áko Jáshowa áhodííniid, Háishą' ádaaht'į́? Háádę́ę'shą' nidaahkaigo ádaaht'į́? 
6:9:009:0	Áko ádahodííniid, Kéyah doo deeghánídę́ę́' ninaal'a'í yíkai, háálá Bóhólníihii niDiyin God bízhi' bee ch'íbidit'ááh, áádóó Ííjip kéyahdi áát'įįdígíí t'áá át'é baa dahosidiits'ą́ą́'. 
6:9:010:0	Áádóó Ámor dine'é aláahgo binanit'a'í nidilt'éego Jórdan tooh biláahdi Héshban kin haal'áádóó aláahgo naat'áanii Sáíhan wolyéii índa Béíshan kéyahdóó aláahgo naat'áanii Ag wolyéii, éí Áshtarath kin haal'áagi bighanígíí áyííł'įįdii t'áá át'é baa dahosidiits'ą́ą́'. 
6:9:011:0	Áko nihá aląąjį' naazíinii índa nihikéyahgóó kéédahat'íinii t'áá ałtso ádanihidííniid, Bikiin wohkah dooígíí ła' nídadoohníiłgo bidááh nohkáahgo ádabididoohniił, Ninaal'a'í daniidlį́. K'ad bee aha'deet'áanii bee nihił ahadadi'diit'ááł. 
6:9:012:0	Kǫ́ǫ́ nihibááh t'áá sidogo nihighandóó ch'ídashiijaa'ígíí danihist'e'go deíníikáahgo nihaa niikai, nidi k'ad shoo, daazgango dláád daazlį́į́' lá. 
6:9:013:0	Díí tó abid wáin bee naagéhígíí ádaaniidígo wáin bii' hadadeelbįįd nít'éé', shoo, nidahaazdláád, índa doo deeghánídę́ę́' niikaígíí bąą nihi'éé' áádóó nihikee'da ałdó' dadiizhaazh lá. 
6:9:014:0	Áko Ízrel dine'é éí diné bist'e' ła' nídeidiinil, áádóó t'áadoo Bóhólníihii nídeídíłkidí nídeidiinil. 
6:9:015:0	Áádóó Jáshowa éí bił k'é hólǫ́ǫgo diné bił aha'dazdeest'ą́ągo bíni'dii dahináa doo, áko dah oonéłígíí bindanit'a'í hach'į' ádee hadadeesdzíí'. 
6:9:016:0	Bee aha'deet'áanii bił ádajiilaadóó bik'ijį' táá' yiską́ągo t'áá hoł kéédahat'íinii danilį́įgo índa hatahgóó kéédahat'į́įgo baa dahozdiizts'ą́ą́'. 
6:9:017:0	Áko Ízrel dine'é dah dadiináádóó táá' yiską́ągo Gíbiyan dine'é bikin hadaas'áadi níná. Nít'éé' bikin hadaas'áhígíí éí Gíbiyan áádóó Kiifáírah áádóó Biyérath índa Kírjath-jíyarim dahoolyé. 
6:9:018:0	Nidi Ízrel dine'é danilíinii éí Gíbiyan dine'é t'áadoo nideistseed da, háálá Ízrel dine'é dah yinéłígíí bindanit'a'í éí Ízrel dine'é biBóhólníihii Diyin God binahjį' yich'į' ádee hadadeesdzíí'. Ákohgo dah oonéłígíí t'áá ałtso saad dahółǫ́ǫgo bindanit'a'í yik'ídaha'ááh. 
6:9:019:0	Nidi bindanit'a'í t'áá ałtso éí dah oonéłígíí ádeidííniid, Ízrel dine'é biBóhólníihii Diyin God biniit'aa bich'į' bee ádee hadadeedzíí'; éí bąą k'ad doo baa nídadíit'įįł da. 
6:9:020:0	Díí kódadiilníiłgo bíni' dahináa doo, doodaii' bee atí'él'íinii nihik'ijį' dooleeł, háálá bee aha'deet'áanii bee bich'į' ádee hadadeedzíí'. 
6:9:021:0	Áko hondanit'a'í ádahodííniid, Bíni' dahiná. Ákohgo Ízrel dine'é dah yinéłígíí yá chizh ahideidiłkaałí áádóó tó yá nideikáhí daazlį́į́'; naat'áanii ádabidííniidígi ádaadzaa. 
6:9:022:0	Áko Jáshowa éí Gíbiyan dine'é hágo yidííniidgo ííłní, T'áá nihitahgi kéédahoht'į́įgo, Nízaadę́ę́' neiikai, dadohníigo ha'át'íísh biniyé nihinda'soolo'? 
6:9:023:0	Éí bąą k'ad hóyée' go nihá hada'iisdzíí' índa t'áá áłahjį' naalte' danohłį́į dooleeł. ShiDiyin God bikin bá chizh ahideidiłkaałígíí áádóó tó nideikáhígíí danohłį́į dooleeł. 
6:9:024:0	Nít'éé' Jáshowa áńdeidoo'niid, Ninaal'a'í daniidlíinii t'áá aaníígóó nihił dahóone'; Bóhólníihii niDiyin God nilíinii binaal'a'í Mózes éí kéyah t'áá át'é nihaididoo'áałgo éí kéyahgi kéédahat'íinii t'áá ałtso t'áá nihilą́ąjį' íidoołdįįłgo yich'į' yee haadzíí'. Éí bąą ádanihidoołdįįłgi bik'ee t'áá íiyisí nihił daayée'go nihiniinaa ákódeiit'įįd. 
6:9:025:0	Áko k'ad, shoo, nihee ádídahwíínółnííh. T'áá ni nínízinígi át'éego nił yá'át'ééh góne' áádóó nił t'áá ákwii át'éé góne' ánihílééh. 
6:9:026:0	Áko ádaanínígíí bá bi'jiilaa áádóó Ízrel dine'é bílák'eedóó yisdájíínilgo Ízrel dine'é t'áadoo nidahastseed da. 
6:9:027:0	Áádóó t'áá éí bijį́į́dą́ą́' Jáshowa éí dah oonéłígíí bá índa Bóhólníihii bibikáá' náá'iiniihí bá chizh ahideidiłkaałígíí áádóó tó neikáhí danilį́įgo ádajiilaa; díí jį́įjį' Bóhólníihii náhodidoo'áałgi t'áá ákót'é.
