6:4:001:1	Tsé naakits'áadahgo Jórdan toohdę́ę́' nídii'nil
6:4:001:0	Ákódaadzaago diné t'áá ałtso Jórdan tooh ha'naa ałtso ninínáago Bóhólníihii éí Jáshowa áyidííniidgo ání, 
6:4:002:0	Diné bitahdóó diné naakits'áadahgo nídidíínił; t'ááłá'í nítínígo ał'ąą dóone'é danilį́įgo nídidíínił. 
6:4:003:0	Áádóó bich'į' hadíídzihgo ábididííniił, Jórdan toohdę́ę́' éí nááda'iiłniihii naazínídóó tsé naakits'áadahgo nídadidoohnił; éí danihiidoołkáłíjį' dadoohjihgo díí tł'éé' danihiiłkaahígi nidadoohnił. 
6:4:004:0	Áko Jáshowa éí diné naakits'áadahgo nízhdiinilígíí bíká ázhdííniid; éí Ízrel dine'é bitahdóó t'ááłá'í nítínígo ał'ąą dóone'é danilį́. 
6:4:005:0	Áko Jáshowa éí áyidííniid, Bóhólníihii nihiDiyin God bitsits'aa' dílzinii bilą́ąjį' Jórdan tooh nílį́į́ nít'éé' yę́ęgóó dohkááh áádóó t'ááłá'í nootínígo nihiwos bee tsé hadahidoohjih; Ízrel dine'é ał'ąą dóone'é nohłínígíí éí bik'ehgo ákódaahnééh. 
6:4:006:0	Éí nihitahgóó bee ééhózinii át'ée doo; náás hodeeshzhiizhgóó nihada'áłchíní éí dabizhé'é nideídíłkidgo ádadidooniił, Díí tséshą', ha'át'íí biniyé át'é? 
6:4:007:0	Áko éí bee bił nídahołne' dooleeł, Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii bidáahgi Jórdan tooh dah néísk'ol; éí Jórdan tooh ha'naa niit'aahgo Jórdan tooh ał'ąą niilk'ol. Áko díí tséhígíí éí Ízrel dine'é bee ééhániihii át'éego ahóyéel'áa dooleeł. 
6:4:008:0	Áko Ízrel dine'é éí Jáshowa yee haadzí'ígíí yik'eh ádaadzaa; Jórdan tooh nílį́į́ nít'éé' yę́ęgi ałníí'dę́ę́' tsé naakits'áadahgo hadeizhjaa'; Bóhólníihii éí Jáshowa áyidííniidígi át'éego Ízrel dine'é éí ał'ąą dóone'é bik'ehgo dahwiidoołkáłíjį' tsé deizhjaa'go ákwii nideiznil. 
6:4:009:0	Áádóó Jáshowa éí tsé naakits'áadahgo Jórdan tooh nílį́į́ nít'éé' yę́ę ałníi'gi ałk'i dziztł'in; nááda'iiłniihii éí tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahígíí naazínígi niinínil, áko éí díí jį́į́góó t'ahdii t'áá ákwii sinil. 
6:4:010:0	Háálá nááda'ii łniihii éí tsits'aa' dílzinii deí'aahígíí Jórdan tooh nílį́į́ nít'éé' yę́ę ałníi'gi naazį́įgo Bóhólníihii éí Jáshowa yich'į' yee haadzíi'ii diné bich'į' ałtso bee hazdoodzih biniyé, Jáshowa éí Mózes hach'į' yee haadzíi'ii t'áá át'é bik'eh ádziidzaa.Haneetehee diné tsé'naa niildee'. 
6:4:011:0	Áádóó ákódzaago diné t'áá át'é ałtso tsé'naa niikaigo Bóhólníihii bitsits'aa' dílzinii tsé'naa niit'ą́ índa nááda'iiłniihii diné dabinááł tsé'naa niikai. 
