6:19:001:1	Símiyan dine'é kéyah baa deet'ą́
6:19:001:0	Naaki góne' yáá'iilt'e'ígíí Símiyan dine'é bá ánáánályaa; Símiyan dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bikéyah bá bénááhoosdzin; éí Júdah dine'é bikéyah łahjį' bá'doodzo. 
6:19:002:0	Áádóó Símiyan dine'é kéyah bíí' silį́'ígíí biyi' kin hadaas'áhígíí éí kódahoolyé: Bíyer-shííba, Sííba, Móladah, 
6:19:003:0	Héízar-shúwal, Béílah, Íízem, 
6:19:004:0	Eltólad, Béthol, Hórmah, 
6:19:005:0	Zíklag, Beth-márkabath, Héízar-súsah, 
6:19:006:0	Beth-lebéíyath índa Sharúhen; bikin dah naazhjaa'ígíí t'áá bił táá'ts'áadahgo kin hadaas'áhígíí, 
6:19:007:0	áádóó Áyiin, Ríman, Ííther índa Éíshan; bikin dah naazhjaa'ígíí t'áá bił dį́į'go kin hadaas'áhígíí ałdó' Símiyan dine'é bíí' daazlį́į́'; 
6:19:008:0	t'áá ła' bizhi'ee díí t'áá ałtso kin hadaas'áhígíí binaagóó kin dah naazhjaa'ígíí t'áá bił éí Béíyalath-bíyer kin shijaa' bíighahjį' nineel'ą́; éí shádi'áahgi Réímath ałdó' hoolyé. Díí kéyah t'áá át'é Símiyan dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bíí' daazlį́į́'. 
6:19:002:1	Zébyulan dine'é kéyah baa deet'ą́
6:19:009:0	Áko Júdah dine'é bikéyah łahjį' Símiyan dine'é bikéyah silį́į́', háálá Júdah dine'é t'áá áchą́hwíídéeni'go baa deet'ą́; éí bąą Símiyan dine'é kéyah íí' dooleełii Júdah dine'é bikéyah łahjį' baa hodeet'ą́. 
6:19:010:0	Táá' góne' yáá'iilt'e'ígíí Zébyulan dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bikéyah bá bénááhoosdzin. Áádóó éí kéyah bíí' daazlį́į'go Séírid kin shijaa' bíighahjį' hodeesdzo, 
6:19:011:0	áko éí tónteel e'e'aahjígo Máralah kin haal'á góde hodeesdzo, áádóó Dábasheth kin shijaa' bíighahgóó índa Jákniyam kin shijaa' ha'a'aahjí tó nílínígíí bíighahgóó hodeesdzo, 
6:19:012:0	Séírid kin shijaa'dóó náánáłahjigo ha'a'aahjigo háá'át'áhígíí bich'į'go Kíslath-téíber kin shijaa' bihoodzooígíí bich'į'go hodeesdzo; éí áádóó Dáberath kin shijaa'góó índa Jafáíya kin haal'áá góde hodeesdzo, 
6:19:013:0	áádóó éí ha'a'aahjí ch'íhoodzooígíí Gítah-híífer kin shijaa'góó, áádóó Ítah-kéízin haz'ánígóó, Ríman-méthowar kin shijaa' bich'į'go áádóó Níyah kin shijaa'jį' nááhodeesdzo, 
