24:50:001:1	A Message about Babylon
24:50:001:0	The Lord gave Jeremiah the prophet this message concerning Babylon and the land of the Babylonians .
24:50:002:0	This is what the Lord says : “ Tell the whole world , and keep nothing back.Raise a signal flagto tell everyone that Babylon will fall ! Her images and idols will be shattered.Her gods Bel and Marduk will be utterly disgraced .
24:50:002:1	Hope for Israel and Judah
24:50:003:0	For a nation will attack her from the northand bring such destruction that no one will live there again.Everything will be gone ; both people and animals will flee .
24:50:004:0	“ In those coming days , ” says the Lord , “ the people of Israel will return hometogether with the people of Judah.They will come weepingand seeking the Lord their God .
24:50:005:0	They will ask the way to Jerusalemand will start back home again.They will bind themselves to the Lordwith an eternal covenant that will never be forgotten .
24:50:006:0	“ My people have been lost sheep.Their shepherds have led them astrayand turned them loose in the mountains.They have lost their wayand ca n't remember how to get back to the sheepfold .
24:50:007:0	All who found them devoured them.Their enemies said , ‘ We did nothing wrong in attacking them , for they sinned against the Lord , their true place of rest , and the hope of their ancestors . '
24:50:008:0	“ But now , flee from Babylon ! Leave the land of the Babylonians.Like male goats at the head of the flock , lead my people home again .
24:50:009:0	For I am raising up an armyof great nations from the north.They will join forces to attack Babylon , and she will be captured.The enemies ' arrows will go straight to the mark ; they will not miss !
24:50:003:1	Babylon 's Sure Fall
24:50:010:0	Babylonia will be looteduntil the attackers are glutted with loot.I , the Lord , have spoken !
24:50:011:0	“ You rejoice and are glad , you who plundered my chosen people.You frisk about like a calf in a meadowand neigh like a stallion .
24:50:012:0	But your homeland will be overwhelmedwith shame and disgrace.You will become the least of nations—a wilderness , a dry and desolate land .
24:50:013:0	Because of the Lord 's anger , Babylon will become a deserted wasteland.All who pass by will be horrifiedand will gasp at the destruction they see there .
24:50:014:0	“ Yes , prepare to attack Babylon , all you surrounding nations.Let your archers shoot at her ; spare no arrows.For she has sinned against the Lord .
24:50:015:0	Shout war cries against her from every side.Look ! She surrenders ! Her walls have fallen.It is the Lord 's vengeance , so take vengeance on her.Do to her as she has done to others !
24:50:004:1	Hope for God 's People
24:50:016:0	Take from Babylon all those who plant crops ; send all the harvesters away.Because of the sword of the enemy , everyone will run away and rush back to their own lands .
24:50:017:0	“ The Israelites are like sheepthat have been scattered by lions.First the king of Assyria ate them up.Then King Nebuchadnezzar of Babylon cracked their bones . ”
24:50:018:0	Therefore , this is what the Lord of Heaven 's Armies , the God of Israel , says : “ Now I will punish the king of Babylon and his land , just as I punished the king of Assyria .
24:50:019:0	And I will bring Israel home again to its own land , to feed in the fields of Carmel and Bashan , and to be satisfied once morein the hill country of Ephraim and Gilead .
24:50:005:1	The
24:50:006:1	Lord
24:50:007:1	's Judgment on Babylon
24:50:020:0	In those days , ” says the Lord , “ no sin will be found in Israel or in Judah , for I will forgive the remnant I preserve .
24:50:021:0	“ Go up , my warriors , against the land of Merathaimand against the people of Pekod.Pursue , kill , and completely destroy them , as I have commanded you , ” says the Lord .
24:50:022:0	“ Let the battle cry be heard in the land , a shout of great destruction .
24:50:023:0	Babylon , the mightiest hammer in all the earth , lies broken and shattered.Babylon is desolate among the nations !
24:50:024:0	Listen , Babylon , for I have set a trap for you.You are caught , for you have fought against the Lord .
24:50:025:0	The Lord has opened his armoryand brought out weapons to vent his fury.The terror that falls upon the Babylonianswill be the work of the Sovereign Lord of Heaven 's Armies .
24:50:026:0	Yes , come against her from distant lands.Break open her granaries.Crush her walls and houses into heaps of rubble.Destroy her completely , and leave nothing !
24:50:027:0	Destroy even her young bulls—it will be terrible for them , too ! Slaughter them all ! For Babylon 's day of reckoning has come .
24:50:028:0	Listen to the people who have escaped from Babylon , as they tell in Jerusalemhow the Lord our God has taken vengeanceagainst those who destroyed his Temple .
24:50:029:0	“ Send out a call for archers to come to Babylon.Surround the city so none can escape.Do to her as she has done to others , for she has defied the Lord , the Holy One of Israel .
24:50:030:0	Her young men will fall in the streets and die.Her soldiers will all be killed , ” says the Lord .
24:50:031:0	“ See , I am your enemy , you arrogant people , ” says the Lord , the Lord of Heaven 's Armies. “ Your day of reckoning has arrived—the day when I will punish you .
24:50:032:0	O land of arrogance , you will stumble and fall , and no one will raise you up.For I will light a fire in the cities of Babylonthat will burn up everything around them . ”
24:50:033:0	This is what the Lord of Heaven 's Armies says : “ The people of Israel and Judah have been wronged.Their captors hold them and refuse to let them go .
24:50:034:0	But the one who redeems them is strong.His name is the Lord of Heaven 's Armies.He will defend themand give them rest again in Israel.But for the people of Babylonthere will be no rest !
24:50:035:0	“ The sword of destruction will strike the Babylonians , ” says the Lord. “ It will strike the people of Babylon—her officials and wise men , too .
