51:3:001:1	Vit'eegwijyąhchy'aa Shoohahtsyaa Gwizhrįh Geenjit Gwitr'it T'akhwa'in
51:3:001:0	Nijin Vit'eegwijyąhchy'aa, Christ niindhat gwats'an ninehkhin dąį', nakhwan t'ee vaa nineedhohkhin k'it t'akhwazhit. Ąįįts'ą' nats'ahts'ą' dinjii zheekat gwats'an nilii gweheendaii goo'aii nąįį k'it khit gǫhdaii. Izhit t'ee Christ, Vit'eegwijyąhchy'aa vishriits'ąįį dhidii t'oonchy'aa. 
51:3:002:0	Nats'ahts'ą' dinjii zheekat gwats'ąnh nilii nąįį gwagwandaii gwik'it gwizhrįh goiihndaii nohthan ts'ą' dzaa nankat gwich'in nąįį Vit'eegwijyąhchy'aa haagiindaii kwaa ky'aa gwagwandaii ąįį gwadrąįį ninjich'ǫhthat shrǫ'. 
51:3:003:0	Nijin Christ niindhat dąį' vaa noodhat k'it t'akhwazhit ąįį geh'an jii jyaa dakhwa'in, ts'ą' juk Vit'eegwijyąhchy'aa vandah Christ vaa khaihłak ǫhłįį. Dinjii nąįį, jii gwandaii k'eejit khwa'įį ąįį gwinzii haagiindaii kwaa t'oonchy'aa. 
51:3:004:0	Nijin Christ, gwandaii k'eejit akhwa'įį nakhwiłtsąįį nineezhii ji', vich'eegwąhndit zhit vaa nakhwagwahaakyaa t'oonchy'aa. 
51:3:005:0	Ąįįts'ą' tr'agwaanduu gwigwitr'it zhrįh t'akhwa'ya' nohthan ąįį niindhat k'it t'oonchy'aa geh'an chan nakhwats'ą' k'eedeegwaadhat shrǫ'. Tr'agwaanduu zhit ch'aanagoh'aa shrǫ', ts'ą' jyaa gwizhrįh dashoo'ya' nǫhkhya' shrǫ', ts'ą' tr'agwaanduu gwigwitr'it t'asho'ya' nǫhkhya' shrǫ'. Dzaa nankat gwak'aiich'i' lęįį shoo'į' nǫhkhya' shrǫ', jyaa dakhwa'in dąį' ąįį k'aiich'ii kwaii ch'ik'itiltsį' khadhoh'ee k'it t'akhwa'in t'oonchy'aa. 
51:3:006:0	Ąįį geh'an juu tr'agwaanduu tr'agwah'in nąįį Vit'eegwijyąhchy'aa gęhdaa kwaa googwahąhshii t'oonchy'aa juu yik'eegwahthat kwaa nąįį datthak jyaa dahah'yaa t'oonchy'aa. 
51:3:007:0	Nakhwant'ee Christ vik'injahohthaa gwats'ą' dąį' tr'aanduu gwigwitr'it zhrįh t'agwaroh'ya' nohthan. 
51:3:008:0	Gaa jii deekhwa'in chan gwik'it t'ineekhwa'yaa kwaa goo'aii: Zhyaa zhoonts'įį shrǫ'! Nik'įį gwanlii haa dinjii nąįį ts'ą' gwiizųų t'akhwa'ya' shrǫ', ch'izhii dinjii nąįį gwiizųų eegoohkhyaa shrǫ'. Ąįįts'ą' chan ginjik iizųų haa dloodohdlii shrǫ'. 
51:3:009:0	Nihłihts'a' ohts'it shrǫ', Christ vik'injahohkhit gwehkįį dąį' nats'ąą dinjii ǫhłįį ąįį chan gwik'it dinjii neehohłyaa kwaa, juk Christ k'injuhkhit zhit dinjii ǫhłįį geh'an. 
51:3:010:0	Ts'ą' Christ k'injuhkhit geh'an dinjii ch'ijuk t'inchy'aa needhoodlit. Vit'eegwijyąhchy'aa dinjii k'eejit neenakhwiłtsąįį ts'ą' gwandaa dik'it t'inchy'aa nakhwiłtsąįį, gwinzii vaakhwandaii hohłyaa geenjit. 
51:3:011:0	Jews inlii akwat Jews inlii kwaa ts'ą' vatthąį' kat khagwarąht'uu akwat vatthąį' kat khagwarąht'uu kwaa, jii kwaii ininjich'arahthat gwideegwaahchy'aa kwaa t'oonchy'aa, slave ǫhłįį akwat, slave ǫhłįį kwaa, ts'ą' aakin ǫhłįį akwat aakin ǫhłįį kwaa, kwaii datthak nihk'it t'igwiichy'aa t'oonchy'aa ąįįts'ą' gaa Christ zhrįh jidii datthak andaa veegoo'aii t'inchy'aa, aiizhit geh'an vigii tr'iinlii ts'ą' datthak diizhit t'inchy'aa. 
51:3:012:0	Vit'eegwijyąhchy'aa gwitee gwats'an tr'inakhwiinlii ts'ą' vigii hohłyaa geenjit tthok nineekhwinlii ts'ą' nakhweet'iindhan t'inchy'aa: Datthak ts'ą' dinjii khaiinjich'iighit nąįį ts'ohnyaa ts'ą' nihłehts'ą' ch'eeshroonchy'aa haa nihts'ohnyąą ts'ą' khazhak ǫhłįį ts'ą' nihłeenjit ninjich'ǫhthat ts'ą' khai'gwidlii ǫhłįį. 
51:3:013:0	Juk nakhwaa gwik'injiighit nąįį tr'agavohdaii gaa nihk'it goovaa gwinzii gwadhoh'ąįį. Nakhwats'ą' gwiizųų t'igiizhik ji' gaa gooveenjit ganoondee. K'eegwaadhat nakhweenjit oo'an gwahaadlii gwik'it ch'izhii dinjii nakhwats'ą' gwiizųų nąįį gooveenjit ganoondee. 
51:3:014:0	Ąįįts'ą' ch'eet'igwiniindhan akhwa'įį, jii t'ee ch'andaa hil'ee t'inchy'aa, nihłeenjit ch'eet'igwiniindhan datthak khwa'įį ji' t'ee nihłaa gwinzii gahoh'aa ts'ą' gwinzii khaihłak khohłyaa t'oonchy'aa. 
