4:14:001:1	Ízrel dine'é éí Bóhólníihii yich'į' nidaalteeh
4:14:001:0	Áko Ízrel dine'é dah yinéłígíí t'áá ałtso yéego hahodííłdláád áádóó tł'éé' bíighah daachago yiską́. 
4:14:002:0	Áádóó Ízrel dine'é t'áá dah yinééł nít'éé' Mózes áádóó Éran yich'į' saad dahasłį́į'go ádahodííniid, T'áá Ííjip kéyahdi danee'náago nihá yá'át'éeh doo nít'éé', doodaii', Díí honoojíigi danee'náago nihá yá'át'éeh doo nít'éé'! 
4:14:003:0	Ha'át'íí lá biniyé Bóhólníihii díí kéyahjį' ch'ínihiní'eezh? Da' dilt łishísh bee naa'adanihízdiyoolghałgo nihida'asdzą́ą́ índa nihada'áłchíní yisnááh dadooleeł? T'óó Ííjip kéyahgóó nihéédahaakaigo nihá yá'át'éeh doo nít'éé'. 
4:14:004:0	Ákohgo t'áá bí áda'ahidoo'niid, Haa'íshą' nihinanit'a'í ła' nidadiiltéełgo Ííjip kéyahgóó háni'dii nihéénihidoo'ish. 
4:14:005:0	Nít'éé' Mózes áádóó Éran éí Ízrel dine'é dah yinéłígíí t'áá ałtso binááł tsé'yaa jineeshjool. 
4:14:006:0	Áko Nan biye' Jáshowa áádóó Jiifáneh biye' Kéíleb éí atah kéyah hajíísidígíí ha'éé' ák'i nijooldláadgo 
4:14:007:0	Ízrel dine'é dah yinéłígíí t'áá ałtso bich'į' hadzoodzíi'go ájíní, Kéyah hadadiilził biniyé biyi'góó hadiikaígíí kéyah t'áá íiyisí ayóó áhonóolnin. 
4:14:008:0	Bóhólníihii nihaa bił hózhǫ́ǫgo díí kéyah nihaididoo'áałgo yiih nihidoo'ish; éí kéyah yá'áhoot'éehgi abe' índa tsés'ná bitł'izh bee áda'azįįdgo haz'ą́. 
4:14:009:0	Áko t'áadoo Bóhólníihii bich'į' nidaałteehí, doodaii' díí kéyah yii' kéédahat'íinii t'áadoo bik'ee nihił daayé'í, háálá éí nihibááh dajílį́; ádích'ą́ą́h nideilyéé nít'éé' yę́ę bits'ą́ąjį' kódzaa; nihí éí Bóhólníihii nihił hólǫ́; t'áadoo nihi'ana'í bik'ee nihił daayé'í. 
4:14:010:0	Nidi t'áá dah yinééł nít'éé' ádadííniid, Tsé bee bił nidaznołne'.Ákohgo níbaal bii' dahozdísinii bii'jį' Ízrel dine'é t'áá ałtso binááł Bóhólníihii yee ayóó át'éii yit'íní silį́į́'. 
4:14:011:0	Áko Bóhólníihii éí Mózes ííłní, Haa nízáagishą' díí diné shił nida'í'įįh doo? Haa nízáadishą' índa dashiizhdoodląął? Jó, bee éédahózinii t'áá át'é dahatahgi hoł ííshjání ádaashłaa. 
4:14:012:0	Naałniih bee ádahodeeshdįįłgo, doo shidine'é dajílį́į da doo, áko ni éí dahaláahgo nits'ą́ą́dóó náás ahoolchíiłii ayóó át'éego bidziilgo ádeeshłííł. 
4:14:013:0	Áádóó Mózes éí Bóhólníihii ííłní, Áko haniih ákwíinilaago Ííjip dine'é yaa dahodidoots'į́į́ł; (jó, nibee adziilii bee éí hatahdóó díí dine'é ch'ííní'eezh,) 
4:14:014:0	áko díí kéyahgi kéédahat'ínígíí yił dahodoolnih; Bóhólníihii nílíinii, díí dine'é bitahgi honílǫ́ǫgo naa dahodiizts'ą́ą́'; Bóhólníihii nílíinii, ni'doot'į́įgo nits'ą́ą́dóó k'osígíí bik'i dah yildohgo índa bilą́ąjį' jį́įgo k'os níyizgo áádóó tł'ée'go kǫ' níyizgo bee hóóleełgo naa dahodiizts'ą́ą́'. 
4:14:015:0	K'ad diné t'áá łá'í dziisxínígi át'éego díí dine'é t'áá ałtso nisíníłtseedgo ał'ąą dine'é naa dahodidoots'į́įłgo ádadidooniił, 
4:14:016:0	Bóhólníihii éí díí dine'é kéyah biih nihideesh'ish yiłníigo, yich'į' ádee hadoodzíi'ii doo yínéés'ąądgóó, éí bąą honoojíigi neistseed. 
4:14:017:0	Ákohgo k'ad, baa nánooshkąąh, bíni'dii shiBóhólníihii nílíinii, bee nidziilii ayóó át'ée le'; jó, adííníniidígíí bik'ehgo háínídzíí'. 
4:14:018:0	Bóhólníihii éí nízaadgóó ha'ólní áádóó ayóó át'éego aa a'ááh nízin, índa doo ákwii áhát'íinii áádóó bee haz'áanii hetíihii á yóó'ahizhdi'aahii jílį́, nidi diné ła' ha'át'e'ígíí ts'ídá doo hąąh ádin áhóle' át'ée da; da'azhé'é doo ákwii ádáát'įįdígíí ba'áłchíní náás ahoolchíiłii táadi índa dį́įdi ałk'i ná'azhchį́įjį' bik'i hwiileehgo yá nináhwii'nííł. 
4:14:002:1	Diyin God éí Ízrel dine'é atíyiilaa
4:14:019:0	Bá yóó'anídí'aah, baa nánooshkąąh; díí diné doo ákwii ádáát'įįdígíí bee aa a'ááh nínízinii ayóó át'éii bik'ehgo bá yóó'anídí'aah, áádóó Ííjip kéyahdóó ch'ínínáádóó díí jį́įjį' ákódaat'íinii bá yóó'anídiyí'aahígi át'éego yóó'anídí'aah.  
4:14:020:0	Ákohgo Bóhólníihii ání, Nizaad k'ehgo bá yóó'anídíí'ą́, 
4:14:021:0	nidi t'áá aaníí hinishnánígi át'éego nahasdzáán t'áá át'éé nít'éé' bii' Bóhólníihii yee ayóó át'éii hadeezbin doo. 
4:14:022:0	Díí dine'é t'áá ádzíłtso Ííjip kéyahdi áádóó honoojíigi bee ayóó ánísht'éii índa álíleego í'iishłaaígíí dajiiłtsą́ą nidi, díí k'ad neeznáadi shínídaneeztą́ą'go ádíshnínígíí doo dayíísts'ą́ą́'góó naaldeeh. 
4:14:023:0	Dabizhé'é yę́ę kéyah baa dideesh'áałgo bee bich'į' ádee hadeesdzí'ígíí ts'ídá doo deizdoołtséeł da índa éí shá nídahojiłchįįh yę́ę doo ła' kéyahgi hwiizdoołtséeł da, 
4:14:024:0	nidi shá naal'a'í, Kéíleb, éí t'áá sahdii át'éego biyi' honít'i'ígíí áádóó t'áá aaníí shikéé' yigáłígíí bąą kéyah yii'góó tádííyáhígíí bił biih deesh'ash, índa ba'áłchíní náás ahoolchíiłii daabí doo. 
4:14:025:0	(Íídą́ą́' Ámalek dine'é áádóó Kéínan dine'é deíldzis góyaa kéédahat'į́.) Yiską́ągo Tónteel Łichíí' bich'į' bíhodíłgizgo honoojíí góne' aní'doohnééł. 
4:14:026:0	Áádóó Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ání, 
4:14:027:0	Haa nízáagishą' díí doo yá'áshónígi ádaat'į́įgo dah yinéłígíí shik'ijį' danilį́įgo saad dahółǫ́ǫ doo? Ízrel dine'é shik'ijį' danilį́įgo saad dahółǫ́ǫgo shik'ijį' yádaałti'go diséts'ą́ą́'. 
4:14:028:0	Kóbidohní, T'áá aaníí hinishnánígi át'éego, ní Bóhólníihii, ákót'éego yádaałti'go nihidiséts'ą́'ígi át'éego t'áá ádadohnínígi ánihideeshłííł. 
