4:36:001:1	Sáanii éí bíí' dadooleełii bá bee haz'áanii
4:36:001:0	Jóseph dine'é náás ahoolchíiłii bits'ą́ą́dóó Manáseh biye' Méíkir, éí biye' Gíliyad ahii' háá'ahiyoolchíiłii dabizhé'é á naazíinii éí Mózes áádóó Ízrel dine'é dabizhé'é á naazíinii yaa yíkai, 
4:36:002:0	áko ádaaní, Shinanit'a'í nílíinii, kéyah íí' dooígíí Bóhólníihii nich'į' yee ádee hadoodzíi'go yáá'iilt'e' bik'ehgo Ízrel dine'é kéyah baa hidí'aah, áádóó bóhonish'níihii, Bóhólníihii binahjį' háínídzíi'go kéyah íí' dooleełii nihik'is Ziilófehad bitsi'ké ła' baa hidí'aah. 
4:36:003:0	Nidi bitsi'ké éí náánáła' Ízrel dine'é danilíinii dabiye'ké ła' yił ahá da'azyehgo danihizhé'é yę́ę bikédaayah nihits'ą́ą́' baa dahidit'aah doo, áádóó yił ahá da'azyehígíí bikéyah bił ahídeiltsoodgo baa dahidit'aah doo, áko nihikéyah nihighadahididoot'ááł. 
4:36:004:0	Áko Ízrel dine'é bá Júbilii náhááh baa hoolzhiizhgo sáanii dabikéyah diné yił ahá da'azyehígíí bił baa dahidit'aah doo, áko danihizhé'é yę́ę bikédaayah nihighadahididoot'ááł. 
4:36:005:0	Áko Bóhólníihii bizaak'ehgo Mózes éí Ízrel dine'é bich'į' hadzoodzíi'go ájíní, Jóseph dine'é bada'áłchíní náás ahoolchíiłii yá'át'éehgo hadaasdzíí'. 
4:36:006:0	Díí Bóhólníihii yee haadzíí': Ziilófehad bitsi'ké t'áá bí bíni' bidaałt'éii yił ahá da'dooyehgo bídadéét'i', ákondi dabizhé'é yę́ę bidine'é biye'ké t'éiyá bił ahá da'jigéeh doo. 
4:36:007:0	Áko Ízrel dine'é bikédaayahígíí éí náánáła' Ízrel dine'é danilíinii doo yił ałtah nídeidit'áah da doo; jó, Ízrel dine'é t'áá ádzíłtso dahazhé'é yę́ę bikéyah t'áá dajótą' doo. 
4:36:008:0	Áádóó atsi'ké jílíinii éí kéyah ła' hwee hólǫ́ǫgo hazhé'é yę́ę bidine'é biye'ké ła' be'asdzą́ą́ jidooleeł, áko Ízrel dine'é dajílíinii dahazhé'é yę́ę bikédaayah t'áá daahóó' doo. 
4:36:009:0	Kót'éego náánáła' Ízrel dine'é éí kéyah ts'ídá doo ałgháájít'aah da doo, nidi t'ááłá'í jinítínígo Ízrel dine'é dajílíinii t'áá daahó hakédaayah dajótą' doo. 
4:36:010:0	Áko Bóhólníihii éí Mózes yich'į' yee haadzí'ígi át'éego Ziilófehad bitsi'ké ádaadzaa. 
4:36:011:0	Jó, Ziilófehad bitsi'ké éí Mála, Térza, Hágla, Mílka índa Nóah; díí dabizhé'é yę́ę bik'isóó biye'ké yił ahá da'azyeh. 
4:36:012:0	Jóseph biye' Manáseh dine'é ba'áłchíní náás ahoolchíiłii yił ahá da'azyeh, áádóó dabizhé'é yę́ę bidine'é ba'áłchíní bitahgi bikédaayah t'áá yii' kéédahat'į́. 
4:36:013:0	Díí éí bik'eh ó'oo'níiłii áádóó bee nidahodiit' aahii éí Bóhólníihii hahadziihgo Mózes binahjį' Ízrel dine'é kót'ée doo yiłníigo Mó'ab kéyah nidzisgaigi Jériko binaashiijí Jórdan tooh nílíní ha'a'aahjigo haz'ánígi yich'į' haadzíí'.
