4:15:001:1	Náádahaniihii bá bee nahaz'áanii
4:15:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:15:002:0	Ízrel dine'é bich'į' handziihgo ábidiní, Kéyah bii' kéédahoht'į́į dooleełii nihaa dinish'aahígíí biih woonáago 
4:15:003:0	áádóó Bóhólníihii bich'į' didlidgo náádahidoołnihii ádadoohłíiłgo, éí didlidgo nááhániihii, doodaii' nááhániihii bee ádee hadaohdzíi'ii, doodaii' nááhániihii t'áá nihí ádeinohsingo nidadinoo'áanii, doodaii' hodílzingo áłah ná'ádleeh nídaoł'aahgo éí béégashii bitahdę́ę́' béégashii ła', doodaii' dibé bitahdę́ę́' dibé ła' nídidoohłóosgo Bóhólníihii bich'į' łikání halchingo náádahołniih doo, 
4:15:004:0	áko Bóhólníihii bich'į' náá'jii łniihígíí éí ak'áán nááhidoonihii éí ómer bee í'neel'ąąhí bee ak'áán t'ááłáhídi haaką́ągo éí kwáart bee í'neel'ąąhí áníłtsooígíí bíighahgo bee ak'ah haaką́ągo bił ałtahgo néidiyoołnih. 
4:15:005:0	Índa kwáart bee í'neel'ąąhí bee wáin t'ááłáhídi haaką́ągo yanáadzi'go nááhidoonihii át'éego hasht'eidoolííł éí didlidgo nááhániihii, doodaii' nááhániihii át'éego dibé yázhí t'ááłá'ígo bik'eh níką́ągo hasht'eidoolííł. 
4:15:006:0	Doodaii' deenásts'aa' nááhániihgo éí ómer bee í'neel'ąąhí bee ak'áán naakidi haaką́ągo éí kwáart bitísígo bee í'neel'ąąhí bik'ehgo ak'ah haaką́ągo bił ałtahgo hasht'eidoolííł. 
4:15:007:0	Áádóó kwáart bitísígo bee í'neel'ąąhí bik'ehgo wáin haaką́ągo yanáadzi'go nááhidoonihii Bóhólníihii bich'į' łikání halchingo néidiyoołnih. 
4:15:008:0	Áko dóola yázhí didlidgo nááhániihii, doodaii' nááhidoonihii ádee háínídzíí'jí nááhániihii, doodaii' hózhǫ́ǫ́jí nááhániihii hasht'enéinil'įįhgo Bóhólníihii bich'į' nááhidííłnihgo 
4:15:009:0	ómer bee í'neel'ąąhí bee ak' áán táadi haaką́ągo áádóó kwáart bee í'neel'ąąhí bee ak'ah naakidi haaką́ągo bił ałtahgo éí dóola yázhí bóóltą'go nááhániih doo. 
4:15:010:0	Áádóó kwáart bee í'neel'ąąhí bee wáin naakidi haaką́ągo éí yanáadzi'go nááhániihii át'éego łikání halchingo Bóhólníihii bich'į' didlidgo nááhidííłnih. 
4:15:011:0	Kót'éego dóola yázhí, doodaii' deenásts'aa', doodaii' dibé yázhí, doodaii' tł'ízí yázhí t'ááłá'í nítínígo ákónál'įįh doo. 
4:15:012:0	T'áá ánéelt'e'go hasht'enídaał'įįhígíí bik'ehgo t'áá ałtso ádanéelt'e'ígíí bik'ehgo ákónídaał'įįh doo. 
4:15:013:0	T'áá ałtso kéyahgi nidahaazhchínígíí bik'ehgo hoogáałii yik'ehgo áda'ał'į́įgo łikání halchingo Bóhólníihii bich'į' didlidgo nááda'iiłniih doo. 
4:15:014:0	Áádóó dé'éyóní ła' nihitahgi kééhat'į́įgo, doodaii' náás da'ahíínółchíihii nihitahgi łahdę́ę́' nilíinii éí didlidgo náá'iiniih ádeeshłííł nízingo łikání halchingo Bóhólníihii bich'į' nááda'ayołniihígi át'éego bí ałdó' ákódaat'į́į doo. 
4:15:015:0	Nihí dah wohnéłígíí áádóó dé'éyóní nihitahgi kéédahat'ínígíí ałdó' bik'eh hoogáałii t'ááłá'í nihá át'é; náás da'ahíínółchíihii hool'áágóó bik'eh hoogáałii nihá át'é; t'áá nihí ádanoht'éhígi át'éego dé'éyóní Bóhólníihii binááł t'áá ákódaat'ée dooleeł. 
4:15:016:0	Bee haz'áanii t'ááłá'ígíí índa bik'ehgo hoogáałii t'ááłá'ígíí éí nihí áádóó dé'éyóní t'óó átsééd kéédahat'ínígíí bił nihá át'ée doo.  
4:15:017:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:15:018:0	Ízrel dine'é bich'į' handziihgo ábidiní, Kéyah biih nihideesh'ishígíí biih woonáago 
4:15:019:0	éí kéyahdóó ch'iyáán daohsą́ągo bił dah nídi'diilnihgo nááhániihii Bóhólníihii bich'į' náádahołniih doo; 
4:15:020:0	áłtsé ak'áán taosnii'ígíí bááh ályaago bił dah nídi'diilnihgo náádahołniih doo; t'áá ha'íná'ál'isídóó bił dah nídi'diilnihgo nááhániihígi át'éego éí bił dah nídadidoołnih doo. 
4:15:021:0	Náás da'ahíínółchííhgóó áłtsé ak'áán taosnii'ígíí Bóhólníihii bich'į' bił dah nídi'diilnihgo náádahołniih doo. 
4:15:022:0	Da'soohsiihgo áádóó díí bik'eh ó'oo'níiłii t'áá át'é doo bida'oołaagóogo Bóhólníihii éí Mózes áyidííniidígi ádaahdzaa lá; 
4:15:023:0	t'áá éí Bóhólníihii ánihidííniidii t'áá ałtso Mózes binahjį' ákóní; éí Mózes t'áá hó t'éí Bóhólníihii áhodííniid bijį́į́dóó wóshdę́ę́' niha'áłchíní náás ahoolchíiłii bitahgóó 
4:15:024:0	éí t'áadoo baa ákohwiindziní ádił oodzíi'go áádóó dah oonéłígíí doo bił béédahózingóogo dah oonéłígíí t'áá ałtso éí dóola yázhí t'ááłá'ígo didlidgo nááhániihii át'éego Bóhólníihii bich'į' łikání halchingo náádayiiłniih doo; éí bik'eh hoogáałii bik'ehgo ak'áán áádóó yanáadzi'go nááhániihii yił náádayiiłniih doo, áádóó tł'ízíchǫǫh t'ááłá'ígo ádił ni'iidzííhjí nááhániihii át'éego náádayiiłniih doo. 
