4:12:001:1	Míriyam áádóó Éran éí Mózes yik'ijį' haadzíí'
4:12:001:0	Áko Mózes éí Iithiyópiya dine'é asdzání bá'dzízyehígíí biniinaa Míriyam áádóó Éran hak'ijį' nilį́įgo haadzíí', háálá Iithiyópiya dine'é asdzání nilíinii bá'dzízyeh. 
4:12:002:0	Áádóó ání, Da' Mózes daats'í t'éiyá binahji' t'áá aaníí Bóhólníihii hahadziih? Da' nihiísh doo nihinahjį' hahadziih da? Áko Bóhólníihii hodiizts'ą́ą́'. 
4:12:003:0	Áko Mózes diné jílíinii t'áá íiyisí a'ohgo í'dólzinii jílį́; nihokáá' dine'é t'áá ałtso bitahgóó ákójít'é. 
4:12:004:0	Áko t'áadoo hooyání Bóhólníihii éí Mózes áádóó Éran índa Míriyam yich'į' haadzíí', Wóshdę́ę́' tánółt' éego níbaal bii' dahozdísinjį' ch'ínóhkááh. Áádóó tájílt'éego áajį' ch'íjíkai. 
4:12:005:0	Áádóó k'os níyizii hadaaldohgo éí Bóhólníihii yii'jį' hadahóóle'go níbaal bii' hodílzinii bich'éédą́ą'gi yiizį'go Éran áádóó Míriyam yíká ádííniid, áko t'áá ájíłah áajį' ch'ízhní'áázh. 
4:12:006:0	Áko áháłní, K'ad shizaad doohts'į́į́h; shá halne'ii nihitahgi hólǫ́ǫgo shí, Bóhólníihii nishłíinii, t'áá shí ił áhát'į́ bii'dóó bich'į' ádééhodeesdzįįł, na'iigeeł bii'dóó bich'į' hadeesdzih. 
4:12:007:0	Shá naal'a'í Mózes éí doo ákót'éego bich'į' hadeesdzih da; éí t'éí shidine'é t'áá ałtso bitahdóó ba'ahódlí. 
4:12:008:0	Éí t'éí bił t'áá ałzéé'dóó t'áá bééhózínígo bił ałch'į' yáshti'; saad nantł'aii doo bee bich'į' yáshti' da; Bóhólníihii át'éegi náyiiltsééh; éí bąą haash yit'éego shá naal'a'í Mózes bik'ijį' nohłį́įgo hadoohdzihígíí doo bik'ee nihił yée' da? 
4:12:009:0	Áko Bóhólníihii hach'į' báhóóchįįdgo dah náhodiidle'. 
4:12:010:0	Áádóó níbaal bii' hodílzinii bits'ą́ą́dóó k'os dah nídiildoh; jó, Míriyam éí łóód ats'íís yiyáanii yasgi át'éego łigaigo hodoolna', áko Éran éí Míriyam jinééł'į́į́ nít'éé', shoo, łóód ats'íís yiyáanii bidoolna' lá. 
4:12:011:0	Áko Éran éí Mózes ííłní, Shinanit'a'í, t'áá shǫǫdí, díí bee ádił asiilziihígíí doo nihik'ijį' síníł'ą́ą da doo; doo áhwiilyą́ą́góó íidzaaígíí bee ádił asiilziih. 
4:12:012:0	Ła'da bits'íís łahjį' dííłdzidgo bimá biishch'id bii'dę́ę́' t'áá daaztsą́ągo háátłizhígi át'éego t'ááká ákóhóle' lágo. 
4:12:013:0	Áádóó Mózes éí yéego Bóhólníihii yíká ádííniidgo ání, Diyin God nílíinii, k'ad náhółdziih, baa nánooshkąąh. 
4:12:014:0	Áko Bóhólníihii éí Mózes ííłní, Hazhé'é nidi hanii' yik'ídeezhée'go tsosts'id yiską́ąjį'ísh baa yáznízin doo? Háni'dii tsosts'id yiską́ąjį' níbaal haal'á bits'áhwiiní'ą́ą́góó kóhodi'doolnííł, áádóó bik'ijį' índa nihił yah anízhdoodááł. 
4:12:015:0	Áádóó tsosts'id yiską́ąjį' Míriyam éí níbaal haal'á bits'áhwiiní'ą́ą́góó kóho'diilyaa, áko diné t'áadoo niheenéhí Míriyam bił yah anídadziskaijį' índa. 
4:12:016:0	Áádóó bik'ijį' índa Hazíírahdóó Ízrel dine'é dah náádii'náago Péíran honoojíigi ninááná'ná.
