4:5:001:1	Dajííchxǫ'ii éí dah oonééł bits'áhodi'neelkaad
4:5:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:5:002:0	Ízrel dine'é bich'į' handziihgo ábidiní, Łóód ats'íís yiyáanii bąąh naałniihii áádóó t'áá ha'át'íhída bąąh hááłts'ą'ii t'áá ałtso índa t'áá háiida éí daaztsáanii bits'íís bíhizhdéé'náa'go bee jííchxǫ'ii éí níbaal haal'á bits'áhwiiní'ą́ą́góó hoda'ayołnííh; 
4:5:003:0	diné, doodaii' asdzánída nahgóó hoda'ayołnííh; éí níbaal haal'á bits'áhwiiní'ą́ą́góó hoda'ayołnííh, áko níbaal haal'áagi honishłónígi doo dahozhdoołchxǫǫ ł da. 
4:5:002:1	Niná'iilyééjí bee nahaz'áanii
4:5:004:0	Áádóó Ízrel dine'é ákódaadzaa, hąąh nidahałniihii éí níbaal haal'á bits'áhwiiní'ą́ą́góó hoda'asnii'. Bóhólníihii éí Mózes yich'į' yee haadzí'ígi át'éego Ízrel dine'é t'áá ákóda'iilaa. 
4:5:005:0	Áádóó Bóhólníihii éí Mózes yich' į' haadzíi'go ání, 
4:5:006:0	Ízrel dine'é bich'į' handziihgo ábidiní, Diné ła', doodaii' asdzání ła' nihokáá' dine'é ádił nida'iisíhígíí éí yee Bóhólníihii yich'į' doo ákǫ́ǫ́ áát'įįdgóó áádóó yee ádihodiilt'i'go yá ninánítłizhgo 
4:5:007:0	yee ádił asiihígíí yee ádaa hodoolnih, áádóó doo ákǫ́ǫ́ ayííł'įįdígíí yik'é yich'į' niná'doodlééł, índa ashdla' aháádzooígíí t'ááłá'í yínéidoozohgo yich'į' doo ákǫ́ǫ́ áát'įįdígíí yeidoonił. 
4:5:008:0	Nidi diné yich'į' doo ákǫ́ǫ́ áát'įįdígíí doo hináágóó áádóó bik'éí doo hólǫ́ǫ́góó t'áadoo yich'į' niná'ódlé łígóó éí doo ákǫ́ǫ́ áát'įįdígíí niná'doodléełgo Bóhólníihii bá náá'iiłniihii baa didoot'áałgo deenásts'aa' bee á k'ééhoodǫǫłii óóltą'go há k'ééhozhdoołdǫǫłii nááhizhdoołnih. 
4:5:009:0	Áádóó Ízrel dine'é éí diyingo náádayiiłniihii t'áá át'é náá'ii łniihii yaa dayiijáhígíí t'áá bíí' neheleeh. 
4:5:003:1	Łe'hasin bik'ijį' bee haz'áanii
4:5:010:0	Diné t'áá ádzíłtso diyingo náádajiiłniihígíí éí náá'iiłniihii bí doo; t'áá ha'át'íhída náá'iiłniihii baazhníláhígíí t'áá bíí' dooleeł. 
4:5:011:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:5:012:0	Ízrel dine'é bich'į' handziihgo ábidiní, Diné ła' hwe'asdzą́ą́ hats'ą́ą́' diné yił ahint'įįhgo bił ahízhdéét'i'ígíí yił asiihgo 
4:5:013:0	áádóó éí diné bił neezhtéezhgo áádóó ájíít'įįdígíí hahastiin bits'ąą nanil'ingo ázhdoolchxǫ'ígíí t'áadoo bééhoozingóó índa oo'íinii ádingo t'áadoo hahodeel'į́'ígóó 
4:5:014:0	áádóó hahastiin haa łe'niizį́į'go be'asdzą́ą́ jílį́įgo ázhdoolchxǫ'go, doodaii' doo ázhdoolchxǫ' da nidi haa łe'nízingo, 
4:5:015:0	áko be'asdzą́ą́ jílíinii éí náá'iiłniihii yich'į' hoł doo'ashgo néidiyoołnihígíí há yidookááł, éí ómer bee í'neel'ąąhí bee tł'oh naadą́ą́' nanool'ołí ak'áán ályaii t'ááłáhídi haaką́ągo éí ak'ah doo bik'i yeizdooził da áádóó tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii ałdó' doo bąąh ázhdoolíił da, háálá łe'hasinjí nááhániihii át'é; doo ákwii áhóót'įįd bééhwiinííhjí nááhániihii át'é. 
4:5:016:0	Áádóó náá'iiłniihii éí asdzání yił áháníjį' Bóhólníihii yich'į' yił nidoo'ash, 
4:5:017:0	áko náá'iiłniihii éí hashtł'ish łeets'aa' bee tó diyinígíí néididookááł índa níbaal bii' hodílzinii bii' ni'dóó łeezhígíí néididoojihgo tó yiih yidoojih, 
4:5:018:0	áádóó náá'iiłniihii éí Bóhólníihii binááł asdzání bił jidoo'ashgo bitsii' bik'i ná'iizhdoo'ał áádóó bee ééhániihgo nááhániihii éí łe'hasinjí nááhániihii át'éego bílák'ezhdookááł, áko náá'iiłniihii éí tó hodiiłch'ihii bee hóyée'jį' á ha'iidziihígíí dah yookáał doo. 
4:5:019:0	Áko náá'iiłniihii éí asdzání ádee hayiyííłdzíi'go íididooniił, Diné doo ła' nił neezhtéézhgóó, índa nahastiin doo bits'ą́ą́' dah diniyáágóó t'ah bóhwííníłníihgo áádóó t'áadoo ádíínílchxǫ'góogo, díí tó hodiiłch'ihii bee hóyée'jį' á ha'iidziihígíí doo nidídóołniił da. 
4:5:020:0	Nidi nahastiin bits'ą́ą́' dah diniyáá ládą́ą́' áádóó ádíínílchxǫ' ládą́ą́' diné náánáła' nił neezhtéezhgo ákónít'į́įgo, 
4:5:021:0	áko náá'iiłniihii éí asdzání ádee hayididoołdzihgo íididooniił, Bóhólníihii éí ni'dódziihgo áádóó nidine'é bitahgi ni'dit'į́įgo ándoolííł, Bóhólníihii éí nitsoosk'id yididoołdził índa nibid yidínóołchał. 
4:5:022:0	Díí tó bee hóyée' jį' ná ha'iidziihígíí niih hóóle'go nibid yidínóołchał índa nitsoosk'id yididoołdził. Áko asdzání ádidooniił, T'áá ákót'ée doo, t'áá ákót'ée doo. 
4:5:023:0	Áádóó náá'iiłniihii éí díí hóyée'jį' á ha'iidziihígíí naaltsoos yisdisii yikáá' íidoolííł áádóó tó hodiiłch'ihii yee k'éé'iidoołchxǫǫł, 
4:5:024:0	índa náá'iiłniihii éí tó hodiiłch'ihii bee hóyée'jį' á ha'iidziihígíí asdzání yidiyoołdlį́į́ł, áko tó bee hóyée'jį' á ha'iidziihígíí ayííłna'go éí tóhígíí dích'íí' dooleeł. 
4:5:025:0	Áko náá'iiłniihii éí łe'hasinjí nááhániihii át'éego asdzání yílák'ee haidookáałgo Bóhólníihii binááł nááhániihii át'éego bikáá' náá'iiniihí yich'į' náásee yił didoolnih. 
