4:30:001:1	Asdzání ádee hadahadziihgo bá bee haz'áanii
4:30:001:0	Áko Mózes éí Ízrel dine'é yiląąjį' naazíinii yich'į' haadzíi'go ání, Díí kót'éego Bóhólníihii nihich'į' haadzíí': 
4:30:002:0	Diné ła' Bóhólníihii yich'į' ádee hadoodzíi'go, doodaii' yee nihoní'áanii yee ádee hadoodzíi'go bii' sizíinii yá nihodiní'ą́ągo, yá nihodiní'ánígíí bizaad doo ałtah ánáyoodlíił da; yee haadzí'ígíí t'áá át'é bik'ehgo ye'eł'į́į doo. 
4:30:003:0	Náá'áłdó' asdzání ła' éí Bóhólníihii yich'į' ádee hadoodzíi'go, doodaii' ániid naaghá yę́ędą́ą́' bizhé'é t'ah yił bighango t'áá bí ádá nihodiní'ą́ągo 
4:30:004:0	yee ádee hadoodzí'ígíí áádóó yee ádá nihodiní'ánígíí bizhé'é yiyíínii'go t'óó déesxéelgo éí yee ádee hadoodzí'ígíí t'áá át'é áádóó yee ádá nihodiní'ánígíí t'áá át'é bi'dzósin doo. 
4:30:005:0	Nidi hazhé'é haa hodiizts'ą́ą́' bijį́į́ góne' ádee hadzoodzí'ígíí, doodaii' ádá nihozhdiní'ánígíí doo há yinízingóó, éí doo bizhdoolíił da, áko Bóhólníihii há nahjį' ninéididoo'ááł, háálá hazhé'é doo há yinízin da. 
4:30:006:0	Áko hahastiin hólǫ́ǫgo ádee hadzoodzíi'go, doodaii' t'áá hó hazaad bee ádá nihozhdiní'ą́ągo 
4:30:007:0	nít'éé' hahastiin haa hodiizts'ą́ą́' bijį́į́ góne' t'óó déesxéelgo éí bee ádee hazdoodzí'ígíí áádóó bee ádá nihozhdiní'ánígíí bi'dzósin doo. 
4:30:008:0	Nidi hahastiin haa hodiizts'ą́ą́' bijį́į́ góne' doo há yinízingóó éí bee ádee hazdoodzí'ígíí índa t'áá hó hazaad bee ádá nihozhdiní'ánígíí doo ílį́į́góó íidoolííł, áádóó Bóhólníihii éí há yóó'anéididoo'ááł. 
4:30:009:0	Nidi asdzání bąąh áhásdįįdii ádee haadzí'ígíí t'áá át'é, doodaii' asdzání bahastiin yóó'abidíí'áanii ádee hadoodzí'ígíí t'áá át'é bii' sizíinii ádá nihodiní'ą́ągo yi'ósin doo. 
4:30:010:0	Asdzání hahastiin bighangi ádee hazdoodzíi'go, doodaii' hwii' sizíinii ádá nihodiní'ą́ągo 
4:30:011:0	hahastiin haa hodiizts'ą́ą'go t'óó hach'į' déesxéelgo áádóó doo nidi dooda hałníígóó éí bee ádee hazdoodzí'ígíí t'áá át'é, doodaii' bee ádá nihozhdiní'ánígíí t'áá át'é bi'dzósin doo. 
4:30:012:0	Nidi hahastiin haa hodiizts'ą́ą́' bijį́į́ góne' t'áá hó hazaad bee ádee hazdoodzí'ígíí, doodaii' hwii' sizíinii ádá nihodiní'ánígíí doo ílį́į́góó áyiilaago doo bi'dzósin da doo; 
4:30:013:0	t'áá bee ádee hazdoodzí'ígíí, doodaii' t'áá bee ádá nihozhdiní'ánígíí hwii' sizíinii a'ohgo í'dólzin ájiił'įįhgo hahastiin éí há bohoníłdzilgo íidoolííł, doodaii' doo ílį́į́góó íidoolííł. 
4:30:014:0	Nidi hahastiin doo áháłnínígóó i'ii'aahgo éí bee ádee hazdoodzí'ígíí, doodaii' éí bee ádá nihozhdiní'áanii t'áá át'é há chánahgo íidoolííł, háálá t'áá éí bijį́ haa hodiizts'ą́ą́' yę́ędą́ą́' t'áadoo áhodííniidí da. 
4:30:015:0	Ákondi haa hodiizts'ą́ą́'dóó bik'ijį' índa doo ílį́į́góó áyiilaago éí t'áá bí asdzání doo ákwii áát'įįdii yá ninádootłish. 
4:30:016:0	Díí éí yee nihwiiz'áanii Bóhólníihii éí Mózes yich'į' yee haadzíi'ii át'é; diné áádóó be'asdzą́ą́ bita'gi índa azhé'é bitsi' ániid naagháii t'ah yił bighango bita'gi bá yee nihwiiz'áanii át'é.
