42:8:001:1	Sáanii éí Jesus yíká anájah
42:8:001:0	Áádóó t'áadoo hózhǫ́ hodíína'í Diyin God bee bóhólníihgo bił haz'áanii baa hane' yá'át'éehii baa nahojilne'go kin hadaas'áágóó índa kin dah naazhjaa'góó Jesus tázhdííyá . Naakits'áadahígíí hoł tádookai ,
42:8:002:0	áádóó sáanii ła' éí níłch'i bi'iiníziinii biyi' dahólǫ́ǫ́ nít'éé' yę́ę áádóó bąąh dah nahaz'ą́ągo hadaałt'é áńdabi'diilyaaígíí : Mary , Mágdaliin yolyéhígíí , biyi'dę́ę́' níłch'i bi'iiníziinii tsosts'idgo háájé'ígíí ,
42:8:002:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii
42:8:003:0	áádóó Joána éí Kúza , Hérad bikin yaa áhályáanii be'asdzą́ą́ , áádóó Suzána , índa sáanii náádaała' éí binaalye'é yee háká anájahígíí ałdó' hoł tádookai .
42:8:004:0	Nít'éé' diné t'óó ahayóí kin hadaas'á t'áá ałtsodę́ę́' ch'íheeskaigo haa áłah silį́į'go hane' bee ak'idi'dootį́įłii bee hadzoodzíí' :
42:8:005:0	K'éé'dídléehii léi' álástsii' k'iididoolééłgóó ch'íníyá , áko álástsii' ła' nihiyiiłkaad , nít'éé' ła' atiinjį' ahineezdee'go bik'i na'asdee' , áko tsídii nidahaast'a'go ałtso yaa nahodeeskai .
42:8:006:0	Áádóó náánáła' tsétahjį' ahineezdee' , áko hadaneesą́ą nidi t'óó daniiłna' , háálá doo bá hoditłée' da .
42:8:007:0	Áádóó náánáła' ch'il dadeeníinii bitahgóó ahineezdee' , áko ch'il dadeeníinii bilááh daneesą́ągo ałtso bííghą́ą́' .
42:8:003:1	Hane' bee ak'idi'dootį́įłii biniyé át'éii
42:8:008:0	Náánáła' éí łeezh yá'át'éehjį' ahineezdee'go dadínéesą́ , áko bineest'ą' dahazlį́į'go neeznádiindi bilááh nídaasdlį́į́' . Kót'éego baa nídzíst'įįdgo yéego hadzoodzíi'go ájíní , T'áá hajaa' hólǫ́ǫgo azdiits'a'ígíí háni' ajíists'ą́ą́' .
42:8:009:0	Áádóó hódahooł'aahii nidahódééłkidgo , Díí hane' bee ak'idi'dootį́įłiishą' ha'át'íí yeinít'į́ ? dahodííniidgo ,
42:8:004:1	K'éé'dídléehii binahjį' hane' bee ak'idi'dootį́įłii ááhyiłníinii
42:8:010:0	ábijiní , Nihí nihich'į'go , Diyin God bee bóhólníihgo bił haz'áanii bee na'nitinii doo bééhózin da yę́ę éí nihił béédahózin dooleełgo nihaa deet'ą́ , nidi náádaała'ígíí bich'į' éí hane' bee ak'idi'dootį́įłii bee na'nitinii át'é , áko dazhníł'į́į nidi doo deizdoołtséeł da , dazdiits'a' nidi doo bik'i'dazhdi'dootį́įł da .
42:8:011:0	Hane' bee ak'idi'dootį́įłii éí díí yeinít'į́ : Álástsii' éí Diyin God bizaad át'é .
