42:19:001:1	Jesus áádóó Zakíyas
42:19:001:0	Jérikodi Jesus níyáago kintahgóó hadiiyá .
42:19:002:0	Nít'éé' diné ła' Zakíyas joolyéé léi' , éí aląąjį' tax nahalyéhígíí yiniyé sidáii jílį́ , áádóó ajit'į́į́ lá .
42:19:003:0	Diné chilí jílį́įgo Jesus éí diné bił nooyéłígíí biniinaa Jesus yideestsééł ch'ééh jinízin .
42:19:004:0	Áko alą́ąjį' dashdiilwodgo , tsin síkamor sikaadii bąąh hadzis'na' , háálá Jesus ákǫ́ǫ́ ch'ídoogááł .
42:19:005:0	Áko Jesus ákwii yigáałgo dego honééł'į́į'go áhodííniid , Zakíyas , tsxį́įłgo hadaninááh , háálá díí jį́ nighandi sédáa dooleeł .
42:19:006:0	Áko tsxį́įłgo hadajííyá , áádóó baazhníyáago bąą hoł hóózhǫǫd .
42:19:007:0	Diné t'áá ałtso éidíígíí dayiiłtsą́ągo doo bił adaaníígóó Jesus yaa nídaast'įįdgo ádadííniid , Diné bąąhági ááníiłii ba'ałk'ee hwiidoołkáałgo bił yah ajííyá .
42:19:008:0	Nít'éé' Zakíyas yiizį'go Bóhólníihii áyidííniid , Jó'akon , Bóhólníihii , shinaalye'é ałníí'dóó badahojoobá'íígíí bitaa deeshnih , áádóó diné ła' t'áá ádzaagóó t'áadoo le'é bee bida'délo'ii , éí dį́įdi ahą́ą́h nániiláago baa náhideesh'nił .
42:19:009:0	Nít'éé' Jesus áhodííniid , Díí jį́ bee yisdá'iildéehii díí hooghanígi hazlį́į́' , jó , éí ałdó' Éíbraham bits'ą́ą́dóó oochíiłii ła' jílį́ .
42:19:002:1	Béeso máína yolyéhígíí neeznáá binahjį' hane' bee ak'idi'dootį́įłii
42:19:010:0	Háálá Diné Silį́į'ii éí yóó'adahaaskaígíí haidínóotaałgo áádóó yisdánéidiyoo'niłgo yiniyé níyá .
