42:24:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
42:24:001:0	Nidi damį́įgo aleeh góne' naaniiníłką́ągo , łikání halchinii spáis wolyéii hasht'edajiilaa yę́ę dajíjáahgo tséní'ootséeldi náájíkai , [ áádóó ła'ígíí ałdó'] .
42:24:002:0	Nít'éé' tséní'ootséelgi tsé dáádeelmázígíí nahjį' eelmááz lá ,
42:24:003:0	nidi yah ajookaigo Bóhólníihii Jesus bits'íís ch'ééh hádazhdéé'į́į́' .
42:24:004:0	Díí t'ahdii ch'ééh baa nitsídadzikeesgo , jó'akon , diné nidilt'éego bi'éé' t'áá íiyisí bits'ádi'nílíidgo hwíighahgi yiizį' ,
42:24:005:0	áko bik'ee t'óó hoł dahóóyée'go ni'jį' yaa ádadziidzaa , nít'éé' diné áhodííniid , Ha'át'íishą' biniyé daneeznáanii bitahgi hináanii hádasídóo'į́į́' ?
42:24:006:0	Jesus doo kwe'é da , nidi daaztsą́ą́dę́ę́' náádiidzá . Gáliliidi t'ah naagháhą́ądą́ą́' yee nihił hoolne'ígíí béédaałniih ,
42:24:007:0	shą́ą́' , Diné Silį́į'ii diné bąąhági ádaaníiłii bílák'eejį' ninádidoot'áałgo tsin ałnáoszid bikáa'jį' bił i'doolkał , áádóó tágí jį́ aleeh góne' náádidoodááł , níi ni' .
42:24:008:0	Ákohgo índa bizaad béédajoolnii' ,
42:24:009:0	áádóó tséní'ootsééldóó t'ą́ą́' níjíkaigo ła'ts'áadah yilt'éhígíí áádóó ła'ígíí t'áá ałtso bee bił dahojoolne' .
42:24:010:0	Jó , Mary Mágdaliin áádóó Joána áádóó Mary , James bimá , índa sáanii náádaała' , díí áhoodzaaígíí daal'aadii bee bił dahojoolne' ,
42:24:011:0	nidi díí hane'ígíí t'óó áhá'níigo yąąh tsídadeezkééz , áko doo dayoosdląąd da .
42:24:002:1	Eméíyasgóó íldee'
42:24:012:0	[ Nidi Peter nízhdii'na'go tséní'ootséélgóó jílwod , áko yaa ádziidzaago ákóne' jidéé'į́į́' , nít'éé' na'at'ą́hí łigaii dits'idígíí t'áá bízhání sinilgo jiiłtsą́ , áko áhóót'įįdígíí bik'ee t'óó hoł ahayóigo haghangóó dah nízdiidzá . ]
42:24:013:0	T'áá éí bijį́ nizhdilt'éego Eméíyas hoolyéego kin sinilígóó joo'ash , éí Jerúsalemdóó tsosts'idi daats'í tsin sitą́ ánízah ,
