42:23:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
42:23:001:0	Ákohgo diné áłah silį́'ígíí t'áá át'é nídiijéé' , áádóó Jesus éí Páílat yidááhdę́ę́' nideizlóóz .
42:23:002:0	Áko hak'i dahodii'aahgo yaa nídiikaigo ádaaní , Díí dinéhígíí nihidine'é t'áá ádzaagóó neinitingo yóó'ayii'éésh lá , áádóó Síízar ałdó' t'áadoo nályééh bich'į' nidahohłéhí , nihiłníigo , índa , T'áá bí Aláahgo Naat'áanii Christ nishłį́ , níigo nihił béédahoozin .
42:23:003:0	Áko Páílat , Da' niísh Jew dine'é Aláahgo biNanit'a'í nílį́ ? hałníigo nahódééłkid . Áko ábizhdííniid , Jó , bee háínídzíí' .
42:23:004:0	Áádóó Páílat éí aláahgo nááda'iiłniihii índa diné áłah silį́'ígíí áyidííniid , Díí diné yee ádąąh dah hast'áanii doo ła' bá shił bééhoozin da .
42:23:002:1	Jesus éí Hérad bidááhdę́ę́' niho'deedlóóz
42:23:005:0	Nidi dooda yee naastee'go ádaaní , Jó , Gáliliidóó háát'i'go Judíya t'áá át'éé nít'éé' bii' t'áá kojį' nidi , na'nitingo diné yił hááhoniłcha' .
42:23:006:0	Áko Páílat éí yidiizts'ą́ą'go t'áá daats'í aaníí Gálilii dine'é ła' jílínígíí yína'ídééłkid .
42:23:007:0	Nít'éé' Hérad éí kéyah yii' naat'áanii nilínígíí bii'dę́ę́' nijigháago bił bééhoozingo , Hérad yich'į' ahóół'a' ; íídą́ą́' Hérad t'áá bí Jerúsalemdi naaghá .
42:23:008:0	Áko Hérad éí Jesus yiyiiłtsą́ągo , t'áá íiyisí yąą bił hóózhǫǫd , háálá t'ah ałk'idídą́ą́' hwiideestsééł ch'ééh nízin , háálá haa hodiizts'ą́ą́' , áko álílee k'ehgo bee ééhózinii ła' shinááł ázhdoolííł hó'ní .
42:23:009:0	Áádóó t'áá nízaadgóó nahódééłkid , nidi t'áadoo bich'į' hadzoodzíi' da .
42:23:010:0	Áko aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii t'áá chaałída hak'i dahodii'aahgo naazį́ .
42:23:011:0	Áádóó Hérad índa bisiláo éí doo bił jílį́į́góó há nidahast'i' , índa éé' ayóó ánóolninii yee hadahodiilaago Páílat yich'į' nát'ą́ą́' anáhóół'a' .
42:23:003:1	Jesus hodi'yoolyéełjį' há nihoot'ą́
42:23:012:0	Áko t'áá éí bijį́ Hérad índa Páílat ałk'is silį́į́' , háálá díí bítséedidą́ą́' ałk'ee di'niih nít'éé' .
42:23:013:0	Ákohgo Páílat éí aláahgo nááda'iiłniihii índa naat'áanii danilíinii índa diné ałdó' áłah áyiilaago ,
42:23:014:0	áyidííniid , Diné t'áá ádzaagóó neinitingo yóó'ayii'éésh dadohníigo díí diné bił shaa noohkai , áko nihinááł nabídééłkid . Jó akonee' , díí diné bik'i dahodooh'aahígíí bąąhági át'éii bąąh ádingo shił bééhoozin ;
42:23:015:0	Hérad nidi ch'ééh áát'įįd , háálá t'óó nihich'į' anáhóół'a' . Jó akonee' , biniinaa dazdootsaałígíí bą́ą́h ílį́įgo ájíít'įįdii éí t'áá ádin ;
42:23:016:0	éí bąą t'óó náhodínéestsxisgo hwéédideeshchił .
42:23:017:0	[ Jó , hodílzingo áłah ná'ádleeh néi'aahgo awáalyaaí t'ááłá'ígo hach'į' ch'ééyiiłt'e'go bee haz'ą́ . ]
42:23:018:0	Nidi t'áá ałtso hadadeeshghaazhgo ádaaní , Eii diné sołhé , Barábasgo nihich'į' ch'ééníłt'e' .
42:23:019:0	( Éí dinéhígíí kin haal'áagi hááhoniłcha'go naat'áanii yił da'ahigą́ągo , índa diné neiłtseedgo biniinaa awáalyaa góne' yah eelt'e' . )
42:23:020:0	Éí bąą Páílat éí Jesus béédideeshchił nízingo hach'į' hanáánáádzíí' ,
42:23:021:0	nidi dadilwoshgo ádaaní , Tsin ałnáoszid bikáa'jį' bił o'ołkaałgo sołhé héii , bił o'ołkaałgo sołhé !
42:23:022:0	Páílat táadi hadzidziih góne' ánáábizhdoo'niid , Ha'át'éegoshą' , ha'át'íí doo aaníí shį́įshą' baa nijiyá ? Bee ádąąh dah hodzist'ą́ągo biniinaa dazdootsaałii doo ła' há shił bééhoozin da ; éí bąą t'óó náhodínéestsxisgo hwéédideeshchił nisin .
42:23:023:0	Nidi hoł i'doolkałgo yéego dayókeedgo hodi'yoolyéłígíí yee naastee'go [ aláahgo nááda'iiłniihii ałdó'] ádaanínígíí yee ak'eh dadeesdlį́į́' .
42:23:024:0	Áko Páílat éí diné dayókeedígíí bi'doolnííł biniyé bee lą́ adzisłį́į́' .
42:23:004:1	Tsin ałnáoszid bikáa'jį' Jesus hoł o'oolkaal
42:23:025:0	Naat'áanii yił ahoogą́ą'ii índa diné neiłtseedii awáalyaa góne' yah eelt'e'ígíí nídayókeedgo bich'į' ch'éézhníłt'e' , nidi Jesus éí t'áá bí danízinígi ádeidoolííł biniyé diné baazhníłtį́ .
42:23:026:0	Áádóó dah dahodiilóóz , nít'éé' Sairíinii hoolyéédę́ę́' diné léi' , Sáíman joolyéego , éí dáda'ak'ehdę́ę́' joogáałgo dahasił , áko hawostisgi tsin ałnáoszid dah deiztą́ągo , Jesus bikéé' nihizhnítą́ .
42:23:027:0	Nít'éé' diné t'óó ahayóí áádóó asdzání éí Jesus yaa ák'idadiit'aahgo daachago Jesus yikéé' nánízą́ .
42:23:028:0	Nidi Jesus hach'į' názyizgo áháłní , Jerúsalem bich'é'éké danohłíinii , t'áadoo shaa daahchaí , nidi t'áá nihí índa niha'áłchíní baa daahcha .
42:23:029:0	Háálá jó'akon , diné kódazhdidooniiłígíí t'áá áhánídę́ę́' bich'į' yoołkááł , Doo da'ałchíhígíí índa doo daaltsánígíí , índa doo dabi'doolt'ódígíí éí dabízhánee' !
42:23:030:0	Áadi índída dził kódeiłníi dooleeł , Nihik'i daołdaas , áádóó dah daask'idígíí , Nídanihidoł'įįh , daaníigo yaa nídidookah .
42:23:031:0	Háálá tsin ditłée'go kódaat'į́įgo , ákoshą' tsin sigango haa daat'į́į doo ?
42:23:032:0	Ádąąh dah hast'ánígíí nidilt'éego ałdó' nidootsiłjį' hoł bi'deet'eezh .
42:23:033:0	Áádóó Tsiits'in hoolyéego haz'ánígi íldee'go , ákwii tsin ałnáoszid bikáa'jį' hoł ada'askaal , ádąąh dah hast'ánígíí ałdó' , ła' honish'náájígo dah hidiilt'e' , ła' éí honishtł'ajígo dah hidiilt'e' .
42:23:034:0	Áko Jesus ádííniid , ShiTaa' , díí yaa naakaígíí t'áadoo bik'ijį' síníł'ání , háálá doo bił béédahózingóó ádaat'į́ . Áádóó ha'éé' ałtaadeis'nii' biniyé yáá'iilt'e' yaa naaskai .
42:23:035:0	Áádóó diné dadéez'į́į'go naazį́ , áádóó naat'áanii éí há nidahałt'i'go ádaaní , Ła' éí yisdádziiznil ; Diyin God biChrist éí Diyin God néidiiłtíinii jílį́į́ ládą́ą́' , háni'dii t'áá hó yisdá'ázhdílteeh !
42:23:036:0	Siláo ałdó' há nidahałt'i'go hayaajį' niikaigo ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí haa deiziidgo
42:23:037:0	ádaaní , T'áá aaníí Jew dine'é Aláahgo biNanit'a'í nílį́įgo , t'áá ni yisdá'ádílteeh !
42:23:038:0	Kót'éego ałdó' [ Gríik áádóó Látin índa Hííbrew k'ehjí bee ak'e'alchíhígíí] bee ak'e'ashchį́įgo hak'igi dah yistą́ , Díidí Jew dine'é Aláahgo biNanit'a'í nilį́ .
42:23:039:0	Nít'éé' ádąąh dah hast'ánígíí hoł bił o'oolkaalígíí ła' hwéédzíi'go ání , Christ nílį́į́ ládą́ą́' yisdá'ádílteeh , nihí ałdó' yisdánihínííł !
42:23:040:0	Nidi ła'ígíí bich'ahashkéego ábíłní , Da' Diyin Godísh doo bééníldzid da ? Jó , ni ałdó' t'áá hógi át'éego dadíítsaałgo ná nihoot'ą́ .
