42:3:001:1	John Tó Yee Asį́įhii nahalne'
42:3:001:0	Áko Taibííriyas Síízar ts'ídá aláahgo naat'áanii nilį́įgo ashdla'áadah náhááh góne' , áádóó Pántiyas Páílat éí Judíya yinanit'a'í nilį́įgo , Hérad éí Gáliliidi naat'áaniishchíín nilį́įgo , Hérad yił háá'ázhígíí , Philip , éí Ituríya índa Trakonáítis kéyahdi naat'áaniishchíín nilį́įgo , índa Laiséíniyas éí Ábiliindi naat'áaniishchíín nilį́įgo ,
42:3:002:0	Ánas índa Kéíyafas aláahgo náá'iiłniihii nilį́įgo , íídą́ą́' Zekaráíyah biye' John , honoojíidi Diyin God bich'į' haadzíí' ,
42:3:003:0	áko John éí Jórdan tooh binaagóó kéyah t'áá át'é yii' nahalne'go tádíghááh . Łahgo át'éego Diyin God bich'į' tsínádahodiikeesgo habąąhági át'éii há yóó'iididoo'áałgo tó bee ho'didoolzįhjí yee na'neeztą́ą́' ,
42:3:004:0	Aizéíyah éí Diyin God yá halne'ii bizaad naaltsoos t'áá yee yik'e'ashchínígi át'éego : Honoojíidi ła' jidilwoshgo hwiinéé' diits'a'go hojilne' : Bóhólníihii bá honít'i'ii hasht'edahohłééh , be'atiin k'éhézdongo ádaahłééh .
42:3:005:0	Deíldzisgóó t'áá ałtso háádahodidoobį́į́ł , áádóó daadził índa dah daask'idgi t'áá ałtso wóyahgo ádadoolnííł , áádóó nidahoneeshtł'iizhígíí k'éhézdon ádadoolnííł , áádóó hodiwolgo dahonít'i'góó dahodilkǫǫh ádadoolnííł .
42:3:006:0	Índa nihokáá' dine'é t'áá ałtso Diyin God bibee yisdá'iildéehii bił ííshją́ą́ dadooleeł .
42:3:007:0	Éí bąą t'óó ahojíyóí tó bee dahodi'doolzįh biniyé baa dziiskaígíí áhodííniid , Tł'iish ba'áłchíní danohłíinii ! Háishą' Diyin God t'óó báhádzidgo bibee até'él'íinii bits'ą́ąjį' dah dadínóohchééh nihidííniid ?
42:3:008:0	Éí bąą łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo beełt'éego nihits'ą́ą́dóó aneest'ą' dahóle' , áádóó t'óó ádaa dadzíínóhdlíigo t'áá nihiyi'ídi , Éíbraham yę́ę éí nihizhé'é nilį́ , t'áadoo dadohníní , háálá ánihidishní , Diyin God díí tsé kǫ́ǫ́ naaznilígíí bee Éíbraham ba'áłchíní íidoolíiłgo yíneel'ą́ .
42:3:009:0	K'ad nidi tsin bihétł'óól biniyé tsénił si'ą́ , áko tsin t'áá ałtso bineest'ą' doo yá'át'ééhgóó bąąh nídahadleehígíí k'ídahalne'go kǫ' biyi' góne' adahaltł'iid .
42:3:010:0	Áko áłah silį́'ígíí nidahódíłkidgo ádaaní , Ákoshą' haa dadii'nííł ?
