42:17:001:1	Bąąhági áhát'į́ biniinaa nihwiileehii
42:17:001:0	Áádóó hódahooł'aahii ábizhdííniid , Bąąhági áhodooníiłgo bee na'íhontaah ts'ídá t'áádóo nídí áánííł , nidi haniinaa áhooníiłii , éí doo hojooba' ájíníi da !
42:17:002:0	Díí áłchínígi át'éego a'ohgo ádaa nitsídaakeesgo dashoodlánígíí ła'da bąąhági át'į́ ájiilaago , tsé daashjéé' hazéédéet'ą́ągo , tónteel biih hodi'yoolghango há yá'át'éeh doo nít'éé' .
42:17:003:0	Ádaa ádahołyą́ ; nik'is nich'į' bąąhági ádzaago didííteh , áko yąąh bíni'go yaa tsídeezkéezgo , bá yóó'adidíí'ááł ,
42:17:002:1	Nihe'oodlą' bee aa dadzííníidlíhígíí bilááh ánílééh
42:17:004:0	áádóó t'áá ła'a jį́ tsosts'idi nich'į' bąąhági ánádzaago , nít'éé' , Bąąh shíni'go baa nitséskees , nidííniidgo tsosts'idi nich'į' ninádzáago bá yóó'anáhididíí'ááł .
42:17:005:0	Áko daal'aadii éí Bóhólníihii ádeidííniid , Nihe'oodlą' bee aa dadzííníidlíhígíí bilááh ánílééh !
42:17:003:1	Naal'a'í binaanish
42:17:006:0	Áádóó Bóhólníihii ázhdííniid , Nihe'oodlą' bee aa dzódlí ch'il mástad yolyéhígíí bílástsii'gi áníshéhí nidi , díí tsin síkamin sikaadii ábididoohniił , Hani'dólts'ǫǫdgo tónteel bii'di k'ini'dólyééł , áko t'áá ákǫ́ǫ́ nihik'ehgóó ádoonííł .
42:17:007:0	Da' nihíísh nihitahdóó ła' nihá naal'a'í hólǫ́ǫgo , áko éí nihwiiłdlaadę́ę́' , doodaii' na'niłkaadę́ę́' nádzáago ábididoohniił , Hágoshį́į́ nídaahgo ííyą́ ?
42:17:008:0	Dooda lą́ą . Kót'éego bich'į' hadoohdzih , Ni'éé' bee áká nílzisgo adeeshį́į́ł áádóó adeeshdlį́į́ł biniyé ch'iyáán shá áníléehgo shiyaa ni'níkaah , áádóó índa ni adííyį́į́ł áádóó adíídlį́į́ł ?
42:17:009:0	Da' há naal'a'ísh ábizhdííniidígi ádzaaígíí biniyé ahéhee' bijiníi doo ? Dooda !
42:17:004:1	Diné neeznált'éego łóód ats'íís yiyáanii naałdzidii bee bąąh dah nahaz'áanii hadaałt'é áńdabi'diilyaa
42:17:010:0	T'áá ákót'éego nihí ałdó' bich'į' danihi'dool'aadígíí ádaahłaago ádadidoohniił , Á naal'a'í doo ílíinii daniidlį́ ; t'áá bich'į' danihi'dool'aadígíí t'éí ádeiilyaa .
42:17:011:0	Jerúsalemgóó joogáałgo Samériya índa Gálilii kéyah bita'góó ch'ízhníyá .
42:17:012:0	Nít'éé' kin sinil léi'gi jiníyáago , diné neeznált'éego łóód ats'íís yiyáanii naałdzidii bee bąąh dah nahaz'ą́ą́ léi' hadááh yíkaigo , t'áá nízaadę́ę́' naazį́ ,
42:17:013:0	áko hadadeeshghaazhgo ádahodííniid , Jesus , Bóhólníihii nílíinii , nihaa jiiníbaah .
42:17:014:0	Áko jiiłtsą́ągo ábizhdííniid , Nihílááh , nááda'iiłniihii danihinóoł'į́į́' . Nít'éé' t'áá ákǫ́ǫ́ yikahgo , hadaałt'é nídaasdlį́į́' .
42:17:015:0	Nít'éé' ła' hadaałt'é násdlį́į'go bił bééhoozin , áko yéego Diyin God yaa haniihgo t'ą́ą́' nádzá ,
42:17:016:0	áko Jesus yich'į' nitsidinígo'go yich'į' ahééh niizį́į́' . Éí Samériya dine'é jílį́įgo ájít'į́ .
42:17:017:0	Áko Jesus haadzíi'go ádííniid , Da' doósh neeznált'éego hadaałt'é nídaasdlį́į' da ? Náhást'éí yilt'éhígíí éí háájí ?
42:17:018:0	Da' Diyin God yich'į' ahééh dadínóozįįł biniyé t'áadoo t'ą́ą́' nákai da , t'áá hazhó'ó díí łahdę́ę́' dine'é nilíiniísh t'éiyá ?
42:17:005:1	Diyin God bee bóhólníihgo bił haz'áanii bił hoolzhishii
42:17:019:0	Áádóó áhozhdííniid , Nídiidáahgo nílááh yínááł ; ne'oodlą' bee doo ánít'éhí da násínídlį́į́' .
