42:18:001:1	Asdzání bąąh áhásdįįdii índa ánihwii'aahii
42:18:001:0	Áádóó diné t'áá áłahjį' sodadilzin dooleełgo , áádóó doo bąąh nidahwiikaad da doo biniyé , hane' bee ak'idi'dootį́įłii bee bił hojoolne'go
42:18:002:0	ázhdííniid , Kin haal'áagi , ánihwii'aahii léi' Diyin God doo yidísinii índa diné doo bił nilíinii nilį́įgo kééhat'į́į́ lá ,
42:18:003:0	áádóó éí kin haal'áhígi ałdó' asdzání léi' bąąh áhásdįįdgo kééhat'į́į́ lá , áko éí ánihwii'aahii yaa nádáahgo ání , Shik'i hodii'aahii shá baa nánít'į́ .
42:18:004:0	Nidi doo bá baa níjít'į́į́góó hoolzhish , áádóó bik'ijį' t'áá hayi'ídi íiznízin , Azhą́ Diyin God doo díínísin da nidi , índa diné doo shił nilį́į da nidi ,
42:18:005:0	díí asdzání bąąh áhásdįįdii doo shik'i dóya' át'éhígíí bąą bá baa nídéesht'įįł , áko shaa nádáhígíí doo bąąh nideesháał da .
42:18:006:0	Áádóó Bóhólníihii ádííniid , Ánihwii'aahii doo ákwii át'éhígíí áníinii baa nitsídaahkees .
42:18:007:0	Da' ákoósh Diyin God yitayiizláa'ii jį́įgo áádóó tł'ée'go nídabookąąhii ha'át'íhída doo yá yaa nídóot'įįłgo yíká adoolwoł da ? T'óó daats'í bíni'dii nízingo nízaadgóó ahodoolzhish ?
42:18:002:1	Férisii nilíinii índa tax nahalyéhígíí yiniyé sidáii
42:18:008:0	Nidi ánihidishní , Ts'ídá tsį́įłgo yá yaa nídóot'įįłgo yíká adoolwoł . Ákondi Diné Silį́į'ii níyáago , nahasdzáán bikáa'gi daats'í diné daboodlą́ągo yik'ídoogááł ?
42:18:009:0	Ts'ídá t'áá ákogi ádaniit'é danízingo diné náánáła'ígíí deijoołáii , díí hane' bee ak'idi'dootį́įłii bee bił hojoolne' :
42:18:010:0	Diné nidilt'éego kin bii' sohodizin bił haz'ą́ą́ góne' sodidoolzįįł biniyé yah íí'áázh , ła' éí Férisii nilį́ , náánáła' éí tax nahalyéhígíí yiniyé sidáii nilį́ .
42:18:011:0	Nít'éé' Férisii sizį́įgo kót'éego t'áá bí ádee sodoolzin , Diyin God , nich'į' ahééh nisin , shí doo diné ła' ádaat'éhígi ánísht'ée da , aghada'ii'níiłii , doo t'áá ákogi ádaat'íinii , da'diléii , índa díí tax nahalyéhígíí yiniyé sidáii nidi doo ákónísht'ée da .
42:18:012:0	Tsosts'id néílkáahjį' naakidi hodinisingo doo adą́ néiish'aah , t'áadoo le'é shaa hindéehii t'áá ałtso neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Diyin God baa hidish'aah .
42:18:013:0	Nidi tax nahalyéhígíí yiniyé sidáii nízaadę́ę́' sizį́įgo dego yá'ąąshgóó nidi doo t'áá k'ad déé'į́į́'góó biyid néineests'ingo ání , Diyin God , shí bąąhági ánísht'éhígíí , shaa jiiníbaah !
42:18:003:1	Jesus éí áłchíní yázhí yik'ijisdli'
42:18:014:0	Ánihidishní , Díí diné doo bohodiit'i'góó bighangóó anáádzá , ła'ígíí éí dooda , háálá t'ááłá'í jinítínígo ayóó ájít'é ízh'dólzinígíí éí a'ohgo ájít'éego áhodi'doolnííł , nidi t'áá háiida a'ohgo ádaa nitsídzíkeesígíí éí ayóó át'éii jílį́įgo áhodi'doolnííł .
42:18:015:0	Nít'éé' diné ła' bida'awéé' nidi bidazhdidoolchił biniyé haa dayiizhjaa' , nidi hódahooł'aahii éí dayiiłtsą́ągo deideezteh .
42:18:016:0	Nidi Jesus éí áłchíní hágo yidííniidgo ání , Bíni'dii áłchíní shaa hakááh , t'áadoo shich'į' nidanoh'iní , háálá ákódaat'éhígíí éí Diyin God bee bóhólníihgo bił haz'áanii bíí' ádaat'é .
42:18:004:1	Dinééh at'į́įgo naat'áanii nilíinii
42:18:017:0	T'áá aaníígóó ánihidishní , T'áá háiida doo áłchíní yázhí nahalingo Diyin God bee bóhólníihgo bił haz'áanii ádaazhdeet'ánígíí ts'ídá doo biishdoogáał da .
42:18:018:0	Nít'éé' naat'áanii léi' kóníigo nahódééłkid , Na'nitiní yá'át'éehii nílíinii , haash deeshníiłgo iiná doo ninít'i'ii shee hodooleeł ?
42:18:019:0	Áko Jesus áhodííniid , Ha'át'íishą' biniyé yá'át'éehii shidiní ? T'ááłá'í nidi doo ła' yá'ájít'éhí da , nidi Diyin God t'éiyá yá'át'éehii nilį́ .
42:18:020:0	Bee haz'áanii nił bééhózingo ání : Ts'ídá doo adidííléeł da , Diné ts'ídá doo diyííłhéeł da , Ts'ídá doo adíníí'į́įł da , Ts'ídá doo t'áá ádzaagóó hojilne' da , Nizhé'é índa nimá nił nilį́įgo íínísin .
42:18:021:0	Áko ázhdííniid , Eii t'áá ałtso t'áá áłchíní nishłį́į́dą́ą́' bik'eh honish'į́įgo hoolzhiizh .
42:18:022:0	Áko Jesus hodiizts'ą́ą'go áhodííniid , T'ááłáhígo haz'ą́ t'ahdii bee nich'į' anáhóót'i' . Nee hólónígíí t'áá ałtso naa nahóniihgo bee shóisíníłt'e'ígíí badahojoobá'íígíí bitaa díínih , áko yá'ąąshdi naalye'é ílíinii nee hólǫ́ǫ dooleeł , ákohgo índa dah diináahgo , shikéé' yínááł .
42:18:023:0	Nidi éidíígíí jidiizts'ą́ą'go t'áá íiyisí bąąh háni' , háálá t'áá íiyisí ajit'į́ .
42:18:024:0	Éí diné [ t'áá íiyisí yąąh bíni'go] Jesus honééł'į́į'go ádííniid , Dooládó' da'jit'ínígíí Diyin God bee bóhólníihgo bił haz'áanii biih dazhdookahígi há daniłdzil da !
42:18:025:0	Jó , ghą́ą́'ask'idii tsah bighá'ált'ih góne' ch'ídoogáałgo doo bá bohónéedzą́ą da , nidi diné ajit'íinii Diyin God bee bóhólníihgo bił haz'áanii biishdoogáłígi éí agháago doo há bohónéedzą́ą da .
42:18:026:0	Áko deidiizts'ą́'ígíí ádadííniid , Ákoshą' háí yisdádooltééł ?
42:18:027:0	Nidi Jesus ádííniid , Diné doo ła'yóle' át'éii Diyin God ła'yoolííł .
42:18:028:0	Áko Peter ádííniid , Jó'akon , danihighan bits'ą́ą́' dah dahidiikaigo nikéé' dayíníikááh .
42:18:029:0	Áko áhodííniid , T'áá aaníígóó ánihidishní , Diné t'ááłá'í nítínígo bikin , doodaii' bishchíinii , doodaii' bik'isóó , doodaii' be'asdzą́ą́ , doodaii' ba'áłchíní éí Diyin God bee bóhólníihgo bił haz'áanii biniinaa yits'ą́ą́' dah diiyáii ,
42:18:005:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
42:18:030:0	éí díí k'ad hoolzhishígíí biyi' hwee hólónígíí lą'ídi ahą́ą́h nániiláago haa nídoolyééł , áádóó łahgo náhodeesdzáago iiná doo ninít'i'ii hwee hodooleeł .
42:18:031:0	Nít'éé' naakits'áadahígíí yił t'áá sahdii niikaigo áyidííniid , Jó'akon , Jerúsalem góde deekai , áko Diyin God yá dahalne'ii Diné Silį́į'ii yaa dahalne'go yee ak'eda'ashchínígíí t'áá ałtso bidahodoolnííł .
42:18:032:0	Háálá doo Jew dine'é danilíinii baa hodi'doot'ááł , áko há nidahodoołt'ih , áádóó baa yáhásinígi ádahodoolííł índa hak'ídahididoozhah ;
42:18:033:0	nahóda'doołtsxis índa dahodiyoołhééł , áko tágí jį́ aleeh góne' náázhdidoodááł .
42:18:006:1	Jesus éí adókeedii doo oo'íinii oo'į́ áyiilaa
42:18:034:0	Nidi bee hadzoodzí'ígíí hódahooł'aahii t'áadoo yik'ida'diitą́ą da , háálá bits'ąą nídees'į́į́' , áko ázhdííniidígíí t'áadoo bił béédahoozin da .
42:18:035:0	Áádóó bik'ijį' Jériko k'adę́ę baa jígháahgo , diné léi' doo oo'íinii atiin bąąhgi adókeedgo sidáá lá ,
42:18:036:0	áko diné ayóó át'é nooyéłígíí yidiizts'ą́ą'go na'ídééłkidgo ádííniid , Ha'át'íishą' baa na'aldeeh ?
42:18:037:0	Áko yee yił dahoolne'go ádaaní , Názarethdóó Jesus aadę́ę́' yigááł .
42:18:038:0	Áko hadoolghaazhgo ání , Jesus , David biYe' nílíinii , shaa jiiníbaah !
42:18:039:0	Áko alą́ąjį' yikahígíí , T'áadoo ádíníní , dahałníigo hach'adahashké , nidi t'ah yówehgo hanáázhdoolghaazhgo ájíní , David biYe' nílíinii , shaa jiiníbaah !
42:18:040:0	Áko Jesus t'áá ákǫ́ǫ́ yiizį'go ádííniid , Shaa honohłóós , áko diné doo oo'íinii t'áá áyídídę́ę́' niníyáago áyidííniid ,
42:18:041:0	Ha'át'íishą' shá baa nizhdoogaał shííní'ní ? Áko ábizhdííniid , Bóhólníihii , eesh'į́ ánáshídlééh .
42:18:042:0	Áko Jesus áhodííniid , Ííní'į́ nánídleeh ; ne'oodlą' bee doo ánít'éhí da násínídlį́į́' .
42:18:043:0	T'áá áko ajoo'į́ nídzísdlį́į́' áádóó Diyin God baa hojiniihgo Jesus bikéé' dashdiiyá , áko diné t'áá ałtso dahoołtsą́ągo , Diyin God yaa dahaznih .
