42:13:001:1	Bąąhági át'éii bee ádaa ákohwiindzingo bits'á'iildééhjí , doodaii' í'dooldįįłjí
42:13:001:0	Ts'ídá ákohgo ła' Jesus yił dahoolne'go ádaaní , Gáliliidóó dine'é nááda'jiisnii'go Páílat nahastseedgo náádajiisnii'ígíí hadił bił taozlį́įgo áyiilaa .
42:13:002:0	Áádóó bich'į' hadzoodzíi'go ábizhdííniid , Éí Gáliliidóó dine'é ti'dahooznii'ígíí éí Gáliliigi dine'é t'áá ałtso yiláahdi bąąhági ádaat'į́įgo biniinaa ádzaásh danohsin ?
42:13:003:0	Dooda , nihidishní , nidi nihibąąhági át'éii doo łahgo át'éego Diyin God bich'į' tsíńdadookéezgo yóó'adasidoo'ą́ą́góó nihí ałdó' t'áá ákót'éego ádadoohdįįł .
42:13:004:0	Doodaii' da' tseebííts'áadah yilt'éego Sailóomgi dego nízaadgóó astł'ingo ya'ii'áhígíí bik'iiłdáazgo nabistseedii , da' éísh Jerúsalemgi kéédahat'ínígíí t'áá ałtso yiláahgo bąąhági ádaadzaa danohsin ?
42:13:002:1	Fig sikaadii bineest'ą' bąąh ádinii binahjį' hane' bee ak'idi'dootį́įłii
42:13:005:0	Ánihidishní , Dooda , nidi nihibąąhági ádaat'éii doo łahgo át'éego Diyin God bich'į' tsíńdahidookéezgo yóó'adasidoo'ą́ą́góó nihí ałdó' t'áá ákót'éego ádadoohdįįł .
42:13:006:0	Áko díí hane' bee ak'idi'dootį́įłii bee hadzoodzíí' : Diné ła' bich'il na'atł'o'ii bitahgi fig k'iidíílá , áko bineest'ą' bąąh hólǫ́ǫ daats'í nízingo yąąh háidéé'į́į́' , nít'éé' t'áadoo ła' yik'íníyáa da .
42:13:007:0	Nít'éé' ch'il na'atł'o'ii yaa áhályáanii áyidííniid , Jó'akon , díí k'ad táá' nááhai díí tsin bineest'ą' bąąh hááníshtaah , nidi doo ła' yiistséeh da . K'íníłne' ; ha'át'íishą' biniyé dá'ák'ehgi t'áadoo biniyéhígóó íí'á ?
42:13:008:0	Áádóó yich'į' haadzíi'go ání , Shinanit'a'í , k'ad anáá'niihaígíí biyi' ałdó' t'áadoo baa náhát'íní dooleeł , áko bitsį́į́góó da'alį́į́' bichaan bił hááhodínéeshchał .
42:13:003:1	Háá'áyį́į́h jį́į́ góne' asdzání k'ínábi'disdǫǫd
42:13:009:0	Áádóó bik'ijį' bineest'ą' hazlį́į́' ládą́ą́' , yá'át'éeh dooleeł , nidi doo bineest'ą' haleehgóó índa k'ídííłniił .
42:13:010:0	Łah háá'áyį́į́h jį́į́ góne' kin bii' áłah ná'ádleehgi nazh'nitin nít'éé' .
42:13:011:0	Áko asdzání éí níłch'i bi'iiníziinii hayi'di hólǫ́ǫgo yaa náhootihgo hąąh dahas'ą́ągo tseebííts'áadah nááhai ; éí ts'ídá doo k'ézdongo woozįįh át'ée da lá .
42:13:012:0	Áko Jesus hoołtsą́ągo , hágo hodííniidgo áháłní , Asdzání , doo nidziilígíí bits'ąą néédoochid .
42:13:013:0	Áádóó hak'i diilnii' , t'áá áko k'íńdzísdǫǫdgo Diyin God baa hodziznih .
42:13:014:0	Nidi háá'áyį́į́h jį́ azlį́į́' góne' Jesus éí asdzání náázdiisáhígíí biniinaa áłah ná'ádleehgo á dah náńdaahígíí , doo bił hóózhǫǫdgóó diné áłah silį́'ígíí áyidííniid , Hastą́ą́h jį́ t'éí na'anishgo bee haz'ą́ ; ákóne' nídaahkahgo hadaałt'é áńdanihi'dilne' doo , háá'áyį́į́h jį́į́ góne' éí dooda .
