42:9:001:1	Jesus bídahooł'aahii naakits'áadahígíí dayííł'aad
42:9:001:0	Áko naakits'áadahígíí áłah ájiilaago níłch'i bi'iiníziinii t'áá ałtso ayi'dę́ę́' hadeiniiłkaad doo biniyé , índa bąąh nidahałniihii doo át'éhí da áńdeidle' doo biniyé bee adziilii áádóó bee óhólnííh bitaazdeez'ą́ ,
42:9:002:0	índa Diyin God bee bóhólníihgo bił haz'áanii baa dahojilne' doo biniyé , áádóó hadaałt'é áńdazh'doodlííł ałdó' biniyé adziis'a' .
42:9:003:0	Áko ábizhdííniid , Dasidoohkaigóó ha'át'íhída t'áadoo dayínóhłéhí , gish dooda , azis bee na'aljidí dooda , yist'éí dooda , béeso nidi dooda , éé' naakigo ałdó' dooda .
42:9:004:0	Áko t'áá haa'ída hooghangi yah adahisoohkaigo , dah náádahidoohkaijį' t'áá ákwii nahísóotą́ą doo .
42:9:005:0	T'áá háiida doo danihinízinígíí éí bee hwéédahózin doo biniyé kin haal'áádóó dah náádahidoohkáahgo nihikee' łeezh bąąh nidahinołdéeh doo .
42:9:002:1	Hérad t'óó bił haada
42:9:006:0	Áko dashdiikaigo kin dah naazhjaa'góó ch'íjiikáahgo , t'áá át'éé nít'éé' hane' yá'át'éehii baa dahojoolne' , áádóó t'áá ałtsogóó hadaałt'é áńda'jiidlaa .
42:9:007:0	Hérad , naat'áaniishchíín nilíinii , ádahóót'įįdígíí t'áá ałtso yiyíínii'go bik'ee t'óó bił haada , háálá ła' ádaaní , John yę́ę daaztsą́ą́dę́ę́' náádiidzáá lá ,
42:9:008:0	ła' éí ádaaní , Iiláíjah yę́ę nádzáá lá , áádóó náádaała' éí , Ałk'idą́ą́' Diyin God yá dahalne'ii yę́ę ła' daaztsą́ą́dę́ę́' náádiidzáago át'į́į́ lá , náádadi'ní .
42:9:003:1	Diné ashdladi mííl yilt'éego ba'íltsood
42:9:009:0	Áko Hérad ání , John la' bitsiits'iin kíníłne' ni' , ákodashą' díí háí át'į́įgo kót'éego baa hodiists'a' ? Áko hwiideestsééł hó'ní .
42:9:010:0	Áko daal'aadii nákaigo , ádáát'įįdígíí yee hoł dahoolne' . Áko dashdii'eezhgo Bethséyida hoolyéego kin haal'áhígíí bit'áahjį' t'áá sáhí bił jíkai .
42:9:011:0	Diné t'óó ahayóí éí bił béédahoozingo , hakéé' yíkai , áko baa hoł hózhǫ́ǫgo Diyin God bee bóhólníihgo bił haz'áanii bee bich'į' hadzoodzíí' , áádóó hadaałt'é nídeeshdleeł danízinígíí éí hadaałt'é áńdajiidlaa .
42:9:012:0	Áko doozhǫǫgo yaa adeez'ą́ągo naakits'áadahígíí haa yíkaigo ádahodííniid , Diné yíl'áhígíí nídayínóhkááh bidiní , áko kin naazhjaa'góó índa kéyah binaagóó ahidookah , áadi dabiidoołkááł , áádóó ch'iyáán nideidiyoołnih , jó , díí doo naagháhígi ádeiit'į́ .
42:9:013:0	Nidi ábizhdííniid , T'áá nihí bada'nołtsóód . Nít'éé' ádaaní , Łees'áán t'áá ashdla'í índa łóó' t'áá naakíhí t'éiyá nideijaah ; t'óó daats'í níláhgóó diikahgo díí diné t'áá ałtso bá ch'iyáán nidahidiilnih .
42:9:014:0	Háálá ashdladi mííl daats'í diné ánéelą́ą́' lá . Áko hódahooł'aahii ábizhdííniid , Ashdladiin daníjaa'go dinohbįįh dabidohní .
42:9:015:0	Ákódabizhdííniidgo t'áá ałtso dadineezbin .
42:9:016:0	Áko łees'áán ashdla'ígíí índa łóó' naakiígíí nízhdiinilgo dego yá'ąąshgóó dzidéez'į́į'go sozdoolzin , índa nijiitíihgo hódahooł'aahii bitaa jiniih , éí diné yíl'áhígíí yitaa deidoonih biniyé .
42:9:004:1	Peter éí , Christ Diyin God biYe' nílį́ , yidííniid
42:9:017:0	Áko da'jííyą́ą'go t'áá ádzíłtso hwiih dadzizlį́į́' . Áádóó nidahaasti'go bi'oh da'jííyą́'ígíí náádajiizdláa'go ts'iizis naakits'áadah hadazdeesbin .
42:9:018:0	Łah hódahooł'aahii t'éí bił nijikaigo t'áá sáhí sozdoolzin , nít'éé' ábijiní , Diné ádaaníigoshą' háí ájít'į́ dashiłní ?
42:9:019:0	Áko hoł dahoolne'go ádaaní , John Tó Yee Asį́įhii yę́ę át'į́ , nidi ła' éí , Iiláíjah át'į́ , daaní ; náánáła' éiyá , Ałk'idą́ą́' Diyin God yá dahalne'ii yę́ę ła' daaztsą́ą́dę́ę́' náádiidzáago át'į́ , daaní .
42:9:005:1	Jesus bidi'yoolyéłígíí yaa halne'
42:9:020:0	Áko ábizhdííniid , Nidi nihíshą' éí háí ájít'į́ dashidohní ? Peter áhodííniid , Diyin God biChrist nílį́ .
42:9:021:0	Nidi t'áá íiyisí hazhó'ó bee bich'į' hadzoodzíi'go ábizhdííniid , T'ááká diné ła'da díí bee bił dahoołne' yíila' ,
