42:20:001:1	Jesus háí bee óhólnííh beidiní'ánígíí bínabídéékid
42:20:001:0	Łah kin bii' sohodizin bił haz'ą́ą́ góne' diné nazhnitingo , hane' yá'át'éehii baa hojilne' , nít'éé' aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii índa diné yá aląąjį' naazíinii haa yíkai ,
42:20:002:0	áko ádahałní , Nihił hólne' , ha'át'íí bee óhólnííh shį́įshą' bik'ehgo díidí baa naniná , éí doodaii' háishą' díí bee óhólnííh neidiní'ą́ ?
42:20:003:0	Áko hach'į' t'ą́ą́' hanáádzíi'go áhodííniid , Shí ałdó' łahgo nanihídídéeshkił ; k'ad shił dahołne' ,
42:20:004:0	John lá háádę́ę́' bee óhólníihii bik'ehgo tó yee asį́į́h nít'éé' ? Yá'ąąshdę́ę́' daats'í , éí doodaléi' diné bits'ą́ą́dóó daats'í ?
42:20:005:0	Áko yaa nídaat'į́įgo ádaaní , Yá'ąąshdę́ę́' , dadii'niidgo la' , ádidooniił , Ákoshą' haa yit'éego doo dahwiisoohdląąd da ?
42:20:006:0	Doodaléi' , Diné bits'ą́ą́dóó , dadii'niidgo la' , diné t'áá yíl'áá nít'éé' nihił nidazdiyoołniił , háálá John éí t'áá aaníí Diyin God yá halne'ii nilį́į́ nít'éé' dayó'ní .
42:20:007:0	Áádóó ánáádadoo'niid , Bits'ą́ą́dóóígíí doo nihił béédahózin da .
42:20:002:1	Ch'il na'atł'o'ii áádóó yaa ádahalyáanii binahjį' hane' bee ak'idi'dootį́įłii
42:20:008:0	Áko Jesus áhodííniid , Shí ałdó' bee óhólnííh bik'ehgo díidí baa naasháhígíí doo bee nihił hodeeshnih da .
42:20:009:0	Nít'éé' díí hane' bee ak'idi'dootį́įłii diné bee bił ahozh'niilne'go ájíní : Diné ła' ch'il na'atł'o'ii k'iidíílá , áko yaa ádahalyą́ą dooleełii yeisįįd , áádóó doo hah nídoodááłgóó náánáła' kéyahgóó ííyá .
42:20:010:0	Baa hoolzhiizhgo há naalte' ła' dá'ák'eh yaa ádahalyánígíí bich'į' ajííł'a' , ch'il na'atł'o'ii bineest'ą' ła' baa dazhdooyééł biniyé , nít'éé' aa ádahalyáanii éí naalte' t'óó nídeineesxaalgo ch'il na'atł'o'ii t'áágééd anídeis'a' .
