37:2:001:1	Ayóó ánóolningo kin bii' sohodizin ániidíii
37:2:001:0	Tsosts'id nídízííd binih naadiin ła'góó yoołkáałgo Diyin God yá halne'ii Hágeiyai éí Bóhólníihii áníinii baa hojoolne' ,
37:2:002:0	Shiyáltiyel biye' Zerábabel éí Júdah kéyahgi naat'áanii áádóó Jásedek biye' Jéshuwa alą́ąjį' náá'iiłniihii nilíinii índa diné daadziihígíí kódíníigo bich'į' handziih ,
37:2:003:0	Háishą' nihitahdóó daohdziihígíí átséédą́ą́' díí kin ayóó ánóolningo si'ą́ą́ nít'éé' yę́ę daołtsą́ ? K'adshą' hait'éego daah'į́ ? T'áadoo biniyéhí daásh danohsingo danół'į́ ?
37:2:004:0	Bóhólníihii ání , Zerábabel , nidziilgo í'díínílzin áádóó Jásedek biye' Jéshuwa alą́ąjį' náá'iiłniihii nílíinii , nidziilgo í'díínílzin índa kéyahdóó dine'é danohłíinii t'áá ánółtso , danihidziilgo ída'díínółzingo nidaałnish , ní Bóhólníihii , háálá nihił dahonishłǫ́ , ní t'áá ałtsoní bee Bóhólníihii .
37:2:005:0	Ííjip kéyahdę́ę́' ch'ínoohkai yę́ędą́ą́' t'áá bee nihoní'áanii bik'ehgo shiNíłch'i bee nihitahgóó honishłǫ́ ; t'áadoo nihił daayé'í .
37:2:006:0	Jó , t'áá ałtsoní bee Bóhólníihii kóní , T'óó hodíínáá'ígo yádiłhił áádóó nahasdzáán áádóó tónteel índa ni'da t'ááłáhídi náádeeshhał ,
37:2:007:0	áko ał'ąą dine'é t'áá ałtso bitah dahodiyeeshnááł áádóó ał'ąą dine'é t'áá ałtso deit'íinii yił yah ahodooleeł índa kin biyi' góne' ts'ídá ayóó át'éii bii' hadideeshbį́į́ł , ní t'áá ałtsoní bee Bóhólníihii .
37:2:008:0	Béésh łigaii áádóó óola éí daashí , ní t'áá ałtsoní bee Bóhólníihii .
37:2:002:1	Ízrel dine'é doo bada'ahódlíii bił ííshją́ą́ ádahóle'
37:2:009:0	Ch'óóshdą́ą́dą́ą́' át'éé nít'éé' yę́ę biláahgo át'éego díí kin ayóó át'ée dooleeł , ní t'áá ałtsoní bee Bóhólníihii , áádóó kwe'é hasht'ehodít'éego haz'ą́ągo áhodeeshłííł , ní t'áá ałtsoní bee Bóhólníihii .
37:2:010:0	Daráíyas aláahgo naat'áanii nilį́įgo naaki náhááh góne' náhást'éí nídízííd binih naadiin dį́į́'góó yoołkáałgo Diyin God yá halne'ii Hágeiyai éí Bóhólníihii bizaad baa hojoolne' ,
37:2:011:0	T'áá ałtsoní bee Bóhólníihii kóní , K'ad nááda'iiłniihii díí bee haz'áanii bídadéét'i'gi bíndabídíłkid ,
37:2:012:0	T'áá háiida bi'éé' yee atsį' dílzinii yoo'áałgo éí bááhda , atoo'da , wáinda , ak'ahda , doodaii' ch'iyáán ła'da ha'éé' bíhidéé'náa'go dílzinísh dooleeł ? Áádóó nááda'iiłniihii hadaasdzíi'go ádaaní , Nidaga' .
37:2:013:0	Ákohgo Hágeiyai ání , T'áá háiida éí diné daaztsáanii bizhdeelchidgo chin dzizlį́į'go éí díí daadáanii bizhdeelchidgo da' éísh ałdó' doo dílzin da dooleeł ? Nááda'iiłniihii hadaasdzíi'go ádaaní , Doo dílzin da dooleeł .
37:2:014:0	Áko Hágeiyai haadzíi'go ání , Lą́'ąą , díí diné áádóó díí dine'é shináałgo ákódaat'é , ní Bóhólníihii , índa t'áá ałtso yindaalnishii ałdó' ákódaat'é , áádóó áadi náádayiiłniihígíí éí doo dadílzin da .
