37:1:001:1	Kin bii' sohodizin áńdoolníłígíí bee diné bi'ílnii'
37:1:001:0	Daráíyas aláahgo naat'áanii nilį́įgo naaki náhááh góne' hastą́ą́h nídízííd binih ts'ídá átsé hayííłkání góne' Hágeiyai éí Diyin God yá halne'ii jílį́įgo Bóhólníihii bizaad baa hojilne'go Shiyáltiyel biye' Zerábabel éí Júdah kéyahgi naat'áanii nilíinii índa Jásedek biye' Jéshuwa alą́ąjį' náá'iiłniihii bił hojoolne' .
37:1:002:0	T'áá ałtsoní bee Bóhólníihii ání , Díí diné ádaaní , Bóhólníihii bikin bii' sohodizin áńdadiilníłígíí t'ah doo baa hoolzhíish da ,
37:1:003:0	ákohgo Bóhólníihii yá halne'ii Hágeiyai yinahjį' haadzíi'go ání ,
37:1:004:0	Da' díí kin bii' sohodizin t'óó yíchxǫ'go si'ą́ągo nihí éí kin nizhónígo hasht'edaalyaii bii' kéédahoht'į́įgoósh nihá baa hoolzhiizh ?
37:1:005:0	Éí bąą t'áá ałtsoní bee Bóhólníihii ání , Bee ádanoht'éii hazhó'ó nabik'ítsídaołkees .
37:1:006:0	T'óó ahayóí k'ééda'dohdlééh , nidi ałch'į́į́dígo nída'ohgish ; nída'ohdį́į́h , nidi doo hwiih daohłeeh da ; nída'ohdlį́į́h , nidi doo nihił dahoniidóoh da ; t'áá nihí ééh nídaahkah , nidi doo bee dasoodo da , índa béeso yik'é naalnishii éí béeso bizis bighádahasdzą́ągo yiih yiyiinííł .
37:1:007:0	T'áá ałtsoní bee Bóhólníihii ání , Bee ádanoht'éii hazhó'ó nabik'ítsídaołkees .
37:1:008:0	Dziłghą́ą́'góó dahidohkáahgo áádę́ę́' tsin ła' ninádahidoohjihgo kin bee ádadoohłííł , áko éí baa shił hózhǫ́ǫgo bii' honishłǫ́ǫ doo índa bii' bee ayóó ánísht'éii yit'íní ádoolnííł , ní Bóhólníihii .
37:1:009:0	T'áá áchą́hwíídéeni'go bíká dadíínóh'į́į́' nít'éé' , nidi ałch'į́į́dí yee' nihee dahazlį́į́' ; hooghangi ninádahishoojaa'go t'óó yóó'ábi'íísxol , jó'akon . Ha'át'éegoshą' ? ní t'áá ałtsoní bee Bóhólníihii . Shikin t'óó bee nidasoone'go t'ááłá'í nootínígo t'áá nihí nihighan nahaz'ánígi t'éiyá baa nitsídaohkees , éí biniinaa ásht'į́ .
37:1:010:0	Éí bąą yádiłhiłdę́ę́' dahtoo'ígíí doo nihich'į' kólnéeh da , áko nahasdzáán bikáa'gi doo nida'nt'ą' da .
37:1:011:0	Áádóó kéyahgóó índa daadziłgóó tł'oh naadą́ą́' k'éédadilyééhgóó áádóó wáin ániidíii nídahadleehgóó índa tsin áliv bits'ą́ą́dóó ak'ah nídahadleehgóó ni' bikáá'góó nidant'ą'ii áádóó diné índa naaldlooshii ninádaalnishígóó doo bik'i nahodoołtį́į́łgóó bee haasdzíí' .
37:1:012:0	Ákohgo Shiyáltiyel biye' Zerábabel áádóó Jásedek biye' Jéshuwa alą́ąjį' náá'iiłniihii nilíinii índa diné daadziihígíí t'áá ałtso hoł haBóhólníihii Diyin God áníinii índa Diyin God bííł'aadii Hágeiyai áníinii ałdó' yik'eh dahóół'įįd , áko Bóhólníihii deidíísįįd .
37:1:013:0	Ákohgo Bóhólníihii yá naal'a'í Hágeiyai éí Bóhólníihii ánínígíí bee diné bich'į' yájííłti'go ázhdííniid , Bóhólníihii ání , Nihił dahonishłǫ́ ,
37:1:014:0	áko Júdah kéyahdóó Shiyáltiyel biye' Zerábabel naat'áanii nilíinii éí Bóhólníihii áhoniisį́į́' áádóó Jásedek biye' Jéshuwa alą́ąjį' náá'iiłniihii nilíinii índa diné daadziihígíí éí Bóhólníihii ádabiniisį́į́' , áko nidahaaskaigo biDiyin God éí t'áá ałtsoní bee Bóhólníihii bikin bii' sohodizin yidadeeshnish .
37:1:015:0	Éí Daráíyas aláahgo naat'áanii nilį́įgo naaki náhááh góne' hastą́ą́h nídízííd binih , naadiin dį́į́'góó yoołkáałgo áhóót'įįd .
