44:28:001:1	Nijin Malta Njuu Izhik T'iginchy'aa Dąį'
44:28:001:0	Datthak diigwiinjik kwaa ts'ą' nijin teeghaii teeraajil dąį', zhat dinjii nąįį, “Jii njuu t'ee Malta oozhii t'inchy'aa.” diigahnyąą. 
44:28:002:0	Łyaa gwinzii diits'ą' t'igii'in. Łyaa gwiink'oo ts'ą' ąhtsin gwiizhik, diineenjit gwigwiiłk'in. “Datthak kǫ' haa needooghwaii.” diigahnyąą. 
44:28:003:0	Paul traa teegwįłjik, keeyeheelyaa eenjit. Kiiyinlii, akhai' vats'an gyųų yanli' dha'aa, kǫ' haa nindhaa geh'an. Ąįįts'ą' vanli' ts'an neeyeets'ąįį.  
44:28:004:0	Ąįį njuu kat gwich'in nąįį nijin giiyąąh'in dąį' t'iginyąą, “Jii dinjii łyaa dinjii aghan nilįį. Googaa teenahoonii kwaa, gąą juk t'ee łyaa zhyąą niheedhaa, dinjii aghan nilįį geh'an.” jyaa nihłagaanyąą. 
44:28:005:0	Ąįį gwiizhik danli' haa yankeeheelnaii ts'ą' kit'aanaii. Ąįį gąą vigwiinjik kwaa. 
44:28:006:0	Zhyąą zhat nigiilzhii ts'ą' giiyąąh'in. “Dąhthee vanli' nazhal haadhal, ts'ą' chan neet'eehaadhal ts'ą' niheedhaa li', jii ch'ihłak t'iheenjyaa.” giiyuunyąą. Łyaa ninghyuk nigiiyuul'in, gąą k'eegwiichy'aa t'iinjii kwaa. Jii geh'an ch'ijuk ts'ąįį chan, gininjich'agahthat. “Duulee vit'eegwijyąhchy'aa nilįį t'inchy'aa gwich'in.” jyaa chan nihłagaanyąą. 
44:28:007:0	Jii njuu ts'ą' k'eedeegwaadhat nilįį, Publius oozhii, zhat geeghaih ninghit kwaa vizheh goo'aii. “Izhik gwats'ą' hohjyaa.” diinahnyąą. Ąįį gwik'it t'igwiizhik. Drin tik gąhkhyuk vaagwiriinch'į'. Ąįįts'ą' łyaa gwinzii diits'ą' t'ii'in. 
44:28:008:0	Vizheh ants'ą' geegwiidii ąįį gwizhit viti' iłts'ik ts'ą' ichehk'it gwakat t'inchy'aa. Vavat t'igwin'ee ts'ą' ts'ik nindhaa chan di'įį. Paul vats'ą' giinzhii, yahąąh'yaa eenjit. Ąįįtł'ęę yiki' k'ąą naanjik ts'ą' yeenjit khagideedi'. Ąįį haa veenjit gwinzii neegahoodlit. 
44:28:009:0	Nijin dinjii datthak ąįį gwigwiitth'ak dąį', ąįį njuu kat gwats'an iłts'ik nąįį datthak diits'ą' nigiinlii. Ąįį nąįį datthak shrineegaazhik. 
44:28:002:1	Nijin Malta Njuu Gwats'an Rome Kwaiik'it Gwachoo gwats'ą' Tr'ahaajil Dąį'
44:28:010:0	Ąįįtł'ęę dinjii datthak łyaa k'aiich'ii lęįį diits'an giłtsąįį. Ąįįtł'ęę nijin tr'ihchoo haa neeraheedaa goo'aii dąį', jidii vit'eegwaahchy'aa datthak diits'an giłtsąįį, ąįį tr'ihchoo zhit diineenjit gwizhit datthak gwigwiinlii. 
44:28:011:0	Shreenanh tik (3 months) gąhkhyuk Malta njuu kat t'igwinchy'a'. Ąįįtł'ęę Alexandria kwaiik'it gwachoh gwats'an tr'ihchoo alaa, ąįį zhit tr'iinjil ts'ą' gihłeerahoojil. Ąįį tr'ihchoo khaii datthak zhat dhitin, ąįį haa t'igwii'in. Ąįį tr'ihchoo voozhri' “Vit'eegwijyąhchy'aa neekwąįį nihłigwigwiich'in.” oozhii. 
44:28:012:0	Izhik gwats'an Syracuse kwaiik'it gwachoh k'eeriidal. Izhik drin tik tr'aak'į'. 
44:28:013:0	Izhik gwats'an tr'ihchoo haa neerahoojil, ąįįts'ą' Rhegium kwaiik'it gwachoh k'eeriidal. Gęhdaa drin nijin yeedihjyaa hiłtr'aii dąį', zhat gwats'an neerahoojil. Drin neekwąįį gąhkhyuk tr'iinjil, tł'ęę Puteoli kwaiik'it k'eeriidal. 
