44:6:001:1	Dinjii 7 Nąįį Gwits'iheenjyaa Gwigwiłtsąįį
44:6:001:0	Ąįįtł'ęę juu Jesus k'injigiighit nąįį łyaa giinlęįį gilii. Gąą gootee gwats'an Jews Greek-ky'aa ginkhii nilįį nąįį łyaa ch'ats'ą' t'iginyąą, “Jews-ky'aa ginkhii nąįį łyaa gwinzii t'igii'in kwaa ts'ą' drin gwiteegwagwaanchy'aa tr'injaa vakai' niinjik nąįį larąą ts'an gahtsii dąį', jii tr'injaa vakai' niinjik nąįį, gwintsal ts'an gwagwahtsii gogoonjii.” Jews Greek-ky'aa ginkhii nąįį jyaa ginyąą. 
44:6:002:0	Jii geh'an Tr'ihił'e' 12 nąįį, juu Jesus ik'injigiighit nąįį datthak haa nihłaa łigiiljil, “Dząą diitee larąą khit ik'eeneerahahdak ji'. Jyaa gwizhrįh t'igwii'in ji', Vit'eegwijyąhchy'aa viginjik eegwarahaandak geenjit gwik'it gweheelyaa, ąįį łyaa gwiizųų. 
44:6:003:0	Shalak gwik'injiighit nąįį, nakhwatee gwats'an dinjii 7 goonzhįį juu khit Ch'anky'aa Shroodiinyąą doo'ya' yuunyąą gwik'it t'ii'in, ąįį nąįį ǫhjii. Shih ts'ą' laraa haa ik'eegahaandak geenjit. 
44:6:004:0	Gwiizhik diikhwan ąįį khit khagareheejyaa ts'ą' Vit'eegwijyąhchy'aa viginjik eech'aroohąąhchyaa.” googahnyąą. 
44:6:005:0	Dinjii datthak Tr'ihiłe' deeginyąą gwigwiitth'ak dąį' łyaa geenjit shoo ginlįį. Ąįįtł'ęę Stephen eegwigweełkįį. Vit'eegwijyąhchy'aa khit k'injiighit. Ąįįts'ą' Ch'anky'aa Shroodiinyąą deeyahnyąą khit gwik'it t'ii'in. Ąįį vaa' dinjii 6 nąįį chan eegwigweełkįį. Philip, Prochorus, Nicanor, Timon, Parmenas, Nicolaus oozhii ąįį, (Nicolaus Antioch kwaiik'it gwachoh gwats'an nilįį. Jews gwich'in nilįį kwaa. Gąą Jews nąįį ky'aa gwik'injiighit dhidlit, ąįįtł'ęę Jesus k'injiighit needhidlit.) 
44:6:006:0	Tr'ihił'e' nąįį ts'ą' googahaadlii. Izhik dąį' daganli' haa gook'aa nagaanjik. Ąįįts'ą' gooveenjit khadigigeedi'. 
44:6:002:1	Stephen Goonjik
44:6:007:0	Ąįįts'ą' chan dinjii gwandaa t'ąąnchy'aa nąįį Vit'eegwijyąhchy'aa viginjik k'injiighit gwilii. Jerusalem gwizhit juu gwik'injiighit nąįį gwandaa lęįį gilii. Giinkhih lęįį nąįį gąą chan Jesus k'injigiighit gilii. 
44:6:008:0	Stephen łyaa Vit'eegwijyąhchy'aa vat'aii zhit gwinlęįį t'ee'ya'. Dinjii tee nindal gwaahchy'aa ts'ą' gwigwee'in gwintsii gwitr'it t'agwah'ya'. Vit'eegwijyąhchy'aa yits'inyąą geh'an Vit'eegwijyąhchy'aa vat'aii ts'ą' vich'eegoonzhrii di'įį. 
44:6:009:0	Gaa zhat dąį' slaves nilįį kwaa nąįį eenjit Jews tr'igiinkhii zheh goo'aii, goolat nąįį kwaiik'it Cyrene ts'ą' Alexandria gwats'an giinlii, geedan ts'ą' Cilicia nahkat ts'ą' Asia nahkat haa gwats'an Jews nąįį Stephen haa tr'inehłeegoiidlii ts'ą' ch'ats'ą' t'igiiyahnyąą. 
44:6:010:0	Stephen Ch'anky'aa Shroodiinyąą k'iighai', gwizhįh nitsii di'įį. Ąįį geh'an khų' gaiiyiideegiiyahtsii. 
44:6:011:0	Jii geh'an dinjii yeenjit ooheets'it agogoįįnkwat, “Vit'eegwijyąhchy'aa, ts'ą' Moses haa gwiizųų eeginkhii, tr'iitth'ak!” goots'it haa jyaa giiyahnyąą. 
44:6:012:0	Jyaa dinjii lęįį nąįį, ch'anjaa kįh dilk'ii, ts'ą' Jews goo-law eech'ǫąąhtan nilįį nąįį agahnyąą, jii gwigwiitth'ak dąį' gwint'aii gook'įį goodlit haa Stephen gąhtsit ts'ą' k'eedeegwaadhat nąįį łigiiljil ęhdaa nigiiyąąhchįį.  
44:6:013:0	Ąįįtł'ęę dinjii lat nąįį yeenjit ooheets'it nąįį nihdeegiinlii. “Jii dinjii khit ts'ą' Moses va-law zhit deekhwa'in diinahnyąą ąįįts'ą' Diikharigidiinjii Zheh shroodiinyąą goo'aii geenjit gwiizųų ginkhii. 
44:6:014:0	‘Jii Jesus Nazareth nahkat gwats'an ahaa Diikharigidiinjii Zheh neegwadahąąłthal ts'ą' an gwahałtsyaa nyąą, ts'ą' Moses deediinahnyąą gwinehts'į' neegweheelyaa chan,’ nyąą tr'iitth'ak!” 
44:6:015:0	Zhat k'eedeegwaadhat nąįį datthak Stephen vinin aakin gąą'įį, akhai' zheekat gwich'in vinin k'it t'inchy'aa łee, datthak giiyąąh'in.
