44:2:001:1	Ch'anky'aa Shroodiinyąą Gook'aa Nidiindhat Dąį'
44:2:001:0	Nijin Jews nąįį ch'ara'aa gwagwahtsii dąį', Pentecost Drin goozhii, gavaa ąįį gwizhit nigwiindhat dąį', juu gwik'injiighit nąįį datthak łigeeljil. 
44:2:002:0	Khants'ą' zheekat gwats'an gwihiilk'įį, ahtr'aii choh nint'aii haa ahtr'aii nagwaanąįį. Zheh gwizhit juu dilk'ii nąįį datthak gwigwiitth'ak. 
44:2:003:0	Ąįįtł'ęę kwankyaa k'it t'inchy'aa nigiił'in. Ąįįts'ą' lęįį dhidlit. Ąįį ts'an kwankyaa tsal k'it t'inchy'aa gooteegwagwaanchy'aa ts'ą' gooki' k'ąą t'iizhik.  
44:2:004:0	Ąįįtł'ęę Ch'anky'aa Shroodiinyąą gook'aa t'iizhik gwik'iighai', nihła'adan nankak gwich'in nąįį ginjik ky'aa giginkhii nagaanaii. 
44:2:005:0	Izhik dąį' Jews lęįį nąįį Jerusalem gwizhit gwigwich'įį, Vit'eegwijyąhchy'aa eeroołtin giinlii ts'ą' nihła'adan nahkat datthak gwats'an geedaa. 
44:2:006:0	Nijin deegwiintsai' gwigwiitth'ak dąį', Jews ch'adanh nahkat lęįį nąįį nijin t'igwiizhik, izhik łigeeljil. Izhik dąį' dinjii lęįį nąįį juu gwik'injiighit nąįį googinjik ky'aa giginkhii googiitth'ak. 
44:2:007:0	Łyaa geegaroolii kwaa t'igwiizhik ts'ą' jyaa diginyąą, “Jii dinjii diiginjik ky'aa ginkhii nąįį datthak Galilee gwich'in nąįį ginlii t'iginyąą! 
44:2:008:0	Nats'ahts'ą' nijin diigoodlit gwa'an diiginjik ky'aa diits'ą' giginkhii lee t'iginyąą ginyąą? 
44:2:009-010:0	Parthia, Media, Elam, Mesopotamia, Judea, Cappadocia, Pontus, Asia, Phrygia, Pamphylia, Egypt, Libya nahkat Cyrene geeghaih gwats'an, ąįįts'ą' Rome diilat lęįį nąįį nihła'adan nahkat gwats'an tr'inlii t'oonchy'aa. 
44:2:011:0	Diilat lęįį nąįį Jews nilįį. Ąįįts'ą' diilat nąįį chan Jews gwich'in nilįį kwaa gaa Jews nąįį k'it gwik'injiighit ąįį geenjit dzaa gwats'ą' nirįįnjil. Diilat nąįį Crete njuu goo'aii gwats'an ąįįts'ą' diilat nąįį Arabia nahkat tr'iinlii. Googaa datthak diiginjik ky'aa gwigwee'in Vit'eegwijyąhchy'aa dee'ya' gwinlęįį geegiginkhii. Akhai' diiginjik ky'aa giginkhii gwinzii gooriitth'ak.” datthak jyaa nihłagaanyąą. 
44:2:012:0	Jii deegwii'in t'igwii'in gaagiindaii kwaa. Ąįįts'ą' geegaroolii kwaa t'igwiizhik, “Jidii eenjit t'igwii'in li'?” gwinlęįį jyaa diginyąą ts'ą' nihłagwaakat. 
44:2:002:1	Peter Goots'ą' Ginkhii
44:2:013:0	Gąą goolat nąįį gooveegeedlaa, “Gwintł'oo jak chų' giinįį ts'ą' ch'aganakhwanį'!” t'iginyąą googahnyąą. 
44:2:014:0	Ąįįtł'ęę Peter Tr'ihił'e' 11 nąįį haa nidhikhin dąį' gwint'aii ginkhii haa dinjii lęįį nąįį ts'ą' ginkhii, “Shalak Jews nąįį, ąįįts'ą' Jerusalem gwich'in nąįį haa, jii t'igwiizhik geenjit nakhwats'ą' gihihkhyaa gwinzii shoodǫǫhk'įį. 
44:2:015:0	Ch'iriinįį diinohnyąą gąą ch'iriinįį t'igwii'in kwaa. Dinjii nąįį vanh 9 o'clock gwehkįį ch'igiheenjyaa geenjit tr'ihkhit vanh dąį' gwanlii. 
44:2:016:0	Gaa jii t'igwiizhik gohtth'ak ąįįts'ą' gooh'in geenjit, Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį Joel oozhii, ąįį deenaadąį' ch'adąąntł'oo. 
44:2:017:0	‘Khaiinkǫǫ Drin zhit gweedhaa ji',jii kwaii t'ihishi'yaa Vit'eegwijyąhchy'aa nyąą.Shanky'aa Shroodiinyąą dinjii nąįį datthak k'ąą t'ihihłyaa.Nidinji', ts'ą' nichį' nąįį haasheenjit gigiheehkhyaa giheelyaa. Tsyaa k'eejitnąįį shats'an k'eegwiichy'aagagwahąh'yaa, gineegiinlyaa k'itt'inchy'aa haa. ch'anjaa nąįįgineegiinlyaa zhit goots'ą' gwagwahaałkyaa. 
44:2:018:0	Aahą', shitsyaa sheenjit gwitr'itt'agwah'in nąįį dinjii, akwattr'injaa nąįį haa jii zhit drin ji'Shanky'aa shroodiinyąą gook'aat'ihihłyaa. Geedan t'ee sheenjitgigiheehkhyaa geenjit. 
44:2:019:0	Zheetii gwa'an gwidii'in t'ishi'yaa ts'ą'dzaa nankak chan nindal gwaahchy'aa haagwigwee'in t'ishi'yaa.Izhit zhat nagwaanąįį ji' dah, kǫ',ts'ą' gwintł'oo łat haa gweheelyaa. 
44:2:020:0	Shree haa ch'ahaadrii kwaa.Tǫǫ'oozhrii chan dah k'it daatsik heelyaa.Ąįįtł'ęę t'ee, K'eegwaadhat vijiintsii chohts'ą' vich'eegwąhndit haa nineeheedyaa gwehkįį t'igweheenjyaa. 
44:2:021:0	Zhat nagwaanąįį ji' juu K'eegwaadhat nyąą ts'ą' oozhrii nąįį neegeheezhii t'oonchy'aa.’”Joel ch'adąąntł'oo zhit jyaa nyąą. 
44:2:022:0	Peter tth'aii hee goots'ą' ginkhii, “Israel gwich'in nąįį, shoodǫǫhk'įį. Jesus, Nazareth gwats'an ahaa eenjit nakhwats'ą' giihkhii t'ihnyąą. Vit'eegwijyąhchy'aa yits'iinyą' ts'ą' łyaa niindal gwaa'in gwitr'it t'agwah'in ąįį gwigwee'in k'iighai' t'ii'in, ąįį łyaa nakhwan gaakhwandaii geenjit t'ihnyąą. 
44:2:023:0	Deenaa dąį' gwanaa Vit'eegwijyąhchy'aa deehishi'yaa, yiindhan. Ąįį gwizhit ‘Jesus nakhwantł'eerahahchyaa.’ yiinghya'. Ąįį dinjii tr'agwaanduu tr'agwah'in nąįį nakhwak'iighai' cross kat gigiiyiłtsak. Ąįįts'ą' dǫǫhkhwąįį. 
44:2:024:0	Gąą Vit'eegwijyąhchy'aa k'iighai' neegwiindaii. Niindhat gaa ch'ichį' heelyaa gwits'į' gwats'an tr'ineeyahchįį. Ąįįts'ą' khit ch'ichį' heelyaa veenjit goo'aii kwaa. Łyaa ch'ichį' ndaat'ąąht'aii t'inchy'aa. 
44:2:025:0	Deenaa dąį' jii King David, Jesus eenjit gwadąąntł'oo,‘Khit Shik'eegwaadhat shaanilįį, gaashandaii. Shits'iheenjyaaeenjit shaa nilįį. Jii geh'ank'eegwiichy'aa datthak gaaljat kwaa. 
44:2:026:0	Ąįįts'ą' shoh gwanlii haa gihkhii,dinjii niinjik nąįį k'it nihihthaa.Gaa nijin niidhat ji', Vit'eegwijyąhchy'aachan neegwihįhdaii neeshahahtsyaa. 
44:2:027:0	Shik'eegwaadhat, shanky'aatth'ank'it zhit akhoohiinjyaakwaa, gaashandaii. Shįį,Nitsyaa Shroodiinyąą ihłii ąįįts'ą'tth'ank'it gwizhit shatthąį' an heelyaagwats'ą' t'ahąhkhyaa kwaa gaashandaii. 
44:2:028:0	K'eegwiichy'aa t'eehishi'yaasheenjit goo'aii gwandaii ndaanąą'ąį'kwaa hishi'yaa geenjit, jiigaahashandaii sheenjit gǫǫhtsąįį.Nijin naa t'ihchy'aa ji' łyaa shoohihłyaa naa t'ihchy'aa geenjit.’ 
44:2:029:0	“Shalak nąįį, łyaa gwigweech'in ts'ą' nakhwats'ą' gihihkhyaa, diitsii King David eenjit. Deenaa dąį' niindhat ts'ą' vanarąąhjik. Googaa juk drin tth'aii hee vatth'ank'it diihaa goo'aii. 
