44:18:001:1	Nijin Paul, Corinth Kwaiik'it Gwachoo T'inchy'aa Dąį'
44:18:001:0	Ąįįtł'ęę Paul Athens kwaiik'it gwats'an Corinth kwaiik'it gwachoh gwats'ą' haazhii. 
44:18:002:0	Izhik dinjii Jews nilįį Pontus nahkat gwizhit vagoodlit, Aquila oozhii, k'at deedhizhii. Łyaa ninghit kwaa dąį' gwanaa, da'at Priscilla haa Italy nahkat gwats'an zhat k'eegii'oo, Rome gwizhit k'eedeegwaadhat choh, Claudius oozhii, “Jews nąįį datthak Rome kwaiik'it gwachoh gihłeekhwajyaa!” ahnyąą geh'an. Paul goovahah'yaa geenjit goots'ą' haazhii. 
44:18:003:0	Zhee gwadhah gahtsii haa gwagwandaii gaayiigwagwahtsii. Paul adan t'ee zhee gwadhah ąhtsii nilįį. Ąįį geh'an gavaa gwich'įį ts'ą' khaihłok gwitr'it t'agwagwah'in. 
44:18:004:0	Jews nąįį Neegwaazhii Drin zhit gwiteegwagwaanchy'aa Jews tr'igiinkhii zheh gwits'eehidik. Izhik Jews ąįįts'ą' Israel gwich'in nilįį kwaa nąįį haa tr'igiiyoiidlii gaa nihk'it goots'ą' ginkhii, “Jesus k'injigooghit.” gavoonyąą geh'an. 
44:18:005:0	Nijin Silas, Timothy haa Macedonia nahkat gwats'an k'eegii'oo dąį', drin gwiteegwagwaanchy'aa Paul Vit'eegwijyąhchy'aa viginjik eenjit dinjii nąįį ts'ą' ginkhii, gąąh'in. “Jesus łyaa Christ nilįį t'inchy'aa. Jii dinjii ch'ihłak Vit'eegwijyąhchy'aa yigwiiłkįį t'inchy'aa.” Jews nąįį ahnyąą. 
44:18:006:0	Nijin giits'ą' shoo dhidlit kwaa ts'ą' gwiizųų giiyeeginkhii dąį', dagwach'aa ts'an łųh needhaghat. “Khit gwandaii danaa'ai' kwaa oodhoojik kwaa ji' nakhwan khadeh'an t'ahahchy'aa t'oonchy'aa. Shįį shęh'an t'ahohchy'aa kwaa! Juk gwats'an Jews nilįį kwaa nąįį zhrįh haa t'ihihchy'aa.” Paul gavahnyąą. 
44:18:007:0	Ąįįtł'ęę Jews tr'igiinkhii zheh, izhik goołęęhoozhii, ts'ą' geeghaih ninghit kwaa gwa'an, dinjii Israel gwich'in nilįį kwaa nilįį, Titius Justus oozhii, vizheh gwats'ą' haazhii. Ąįį dinjii Vit'eegwijyąhchy'aa ts'ą' khagidiinjii nilįį. Ąįį haa gwich'įį. 
44:18:008:0	Izhik dinjii, Crispus oozhii, K'eegwaadhat Jesus k'injiighit dhidlit. Izhik Jews nąįį tr'igiinkhii zheh gwizhit gwats'ą' k'eedeegwaadhat nilįį. Vizhehk'aa datthak chan K'eegwaadhat Jesus k'injigiinjik. Corinth kwaiik'it gwachoh gwich'in lęįį nąįį chan Vit'eegwijyąhchy'aa viginjik giitth'ak ts'ą' chan K'eegwaadhat Jesus k'injigiighit gaadlit. Ąįįtł'ęę ąįį nąįį datthak chųų goots'an tr'iłtsąįį. 
44:18:009:0	Ch'ihłan tǫǫ Paul gineiinlyaa k'it t'inchy'aa haa gwąąh'in. Izhit K'eegwaadhat yits'ą' ginkhii, “Łyaa noonjat shrǫ'! Nihk'it shiginjik haa dinjii ts'ą' ginkhii, ąįįts'ą' akhagoiinyą' shrǫ'! 
44:18:010:0	Khit nak'ąąłtii t'oonchy'aa, dinjii ch'ihłak gaa gwiizųų nats'ą' t'ihee'yaa kwaa. Dząą kwaiik'it gwachoh gwizhit dinjii lęįį nąįį shigii nilįį geh'an.” K'eegwaadhat yahnyąą. 
44:18:011:0	Ąįįts'ą' neegwiidhat ch'ihłak ants'ą' teetł'an (1½ years) zhat t'inchy'aa ts'ą' khit Vit'eegwijyąhchy'aa viginjik eech'ǫąąhtan. 
44:18:012:0	Nijin dinjii Gallio oozhii, Achaia (Greece) nahkat gwats'ą' Roman k'eedeegwaadhat kįh dhidii giiyiłtsąįį dąį', Jews lęįį nąįį łigiijil ts'ą' Paul goonjik ts'ą' ch'aroahkat zheh nihdeegiiyąąhchįį. 
44:18:013:0	“Jii dinjii Vit'eegwijyąhchy'aa ts'ą' kharigeheejyaa eenjit dinjii nąįį gǫąąhtan, ąįį dii-law t'inchy'aa, diinahnyąą gwinehts'į', t'ii'in t'inyąą.” Paul agahnyąą. 
44:18:014:0	Paul goots'ą' gahaakhee gwiizhit Gallio ąįį Jews nąįį ts'ą' khaginkhee, “Nakhwan, Jews nąįį ǫhłįį, shoodǫǫhk'įį! Shaa nagooh'ąįį kwaa. Jii dinjii ch'an'įį ts'ą' ąįį gah dinjii diłkhwąįį, ts'ą' gwiizųų t'ii'in ji', izhik t'ee łyaa nakhweenjit oohaałkat goo'aii. 
44:18:015:0	Gaa jii ginjik ts'ą' ch'oozhri' ts'ą' nakhwa-law kwaii eenjit nihzheedǫǫ'ee t'ohnyąą geh'an nakhwan nakhwakhai' shragohłii, shįį duuyeh nakhweenjit oałkat t'oonchy'aa!” Gallio gavahnyąą. 
44:18:016:0	Ąįįtł'ęę ch'aroahkat zheh gwats'an datthak cheegǫǫhąąnzhit. 
44:18:002:1	Paul K'iinjik Antioch Gwa'an Gwits'ee Hoozhii
44:18:017:0	Ąįįtł'ęę zhat chiitąįį Greek gwich'in nąįį dinjii, Sosthenes oozhii, gąhtsit. Jews tr'igiinkhii zheh gwats'ą' k'eedeegwaadhat nilįį. Zhat gwintł'oo giiyąąhkhwąįį gwąąh'in. Googaa Gallio veenjit t'oohłii t'oonchy'aa kwaa. 
44:18:018:0	Paul, Corinth kwaiik'it gwachoh gwizhit Jesus k'injigiighit nąįį haa ninghyuk t'inchy'a'. Ąįįtł'ęę zhat gwats'an Aquila, va'at Priscilla nąįį haa Syria nahkat gwats'ą' gahaajil. Vit'eegwijyąhchy'aa deeshi'yaa ąįįnyą' ąįį geh'an, Cenchreae kwaiik'it chųų choh vee geeghaih goo'aii gwats'ą' giheedaa gwehkįį dąį', Paul diki' kal gwiłtsąįį. 
44:18:019:0	Nijin Ephesus kwaiik'it k'eegiidal dąį', Jews nąįį tr'igiinkhii zheh gwats'ą' haazhii. Izhik Jews nąįį ts'ą' ginkhii. 
44:18:020:0	“Dząą niighyuk diihaa dhindii.” giiyahnyąą. Gąą ąįį gwik'it t'ii'in, geet'iindhan kwaa. 
