44:19:001:1	Nijin Paul Ephesus Kwaiik'it gwizhit T'inchy'aa Dąį'
44:19:001:0	Apollos, Corinth kwaiik'it gwachoh gwizhit t'inchy'aa gwiizhit, Paul zhat gwa'an nahkat kwaiik'it goodlii gwizhit datthak gwitee neehidik, Ąįįtł'ęę Ephesus kwaiik'it k'idik. Izhik Jesus k'injigiighit nąįį agwąh'ąįį. 
44:19:002:0	“Nijin Jesus vik'injuhkhit dhoodlit dąį', nik'ee Ch'anky'aa Shroodiinyąą oodhoojik?” Paul gavahnyąą.“Ch'anky'aa Shroodiinyąą gwanlii ts'ą' łąą geenjit tr'igwiitth'ak kwaa t'iinyąą.” giiyahnyąą. 
44:19:003:0	“Ąįį ji', nats'ahts'ą' chųų nakhwats'an tr'iłtsąįį?” gavahnyąą. “John vik'it chųų diits'an tr'iłtsąįį, adan chųų gwats'an ąhtsii nilįį geech'ǫąąhtan gwik'it t'igwiizhik?” giiyahnyąą. 
44:19:004:0	“John chųų gwats'an iłtsąįį t'ee juu datr'agwaanduu gwats'an an-neediil'ee nąįį eenjit t'oonchy'aa, ts'ą' Israel gwich'in nąįį juu yatąįį k'eeheedik goo'aii goovahnyąą ąįį vik'injuhkhit, ąįįt'ee Jesus oozhii t'inchy'aa.” Paul gavahnyąą. 
44:19:005:0	Nijin ąįį gwigwiitth'ak dąį', Jesus oozhri' zhit, chųų goots'an tr'iłtsąįį. 
44:19:006:0	Paul danli' haa gooki' k'ąą naanjik. Ch'anky'aa Shroodiinyąą goonjik ts'ą' Vit'eegwijyąhchy'aa eenjit giginkhii ts'ą' Ch'anky'aa Shroodiinyąą gwikyaa haa giginkhii gooviłtsąįį. 
44:19:007:0	Dinjii 12 aanchy'aa nąįį jyaa dinlik. 
44:19:008:0	Shreenanh tik gąhkhyuk Paul Jews nąįį tr'igiinkhii zheh gwits'eehidik. Izhik naajat kwaa ts'ą' Vit'eegwijyąhchy'aa viginjik eenjit gavaa gwaandak, Vit'eegwijyąhchy'aa Veegwinii'ee t'ee łi'deegwidlii t'igwinyąą nyąą ts'ą' goots'ą' ginkhii. 
44:19:009:0	Gąą goolat nąįį łyaa gooki' dach'at ts'ą' Jesus k'injirooghit, giindhan kwaa. Dinjii lęįį andah Jesus vatąįį eenjit tr'agwaanduu eegiginkhii. Ąįįts'ą' Paul zhat gihłeehoozhii. Adan chan ts'ą' gąą Jesus k'injigiighit nąįį haa Tyrannus geech'ǫąąhtan zheh goo'aii, ąįį drin gwiteegwagwaanchy'aa Paul zhat gwits'eehidik, ts'ą' geech'ǫąąhtan. 
44:19:002:1	Sceva Vidinji' Nąįį Deegiizhik Geenjit
44:19:010:0	Neegwiidhat neekwąįį (2 years) gąhkhyuk zhat jyaa dii'in. Ąįį geh'an Jews ts'ą' Israel gwich'in nilįį kwaa Asia nahkat gwich'įį nąįį datthak K'eegwaadhat viginjik giitth'ak gooviłtsąįį. 
44:19:011:0	Vit'eegwijyąhchy'aa, Paul k'iighai' gwigwee'in jiintsii gwinlęįį t'ii'in. 
44:19:012:0	K'ǫǫneet'ąįį ąįįts'ą' diivat nint'aii haa Paul gwitr'it t'agwah'in, izhik yit'aahchy'aa, ąįį goondak ts'ą' iłts'ik nąįį antł'eegiiyilii, ąįį haa iłts'ik nąįį iłts'ik kwaa neegiilii. Dinjii vizhit ch'anky'aa iizųų t'inchy'aa nąįį, googaa akhagavoonjik ts'ą' goots'an tr'ineediindhat. 
44:19:013:0	Jews lat nąįį zhit gwa'an kwaiik'it gwitee neegihiidal ts'ą' ch'anky'aa iizųų dinjii ts'an tr'igilii nąįį K'eegwaadhat Jesus k'iighai' t'igii'in gwik'eegogwandaii. Ąįį ch'anky'aa tr'aanduu nąįį jyaa dagahnyąą, “Jesus vat'aii k'iighai', juu Paul eech'ǫąąhtan voozhri' zhit, gwats'an tr'ohjyaa!” ginyąą. 
44:19:014:0	Ąįį nąįį t'ee Jews ndak khii giinkhih choh Sceva oozhii vidinji' 7 nąįį t'ii'in. 
44:19:015:0	Gaa dinjii vizhit ch'anky'aa iizųų jyaa gavahnyąą, “Jesus vaashandaii. Ąįįts'ą' Paul chan vaashandaii. Gąą nakhwan ąįį juu t'ohchy'aa?” 
44:19:016:0	Ąįį dinjii vizhit ch'anky'aa iizųų t'inchy'aa gook'aa haazhii. Ąįįts'ą' łyaa gwintł'oo chigiheendaa gwats'ą' datthak gavaahkhwąįį. Ąįįts'ą' chan gwintł'oo gookat dich'iłchaa. Ąįįtł'ęę łyaa gwintł'oo googwiinjik ts'ą' gwach'aa ch'aa haa giizheh gwats'an cheegagihiljil. 
44:19:017:0	Jii Ephesus kwaiik'it gwizhit deegwiizhik ąįį Jews ts'ą' Israel gwich'in nilįį kwaa nąįį datthak geenjit gwigwiitth'ak ts'ą' łyaa gwintł'oo gąąnjat nagaanaii. Ąįį geh'an datthak K'eegwaadhat Jesus deegihił'e' gaadlit. 
44:19:018:0	Ąįįtł'ęę Jesus k'injigiighit nąįį lęįį, dinjii nąįį andaa, gwehkįį dąį' tr'agwaanduu t'igee'ya' ąįį datthak geegwagwaandak. 
44:19:019:0	Lęįį nagwąhtsį' nąįį nats'ąą nagwarahtsį' gwidęhtły'aa gii'įį kwaii datthak gwizhrįh nigiinlii ts'ą' giiyak'an. Ąįį dęhtły'aa deegwahtsii veegoo'aii giihaatin dąį' $50,000 laraa ghoo (silver) agwahtsii nilįį.  
44:19:003:1	Ephesus Kwaiik'it gwizhit Dinjii Nąįį Gook'įį Gwanlii Haa Nihłigiighan Dąį'
44:19:020:0	Dinjii gwandaa t'ąąnchy'aa nąįį K'eegwaadhat viginjik k'injigiinjik. Dinjii datthak łyaa Vit'eegwijyąhchy'aa viginjik nint'aii łee gwik'igaanjik. 
44:19:021:0	Jii jyaa digwiizhik ąįįtł'ęę Paul, Jerusalem gwits'ee heedyaa gwehkįį Macedonia ts'ą' Achaia (Greece) nahkat gwats'ą' hinkhaii, Ch'anky'aa Shroodiinyąą yahnyąą nindhan. “Ts'ą' Rome gwats'ą' hihshyaa gwizhrįh!” nyąą. 
44:19:022:0	Ąįįts'ą' dinjii neekwąįį, Timothy ts'ą' Erastus oozhii nąįį, dits'ii Macedonia nahkat gwats'ą' goohił'e'. Jii dinjii nąįį khit Vit'eegwijyąhchy'aa gwitr'it eenjit giits'inyaa. Gaa adan ąįį tth'aii hee shriit'ahkhyuk Asia nahkat gwizhit dhidii. 
44:19:023:0	Izhik zhat dąį' Ephesus kwaiik'it gwizhit khaiinjii nihłigiighan, Paul ąįį Jesus vatąįį eeginkhii gwigwiitth'ak geet'igiindhan kwaa geh'an. 
44:19:024:0	Dinjii Demetrius oozhii, gwiizųų gwahtsii geh'an. Ch'iitsii daagąįį (silver) haa gwitr'it t'agwah'in nilįį. Ąįį haa tr'injaa goovit'eegwijyąhchy'aa ch'ik'itiltsį' nilįį, ąįį Artemis oozhii, vakharigidiinjii zheh k'itiltsį' tsal kwaii aaghan. Ąįį kwaii tr'ookwat googwahtsii haa dinjii lęįį nąįį yeenjit gwitr'it t'agwah'in nąįį łyaa larąą nitsii gahtsii. 
44:19:025:0	Ąįį juu yeenjit gwitr'it t'agwah'in nąįį datthak ts'ą' geh'ok dinjii jyąhts'ą' gwitr'it t'agwah'in ts'ą' larąą gahtsii nąįį datthak khaihłan niinlii ts'ą' goots'ą' ginkhii, “Shalak nąįį, jii gwitr'it t'agwarah'in k'iighai' łyaa gwinzii tr'agwandaii. Ąįį datthak gaakhwandaii. 
44:19:026:0	Juk Paul nǫh'in. Nats'ąą oo'ok neehidik ts'ą' ginkhii, ąįį veenjit gootth'ak. ‘Ch'ik'itiltsį' dinjii yahtsii ąįį Vit'eegwijyąhchy'aa t'inchy'aa kwaa,’ nyąą. Ąįį geh'an dinjii lęįį dząą gwizhit ąįįts'ą' khaiinjii Asia nahkat gwizhit datthak giik'injiighit. 
44:19:027:0	Ąįį łyaa gwiizųų. Duulee geh'an diigwitr'it datthak ndaagwahąąn'ąį' gweheelyaa t'oonchy'aa. Ąįį gwizhrįh nakwaa, gąą duulee dinjii datthak chan diivit'eegwijyąhchy'aa Artemis vakharigidiinjii zheh gwihił'ee kwaa gweheelyaa. Juk Asia nahkat ąįįts'ą' gah nankak gwich'in nąįį datthak yits'ą' khagidiinjii. Duulee chan geedan t'ee akhagagooheenjyaa ts'ą' ndaagwąąn'ąį' gweheelyaa.” Demetrius gavahnyąą. 
44:19:028:0	Nijin jyaa dinyąą giiyiitth'ak dąį', łyaa gwint'aii gook'įį goodlit ts'ą' gwint'aii gazhral haa jyaa ginyąą, “Diivit'eegwijyąhchy'aa Artemis, Ephesus gwizhit jiintsii nilįį t'inchy'aa!” 
44:19:029:0	Khaiinjii juu zhat gwich'įį nąįį datthak gook'įį goodlit ts'ą' khaiinjii gaa nihłigiighan. Dinjii neekwąįį gavoozhri' Gaius, ts'ą' Aristarchus nąįį Paul haa neegihii'oo. Ąįį nąįį chan zhat t'iginchy'aa. Macedonia nahkat gwich'in nąįį giinlii. Dinjii nąįį googąhtsit ts'ą' nijin dinjii nąįį khit nihłaa łineegaadal deek'it gwintsii goo'aii, googwahkhan gwats'ą' googehełchįį. 
44:19:030:0	Paul izhik gwats'ą' hoihshi', yiindhan, dinjii nąįį haa giheehkhyaa eenjit. Gąą juu Jesus k'injigiighit nąįį zhat gwats'ą' heekhaa geenjit gwats'ą' t'igiiyahthan kwaa. 
