44:12:001:1	Jesus K'injigiighit Nilįį Nąįį Ch'andaa Khaiinjich'agahthat
44:12:001:0	Izhik zhat dąį', k'eedeegwaadhat choh (King) Herod Agrippa, Jesus k'injigiighit lat nąįį khaiinjich'igiighit gwahtsii. 
44:12:002:0	Shriichoo haa John voondee James oozhii, tr'iiłkhwąįį gwiłtsąįį. 
44:12:003:0	Jyaa diizhik dąį', Jews nąįį eechįį t'ii'in gwiky'aanjik dąį', gwandaa t'ii'in dhidlit, ts'ą' Peter chan oonjik. (Drin shroodiinyąą, zhit łųhchy'aa vaa naatuu kwaa tr'a'aa dąį' t'igwiizhik.) 
44:12:004:0	Ąįįtł'ęę Peter zhee gwaazhrąįį nagąąhchįį. Ąįįtł'ęę niveet'ah'in dinjii 16 nąįį giik'aahtii. Dǫǫ nąįį ginlii ts'ą' nihjįįkhaii neegeedaa. Passover gwideetaa gwahaadhat tł'ęę dinjii lęįį nąįį andaa nahałchyaa Vit'eegwijyąhchy'aa tr'oohahkat Herod jyaa diindhan. 
44:12:002:1	Peter Zhee Gwaazhrąįį Gwats'an Cheerihiłchįį
44:12:005:0	Deegwąhkhyuk Peter zhee gwaazhrąįį giłdii datthak tr'igiinkhii zheh nąįį giiyeenjit Vit'eegwijyąhchy'aa ts'ą' gwint'aii khadigigiinjii. 
44:12:006:0	Herod, dinjii lęįį nąįį ndaaniyahahchyaa gwats'ą' khaa dąį', Peter, niveet'ah'in neekwąįį yik'aahtii nąįį deetak dhichįį ch'iitsii tły'ah neekwąįį haa gakhwachaa niveet'ah'in nąįį chan gindeiinvyaa gwadąįį gwik'eegahtii. 
44:12:007:0	Khan hee K'eegwaadhat vizheekat gwich'in zhat nadhat nagwaanąįį, ts'ą' zheh gwaazhrąįį gwizhit ch'eegwąhndit nagwaanąįį. Zheekat gwich'in, Peter vahk'at gahtrat haa tr'ineeyaahthat, “Khan, k'iidak ninkhee!” yahnyąą, gwiizhit ch'iitsii tły'ah vanli' ts'an dineetraa.  
44:12:008:0	“Tthah nazhrak tł'an gaanahchaa ts'ą' nakwaiitryaa zheeni'yaa!” yahnyąą. Peter gwik'it t'iizhik. “Ch'iyeedak ik nanantsuu ts'ą' shaa hinkhaii.” zheekat gwich'in yahnyąą. 
44:12:009:0	Ąįįtł'ęę zhee gwaazhrąįį gwats'an Peter yaa haazhii. Gąą jii deegwii'in t'igwii'in łyaa gaandaii kwaa, gineiihłyaa t'igwii'in, yiindhan. 
44:12:010:0	Ąįįts'ą' gęhdaa niveet'ah'in tr'ookit gook'ąąhtii deek'it, kwaii ehgoo gahaa'oo. Ąįįtł'ęę khaiinkǫǫ zhee gwaazhrąįį gwats'an kwaiik'it gwachoh gwats'ą' chigweedii. Izhik ch'iitsii gindeiinvyaa dhitin, geeghaih k'eegii'oo. Gwiizhik gindeiinvyaa adakhai' gideenghaa. Ąįįtł'ęę chigiin'oo ts'ą' kwaiik'it gwitee'an tr'antąįį, izhik k'ii'an gee'al gwiizhik zheekat gwich'in Peter ihłee dahoodhat. 
44:12:011:0	Peter nats'ahts'ą' vats'ą' deegwiizhik giky'aanjik ts'ą' jyaa nyąą, “King Herod ąįįts'ą' Jews nąįį haa nats'ahts'ą' vats'ą' deerehee'yaa, shagoonyąą. Ąįį gwats'an K'eegwaadhat neeshahahshii eenjit dizheekat gwich'in shats'ą' hił'e'. Ąįį juk łyaa łi'deegwidlii gwanlii gaashandaii.” 
44:12:012:0	Jii t'igwiizhik giky'aanjik Googwahkhan John Mark oozhii vahan, Mary, vizheh gwats'ą' haazhii. Izhik lęįį nąįį nihłaa łigiiljil ts'ą' khagigidiinjii. 
44:12:013:0	Ąįį gwiizhik Peter izhik zhat tthał zheh gwineedhi'ęę gindeiinvyaa kat ganlaanaii. Ch'itsyaa nilįį nich'it, Rhoda oozhii, gwats'ą' haazhii, juu zhat ganlaanaii, gwahąąh'yaa geenjit. 
44:12:014:0	Nijin Rhoda, Peter deezhuh diitth'ak dąį', yinaanjik. Łyaa yeenjit shoo dhidlit, zhat k'idik geenjit. Khants'ą' zheh gwizhit nihdanaagik, zhat k'idik yeegwahaandak eenjit. Gąą nihdeeyąąhchįį kwaa. Ąįįts'ą' tth'aii hee kwaiitee nadhat. “Peter chiitąįį nadhat!” gavahnyąą. 
44:12:015:0	“Łyaa nahkhii t'iinyąą!” giiyahnyąą. “Gąą łyaa chiitąįį nadhat, t'aihnyąą!” gavahnyąą. “Peter t'inchy'aa kwaa, Vit'eegwijyąhchy'aa vizheekat gwich'in ąįį Peter haa nilįį t'inchy'aa!” giiyahnyąą. 
44:12:016:0	Ąįį gwiizhik Peter tth'aii nihk'it ganlaanaii. Gohch'it dee ch'ihłee gootee gich'idiintin. Gąą nijin nigiiyiił'in dąį', łyaa geegagoolii kwaa giveenjit t'igwiizhik. 
44:12:017:0	Googwahkhan danli' haa gooneehąhdak deegohtsai' kwaa ts'ą' sh'oodoohk'įį goovahnyąą. Ąįįtł'ęę nats'ahts'ą' K'eegwaadhat zhee gwaazhrąįį cheeyąąhchįį eenjit gavaa gwaandak. “James ąįįts'ą' gah gwik'injiighit nąįį datthak geenjit gavaagoondak.” gavahnyąą. Ąįįtł'ęę goovihłęęhoozhii ts'ą' ch'adanh gwa'an gwats'ą' haazhii. 
44:12:018:0	Nijin vanh gach'ahaa'ąįį dąį', niveet'ah'in zhee gwaazhrąįį gwadąįį gwak'ąąhtii nąįį gwizhit łyaa deegwiizhik gaagiindaii kwaa, ts'ą' Peter deezhik gaagiindaii kwaa. 
44:12:003:1	Vit'eegwijyąhchy'aa Zheekat Gwich'in Ch'ihłee Ts'ik Haa Herod Diłkhwąįį
44:12:019:0	Herod, giiyankaheentyaa geenjit goohił'e' gaa giigwąh'ąįį kwaa. Zhee gwaazhrąįį gwadąįį gwak'ąąhtii nąįį deegwiizhik lee eenjit goovahkat gaa gaagiindaii kwaa ts'ą' ąįį geh'an, “Gavohkhan!” Herod gavahnyąą.Ąįįtł'ęę Herod Judea nahkat gihłeehoozhii ts'ą' Caesarea kwaiik'it gweheechy'aa geenjit gwats'ą' haazhii. 
44:12:020:0	Herod łyaa Tyre ts'ą' Sidon kwaiik'it gwachoh gwich'in nąįį ts'ą' zhyaants'įį. Jii geh'an Tyre, ts'ą' Sidon gwich'in nąįį nihłaa łigiiljil gahah'yaa geenjit. Dinjii Blastus oozhii, t'ee Herod vizheh gwizhit gwats'ą' k'eedeegwaadhat nilįį, ąįį lak giltsąįį, goots'iheenyaa geenjit, ąįįtł'ęę Herod ts'ą' gahaajil, tsinehdan gweheelyaa geenjit. K'eedeegwaadhat Herod vanahkat gwats'an shih neegoiindak geh'an t'iginyąą. 
44:12:021:0	Ch'ihłan drin ik chil'ee yaa k'eedeegwaadhat eenjit nilįį nanaazhii ts'ą' vakat k'eedeegwaraadhat ts'ą' daraadii, ąįį kat naadii. Ąįįtł'ęę datthak giiyaa łeeljil. Izhik datthak goots'ą' ginkhii. 
44:12:022:0	“Jii łąą dinjii t'inchy'aa kwaa, gąą vit'eegwijyąhchy'aa nąįį ch'ihłee nilįį.” ginyąą ts'ą' gazhral. 
44:12:023:0	Vit'eegwijyąhchy'aa ts'ą' deehił'e' kwaa geh'an, Googwahkhan K'eegwaadhat vizheekat gwich'in ch'ihłee Herod hahts'įk eenjit yats'an gwiłtsąįį. Gyųų yin'al ts'ą' niindhat. 
44:12:024:0	Gwiizhik dinjii lęįį nąįį Vit'eegwijyąhchy'aa viginjik giintth'ak, ąįįts'ą' Jesus k'injigiighit nąįį gwandaa lęįį gilii. 
44:12:025:0	Nijin Barnabas, ts'ą' Saul haa Jerusalem kwaiik'it gwizhit digwigwitr'it gigiinjik dąį', Antioch kwaiik'it gwits'ee gahoo'oo. John Mark gavaa tr'agwahaah'ya' eenjit dahaa neegiihiłchįį.
