44:13:001:1	Barnabas, ts'ą' Saul Haa Goorigwiiłkįį ąįįts'ą' Goorihił'e'
44:13:001:0	Antioch kwaiik'it gwachoh gwizhit Jesus k'injigiighit nąįį tee gwats'an goolat Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį ąįįts'ą' geech'ǫąąhtan nąįį ginlii. Gavoozhri' Barnabas, ts'ą' Saul, haa ąįįts'ą' Simeon (“Ąįį Dinjii Zhrąįį,” giiyahnyąą), Lucius (Cyrene kwaiik'it gwats'an), Manaen (k'eedeegwaadhat Herod Antipas haa nihłaa dink'igiindhat), ąįį nąįį haa. 
44:13:002:0	Ch'aga'aa kwaa ts'ą' Vit'eegwijyąhchy'aa ts'ą' khagidiinjii gwiizhit Ch'anky'aa Shroodiinyąą jyaa goovahnyąą, “Barnabas ts'ą' Saul haa sheenjit googookii, gwitr'it gavantł'eegwii'aii ąįį t'agwagwahah'yaa geenjit.” 
44:13:002:1	Nijin Barnabas, ts'ą' Saul Haa Cyprus Njuu Kat Gwitr'it T'agoogwah'in Eenjit Gaadii Dąį'
44:13:003:0	Ąįįtł'ęę adach'agaa'aa kwaa ts'ą' khagigideedi'. Gooki' kat nagaanjik, “Vit'eegwijyąhchy'aa nakhwaa oolį'!” googahnyąą. Ąįįtł'ęę Vit'eegwijyąhchy'aa gwitr'it t'agogwahah'yaa eenjit googihił'e'. 
44:13:004:0	Barnabas, Saul haa Ch'anky'aa Shroodiinyąą k'iighai' goorihił'e'. Seleucia kwaiik'it gwachoh gwats'ą' gahaa'oo. Ąįįtł'ęę izhik gwats'an Cyprus njuu kat goo'aii gwats'ą' gahaa'oo. 
44:13:005:0	Izhik Salamis kwaiik'it gwachoh goozhii k'eegii'oo dąį', Jews tr'igiinkhii zheh kwaii gwizhit Vit'eegwijyąhchy'aa viginjik eegwagwaandak. Digwigwitr'it t'agwagwah'in goots'inyąą eenjit, John Mark gavaa t'inchy'aa. 
44:13:006:0	Ąįįtł'ęę njuu deetaa Paphos kwaiik'it goo'aii gwats'ą' neegiinjil. Izhik zhat dinjii ch'ihłee, Jews nilįį, Bar-Jesus oozhii, gąąh'in. Łyaa dinjii dazhan nilįį. “Shįį t'ee, Vit'eegwijyąhchy'aa Eenjit Ginkhii ihłii, nyąą!” oots'it haa gavahnyąą. 
44:13:007:0	Ąįį njuu kat gwats'ą' k'eedeegwaadhat Sergius Paulus oozhii łyaa lak yaa'įį. Sergius Paulus łyaa dinjii gaandaii nilįį. Barnabas, Saul haa giiyandah nigiheedhat eenjit keeginkhe', Vit'eegwijyąhchy'aa viginjik oohąąhky'aa eenjit.  
44:13:008:0	Gąą dinjii dazhan Bar-Jesus goodadąą'ee. “Elymas,” ąįį gaa giiyahnyąą. Ąįįt'ee “Dinjii nagwąhtsį' haa gwitr'it t'agwah'in,” gwinyąą t'igwinyąą. Sergius Paulus Vit'eegwijyąhchy'aa viginjik k'injiheedhaa gwits'į' ootą'. 
44:13:009:0	Saul ąįį Paul chan giiyahnyąą. Ch'anky'aa Shroodiinyąą vizhit t'iizhit haa ąįį dinjii dazhan niighyuk aakin a'ii. 
44:13:010:0	“Ch'anky'aa Tr'aanduu gii inlii. Łyaa gwinzii datthak gwats'ą' gwił'ąįį inlii. Jidii tr'agwaanduu nagwarahtsį' datthak khit gwik'it t'ini'in. Jidii Vit'eegwijyąhchy'aa ‘łi'didlii,’ nyąą, ąįį ‘łi'didlii t'inchy'aa kwaa,’ khit yahnyąą. 
44:13:011:0	Juk K'eegwaadhat nagwahąhshįį ts'ą' gwahąąh'yaa kwaa t'oonchy'aa. Drin gwinlęįį gwizhit shree ts'an ch'aadrii, ąįį googaa gwahąąh'yaa kwaa.” Paul yahnyąą.Googwahkhan vandee kwaa nagwaanąįį ts'ą' k'eegwiichy'aa datthak gwąąh'in kwaa. Ąįįtł'ęę gwizhit nihidik ts'ą' dinjii k'eeyihęęn'ęę keehandak ts'ą' kanitįį. 
44:13:003:1	Antioch Kwaiik'it Pisidia Nankak Giilk'ii Dąį'
44:13:012:0	Nijin Sergius Paulus jii t'igwiizhik gwąąh'in dąį', Vit'eegwijyąhchy'aa viginjik k'injiindhat. K'eegwaadhat eech'aroahtan, gwizhit tth'aii hee jyaa t'igwinyąą gwiitth'ak kwaa geh'an geegaroolii kwaa veenjit t'igwinyąą. 
44:13:013:0	Paphos kwaiik'it gwats'an Perga kwaiik'it gwachoh Pamphylia nahkat gwats'ą' Paul vijyaa neekwąįį tr'ihchoo neevyaa nilįį haa neegiinjil. Nijin zhat k'eegiidal dąį', John Mark oozhii khants'ą' goołęęhoozhii ts'ą' Jerusalem gwits'eehoozhii. 
44:13:014:0	Perga kwaiik'it gwachoh gwats'an Antioch kwaiik'it gwachoh Pisidia nahkat goo'aii Paul ts'ą' Barnabas haa gwats'ą' gahaa'oo. Izhik Jews nąįį Neegwaazhii Drin zhit Jews nąįį tr'igiinkhii zheh nihdeegahaa'oo ts'ą' gaandii. 
44:13:015:0	Moses va-law ąįįts'ą' juu Vit'eegwijyąhchy'aa Eenjit Ginkhii inli' nąįį ch'adąąntł'oo, ąįį kat giginkhe'. Ąįįtł'ęę Jews tr'igiinkhii zheh k'eedeegwaadhat nąįį goots'ą' nideech'igidiin'ąįį. “Diilak nąįį, k'eegwiichy'aa dinjii t'aih ts'an hǫhtsyaa geenjit ginjik haa gahohkhyaa goohoh'įį ji', juk dząą gwik'it t'ohnyąą.” googahnyąą. 
44:13:016:0	Ąįįtł'ęę Paul nidhikhin ts'ą' danli' haa gooneehąhdak, deegweheetsai' kwaa eenjit. Ąįįtł'ęę goots'ą' gahaakhe',“Israel gwich'in nąįį, ts'ą' aakin nąįį haa Vit'eegwijyąhchy'aa ts'ą' khagigidiinjii nilįį nąįį shoodǫǫhk'įį. 
44:13:017:0	Vit'eegwijyąhchy'aa diikhwan, Israel gwich'in tr'inlii, vats'ą' kharigidiinjii. Ąįį geh'an deenaa dąį' diitsii nąįį igweełkįį. Nijin tth'aii Egypt nahkat gwizhit gwigwich'įį dąį', zhat aakin ginlii, ąįį googaa datthak ts'ą' ginlęįį gooviłtsąįį. Ąįįts'ą' dat'aii nitsii k'iighai' Egypt nahkat gwats'an tr'ineegiviinlii. 
44:13:018:0	Neegwiidhat 40 (years) gąhkhyuk, nangwinjir gwa'an, ndaanihłik k'eegwiichy'aa datthak gwiizųų t'igii'in. Googaa Vit'eegwijyąhchy'aa gavaa t'inchy'aa. 
44:13:019:0	Canaan nahkat gwizhit nahkat seven nihłehjuk t'iichy'aa gwich'in nąįį Vit'eegwijyąhchy'aa an gooviłtsąįį. Ąįįtł'ęę ąįį goonan diikhwan Israel gwich'in tr'iinlii ts'ą' tr'ahah'yaa geenjit diinantł'eeyin'ąįį. 
44:13:020:0	“Ąįįtł'ęę ąįį zhit gwats'an neegwiidhat 450 (years) gwahaadhat, ąįįtł'ęę Canaan nahkat diitsii haa nijin gavaa gwich'įį ąįįtł'ęę, Vit'eegwijyąhchy'aa juu goots'ą' k'eedeegwaadhat igwiiłkįį, datthak Samuel, Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį datthak goots'ą' k'eedeegwahaadhat gwats'ą'. 
44:13:021:0	Ąįįtł'ęę dinjii k'eedeegwaadhat choh giihaa'yaa eenjit Vit'eegwijyąhchy'aa ts'ą' ch'oodigiikwat dąį', Kish vidinji', Saul goots'ą' k'eedeegwahaadhat eenjit gavantł'ahchįį. Ąįįtł'ęę neegwiidhat 40 (years) giveenjit k'eegwaadhat choh inli'. Saul, Benjamin vineezheedijii nąįį ts'an deedhaa. 
44:13:022:0	Ąįįtł'ęę nijin Vit'eegwijyąhchy'aa, Saul k'eedeegwaadhat neeheelyaa kwaa yiłtsąįį dąį', David ąįį goots'ą' k'eedeegwaadhat choh iłtsąįį, ‘David, Jesse vidinji' nats'ąą dinjii nilįį geenjit veet'iihthan. Doo'ya' oihnyąą datthak gwik'it t'ihee'yaa.’ Vit'eegwijyąhchy'aa yeenjit jyaa diinyą'. 
44:13:023:0	Jesus, t'ee King David ts'an deedhaa. Ąįį deenaa dąį', Vit'eegwijyąhchy'aa ‘nakhwantł'eehaałchyaa,’ yaiinyą'. ‘Ąįį Israel gwich'in nąįį ǫhłįį ts'ą' neenakhwahahshii eenjit nakhwats'ą' nahaałchyaa,’ yahnyąą chy'aa t'inchy'aa. 
44:13:024:0	Nijin Jesus geech'oohįįłtin gwehkįį dąį', John chųų gwats'an ąhtsii, Israel gwich'in nąįį datthak haa gwaandak, ‘Juk gwats'an nakhwatr'agwaanduu gwats'an łihts'eedǫǫ'ee ts'ą' chųų nakhwats'an tr'ahtsii,’ gavahnyąą. 
44:13:025:0	Ąįįtł'ęę nijin gwitr'it vats'an goodlit ąįį datthak khaiinjii datthak giinjik dąį', jyaa dagavahnyąą, ‘Juu t'ihchy'aa shrǫǫ shohnyąą? Juu noodhoo'in ąįį t'ihchy'aa kwaa. Gaa jii dinjii shandaa t'aih nitsii di'įį shatąįį ahaa, it'ee shrit hił'ee ts'ąįį vakwaiitryaa dineehih'ak geenjit gaa sheegoo'aii kwaa.’ 
44:13:026:0	“Shalak nąįį, Abraham ts'an deedhaa nąįį, ąįįts'ą' Israel gwich'in nilįį kwaa nąįį, juu Vit'eegwijyąhchy'aa ts'ą' khagigidiinjii nilįį nąįį, datthak haa jii Gwandak Nizįį t'ee Vit'eegwijyąhchy'aa neediihahshii diits'an iłtsąįį t'oonchy'aa. 
44:13:027:0	Jerusalem gwich'in nąįį ts'ą' gook'eedeegwaadhat nąįį haa, łyaa Jesus dinjii neediihahshii nilįį juu giiyaandaii kwaa. Deenaa dąį' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį gwadąąntł'oo nąįį. Ąįį Jews Neegwaazhii Drin zhit Jews nąįį tr'igiinkhii zheh gwizhit Dęhtły'aa Choh kat giginkhii. Googaa giiky'anjii kwaa. Nijin Jesus tr'ahaahkhwaa, ginyąą dąį', Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį googinjik łi'didlii haa gwik'it teegweheedhat gwiłtsąįį. 
44:13:028:0	Pilate goahkat, Jesus gahaahkhwaa eenjit, jidii eenjit tr'ahaahkhwaa giiyeenjit gogwah'ąįį kwaa googaa. 
44:13:029:0	Nijin giiyiiłkhwąįį dąį', nats'ahts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį yeenjit gwadąąntł'oo datthak gwik'it t'igwiizhik. Niindhat tł'ęę cross kat gwats'an neegiiyąhchįį. Ąįįts'ą' kii ch'a'an gwizhit giinąąhjik. 
44:13:030:0	Ąįįtł'ęę Vit'eegwijyąhchy'aa ch'ichį' ts'an ninęęyiłkhin, yineegwiłdaii. 
44:13:031:0	Juu gwehkįį dąį', Galilee kwaiik'it gwats'an Jerusalem kwaiik'it gwats'ą' yaa haajil nąįį, drin gwinlęįį gwizhit ndaanihłik neegiiyąą'ik ts'ą' Israel dinjii datthak ts'ą' giiyeegwaandak. 
44:13:032-033:0	Psalms dęhtły'aa chapter neekwąįį zhit jyąhts'ą' geenjit gwadanakhwatł'oo,‘Nan Shidinji' inlii.Juk drin niti' dhiidlit.’Nats'ahts'ą' Vit'eegwijyąhchy'aa nakhwati' nąįį daiinyą', jyaa dihishi'yaa nyąą. Ąįį juk dząą goonihzhyaaneedijii nąįį ǫhłįį, nakhweenjit gwik'it t'ee'ya'. Jii jyaa diinyą' geh'an Jesus gwandaii niłtsąįį. Diikhwan t'ee chan juk Gwandak Nizįį eenjit nakhwaagwaraandak. 
44:13:034:0	Chan ch'adanh gwa'an Vit'eegwijyąhchy'aa viginjik zhit jyąhts'ą' gwadanakhwatł'oo.‘Nats'ahts'ą' yeenii King David nakhweenjit deehishi'yaa, vaihnyą',ąįį łyaa gwik'it t'ihishi'yaa.’Jii ginjik danakhwatł'oo kwaii eh'an,Vit'eegwijyąhchy'aa Jesus gwandaii, neehahtsyaa.Ąįįts'ą' tth'ank'it zhit vatthąį' shrahteegiheelyaa gwats'ą' akhooheenjyaa kwaa gwinyąą. 
44:13:035:0	Chan ch'adanh Psalms dęhtły'aa zhit Jesus veenjit gwadanakhwatł'oo.‘Nitsyaa Shroodiinyąą vatthąį' shrahteeheelyaa gwats'ą' t'ahąhkhyaa kwaa.’ 
44:13:036:0	“David, Israel gii nąįį datthak ts'eenyą', Vit'eegwijyąhchy'aa doo'ya' yuunyąą gwik'it t'ee'ya'. Ąįįtł'ęę niindhat. Viti' nąįį eeghaii vanarąąhjik. Ąįįts'ą' vatthąį' shrahteedhidlit ts'ą' nan ts'an needhidlit. 
44:13:037:0	Gąą Jesus vatthąį' shrahteeneedhidlit kwaa ts'ą' nan ts'an needhidlit kwaa, Vit'eegwijyąhchy'aa gwandaii neeyiłtsąįį geh'an. 
44:13:038-039:0	Jii datthak nakhweenjit, shalak Israelites nąįį. Jesus k'iighai' nakhwatr'agwaanduu oo'an gweheelyaa ąįį nakhwaagwaldak juu Jesus k'injiighit nąįį datthak gootr'agwaanduu gwats'an neegoorahahshii, gaa Moses va-law ąįį łyaa vik'iighai' neenakhwarahahshii kwaa t'oonchy'aa. 
44:13:040:0	Łyaa dak'oontii. Nats'ahts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį ch'adąąntł'oo, gwik'it nakhwats'ą' t'igweheenjyaa kwaa geenjit. 
44:13:041:0	‘Nakhwaki' dach'at, gǫǫh'in ąįįts'ą' gininjich'ohthat.Ąįįtł'ęę noohnjii. Ąįį gwehkįį gǫhdaii ji',Vit'eegwijyąhchy'aa ihłįį ts'ą' gwitr'it gwintsii gwik'eech'ahąąłtyaa.Gąą ch'ihłee geenjit nakhwaagwaandak ji',gąą tth'aii gwik'injihohthaa kwaa.Jii gwadanakhwatł'oo zhit Vit'eegwijyąhchy'aa jyaa diinyą'.’”Paul gavahnyąą. 
44:13:042:0	Nijin Paul ts'ą' Barnabas haa Jews tr'igiinkhii zheh chineegii'oo dąį', “Gęhdaa Neegwaazhii Drin zhit ji', chan dząą gwits'ee neehoo'oo ts'ą' jii jidii nihłehts'į' t'igwiichy'aa eenjit diinaa neegahoondak eenjit,” dinjii nąįį jyaa googahnyąą. 
44:13:043:0	Dinjii datthak Jews tr'igiinkhii zheh gwats'an cheehoojil tł'ęę, Jews lęįį nąįį ts'ą' Jews nilįį kwaa nąįį Judaism k'injigiighit gaadlit nąįį Paul ts'ą' Barnabas tąįį neegekhiidal. Tr'ihił'e' nąįį goots'ą' ginkhii ts'ą' khit Vit'eegwijyąhchy'aa vich'eegoonzhrii zhit gǫhdaii googahnyąą. 
44:13:044:0	Gęhdaa Jews Neegwaazhii Drin zhit dąį', Jews nąįį tr'igiinkhii zheh khaiinjii kwaiik'it dinjii nąįį datthak zhat K'eegwaadhat viginjik goohaahky'aa eenjit gwats'ą' haajil. 
44:13:045:0	Nijin Jews nąįį dinjii lęįį zhat łeeljil gwagwaah'in dąį', datthak geenjit goots'į' t'igiinchy'aa, “Nats'ahts'ą' dinjii Paul oozhii, ginkhii, łyaa łi'didlii gwanlii kwaa,” ginyąą. Ąįįtł'ęę tr'igiiyoiidlii ts'ą' giizheedeiin'ee ąįįts'ą' gwiizųų giiyeeginkhii. 
44:13:046:0	Ąįįtł'ęę Paul ts'ą' Barnabas haa gąąnjat kwaa ts'ą' gwandaa goots'ą' giginkhii. “Nakhwan Jews nąįį ǫhłįį geh'an tr'ookit Vit'eegwijyąhchy'aa viginjik haa nakhwaagwarahaandak goo'aii. Gąą nakhwan ąįį gohtth'ak nohthan kwaa. ‘K'eegwaadhat haa khit t'igweheechy'aa,’ izhik geet'ohthan kwaa. Jii geh'an nakhwehłeerehee'al. Jews nilįį kwaa nąįį ts'ą' tr'ihee'al ts'ą' Vit'eegwijyąhchy'aa viginjik eenjit gavaa gwarahaandak. 
44:13:047:0	Jii gwik'it t'igwehee'yaa. Ninghit dąį' gwanaa jyąhts'ą' K'eegwaadhat viginjik zhit diineenjit gwadanakhwatł'oo geh'an.‘Jews nilįį kwaa nąįį eenjit aadrii hohłyaa geenjit nakhwagwadoołkįį,nankak gwich'in nąįį datthak nats'ahts'ą'neegeheezhii gavaa gwarahaandak eenjit,’”jyąhts'ą' Paul ts'ą' Barnabas haa Jews nąįį agahnyąą. 
