44:7:001:1	Stephen Goots'ą' Giinkhii
44:7:001:0	“Et'ee łyaa łi'didlii haa neegwagwaandak lee t'iginyąą?” jyaa ndak khii giinkhih choh Stephen ahnyąą. 
44:7:002:0	Stephen datthak jyaa goovahnyąą, “Gwiti' nąįį ts'ą' shalak nąįį haa, shoodǫǫhk'įį! Yeenaa dąį' diiti', Abraham tth'aii hee Mesopotamia nahkat gwich'įį gwiizhit, Vit'eegwijyąhchy'aa dich'eegwąhndit yits'ą' igweelkįį. Haran kwaiik'it tth'aii gweheechy'aa geenjit gwats'ą' hahkhaii kwaa dąį'. 
44:7:003:0	Ąįįts'ą' Vit'eegwijyąhchy'aa yits'ą' ginkhii, ‘Nanahkat ts'ą' nalak nąįį datthak haa ihłeehinkhaii. Ąįįtł'ęę nijin gwats'ą' hinkhaa gwik'eenahaałtyaa,’ yahnyąą. 
44:7:004:0	Ąįįts'ą' danahkat Chaldea gihłeehaazhii ts'ą' Haran kwaiik'it gweheechy'aa geenjit gwats'ą' haazhii. Abraham viti' niindhat ąįįtł'ęę dzaa juk gweheechy'aa geenjit Vit'eegwijyąhchy'aa gwats'ą' haazhii yiłtsąįį.  
44:7:005:0	Izhik zhat dąį', nan hee'yaa eenjit tth'aii hee yintł'eeya'ąįį kwaa. Nantsal yakat niheedhat googaa di'įį kwaa. Gąą ‘nan nintł'eehih'aa, nanan heelyaa eenjit,’ yahnyąą. Niindhat tł'ęę, vigii nąįį nihzhyaaneedijii nan yahąą'yaa eenjit. Izhik zhat dąį', ‘nan nintł'eehih'aa.’ yaiinyą' dąį', tr'iinin tth'aii di'įį kwaa. 
44:7:006:0	Vit'eegwijyąhchy'aa jii jyaa yaiinyą', ‘Nihzhyaaneedijii nąįį aakin nahkat gwa'an gwigweheechy'aa ts'ą' 400 (years) gąhkhyuk datthak slaves giheelyaa gwiizhit gwiizųų khaiinjich'agoogahahthat. 
44:7:007:0	Gaa ąįį dinjii nąįį nigii nihzhyaaneedijii nąįį slaves nilįį giłtsąįį ąįį nąįį googwahąąłshii. Ąįįtł'ęę ąįį nahkat gwats'an cheegiheedaa. Dząą gwits'eegiheedaa. Ąįįts'ą' shats'ą' khadigigeheejyaa.’ jyaa Vit'eegwijyąhchy'aa Abraham ahnyąą. 
44:7:008:0	Jyąhts'ą' t'ee Vit'eegwijyąhchy'aa ts'ą' Abraham haa nihłaa gwinzii deegwigwiiłtsąįį. Nigii tsyaa tsal nąįį datthak gootthąį' kat khangwahaht'ii ts'ą' googwahahkyaa. Nats'ahts'ą' nan, shįį haa gwinzii nihłaa deegwariiłtsąįį gineehoondaii geenjit Vit'eegwijyąhchy'aa yahnyąą. Drin 8 gwahaadhat ąįįtł'ęę Abraham didinji' Isaac kat khagwąht'uu. Ąįį gwik'it Isaac chan didinji' Jacob jyaa dinlik. Ąįį gwik'it Jacob chan didinji' 12 nąįį kat khagwałt'uu. Jii nihchaa 12 nąįį deenaadąį' diitsii gwinzii vaagwiindaii nąįį t'arahnyąą. 
44:7:009:0	“Ąįį nąįį goochaa, Joseph oozhii, k'eegwiichy'aa datthak eenjit giitr'ii'ee. Yee'an dinjii ts'ą' gwintł'eegiiyahchįį. Ąįį nąįį giiyoiinkwat, ts'ą' Egypt nahkat gwats'ą' giihiłchįį. Izhik t'inchy'aa datthak Vit'eegwijyąhchy'aa yaa nilįį. 
44:7:010:0	Nijin khaiinjich'iidhat dąį', K'eegwaadhat yits'iinyą'. Egypt nahkat gwizhit k'eedeegwaadhat choh kįh dhidii, Pharaoh oozhii, ąįį ęhdaa nadhat dąį', Vit'eegwijyąhchy'aa k'iighai' dinjii nizįį nilįį ts'ą' gwizhįh chan di'įį ts'ą' łyaa yeenjit shoo nilįį. Ąįįtł'ęę Pharaoh danahkat gwizhit ts'ą' dizheh gwizhit dinjii gwich'įį nąįį eenjit k'eedeegwaadhat yiłtsąįį. 
44:7:011:0	Ąįįtł'ęę Egypt ąįįts'ą' Canaan nahkat gwizhit shih kwaa goodlit. Ąįį geh'an dinjii lęįį nąįį khaiinjich'igiidhat. Izhik zhat dąį' diitsii nąįį khyų' shih gooheendal agwagwąh'ąįį. 
44:7:012:0	Gooti' Jacob, “Egypt nahkat shih lęįį k'eerahtii,” gwinyąą gwiitth'ak dąį', izhik zhat shih gooheekwat geenjit didinji' nąįį gwats'ą' goohił'e'. Jii t'ee tr'ookit zhat gwats'ą' gahaajil dąį'. 
44:7:013:0	Jii tł'ęę chan zhat nineegiijyaa dąį', ‘Shįį t'ee, nakhwachaa ihłii chy'aa t'ihchy'aa.’ Joseph gavahnyąą. Ąįįtł'ęę Pharaoh, Joseph valak nąįį gwanlii eenjit gwiitth'ak. 
44:7:014:0	Ąįįts'ą' Joseph diti' Jacob ts'ą' nideech'iin'ąįį. ‘Nalak nąįį datthak haa dząą Egypt gwats'ą' hinkhaii.’ yahnyąą. Datthak khaihłok dinjii 75 nąįį ginlii. 
44:7:015:0	Nijin Jacob gwiitth'ak dąį', Egypt gwats'ą' haazhii. Izhik zhat ninghyuk gwahaadhat ąįįtł'ęę, adan ąįįts'ą' vidinji' nąįį ts'ą' diitsii ginlii nąįį haa, datthak nigiinjik. Izhik dąį' Joseph adan t'ee niindhat. 
44:7:016:0	Nigiinjik tł'ęę, dząą Shechem kwaiik'it gwits'eegoogahaadlii. Izhik kii ch'a'an Abraham, Hamor vidinji' ts'an goiinkwat chy'ąą. Izhik gwizhit goonagąąhjik. 
